SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1697,3,3,Rural,2016,45061.12028316365
2122,2,3,Urban,1952,341537.80227703124
1593,4,1,Rural,1968,173495.29991730402
2610,5,1,Rural,2004,336882.92996247
1885,3,1,Urban,1975,304812.30495256727
1851,2,1,Urban,1988,208891.2661920719
2215,3,1,Rural,1965,288828.13476200594
1324,5,1,Urban,1989,130083.32237075645
1978,2,2,Suburb,2020,243515.29694153642
2749,3,2,Suburb,1958,321337.4333730374
2850,4,1,Suburb,1994,251504.91606546508
1955,4,3,Rural,1953,256381.54620832292
2490,5,2,Suburb,2011,216449.13686340285
1893,5,1,Rural,2020,226101.6625669439
2390,5,2,Urban,2017,332181.0776803468
2341,2,3,Urban,1951,286162.7083380982
1143,5,3,Suburb,2005,169979.68154480847
1383,2,2,Rural,2004,82377.951508839
1215,3,1,Rural,1976,138074.196036973
2384,4,1,Suburb,1969,172562.52555596447
1323,3,1,Suburb,2006,145793.51656396044
2038,4,3,Urban,1966,178769.89107351814
1216,5,3,Urban,1991,249180.37033208527
2515,3,3,Urban,1992,228572.65775313243
1950,3,3,Suburb,2000,286641.18840509537
2570,5,2,Urban,1962,358847.74414923345
1182,3,1,Urban,1973,16393.700624017423
1269,2,1,Rural,2019,204671.17922699315
1944,4,2,Urban,1981,236762.0684249769
2490,5,2,Urban,2004,219725.99348236926
1869,2,1,Rural,2015,191315.92761858334
2635,2,1,Urban,1954,247268.16456457024
2542,5,2,Rural,1954,235203.695271855
2565,3,2,Urban,1955,318186.39035171614
1466,4,3,Urban,1983,148152.96915217148
1304,2,2,Urban,1966,183006.92020476633
2167,3,2,Urban,1952,236777.8557404751
1110,5,3,Urban,2004,139586.45927294722
2013,5,1,Suburb,1982,154322.25462378268
1231,4,3,Suburb,2019,124244.13025581805
2714,5,2,Suburb,1958,192537.36652157232
2607,4,2,Suburb,1957,396359.89179293613
2745,5,1,Suburb,1974,263923.81783791643
2755,5,1,Urban,1958,218223.23701254104
2615,2,3,Rural,2008,290541.9479521904
2523,3,1,Rural,2017,274569.39113936416
1594,2,2,Urban,1964,168810.74951664894
2577,4,1,Rural,1966,331265.98866736377
2296,2,2,Suburb,1987,258075.01726346198
2726,5,1,Suburb,1952,309234.58868224476
1172,5,3,Rural,1968,177314.51886565308
1972,3,1,Urban,2010,202551.42796543197
2030,4,2,Suburb,1970,150379.1750381955
2178,5,3,Urban,2003,267670.88694683503
2545,3,3,Urban,2003,280469.23551781574
1545,3,1,Suburb,1950,212824.98775943898
1547,5,1,Urban,1967,196489.26043434822
2944,5,3,Rural,1981,302183.07104551623
1517,4,3,Suburb,2015,195490.28714590412
2943,3,2,Urban,2013,338848.4694739882
1913,3,3,Suburb,2016,258883.23217908505
1214,3,3,Urban,2009,242180.25932649005
1133,4,3,Suburb,1956,76819.10433538724
1284,3,3,Urban,1971,195510.07388344195
2149,2,2,Urban,1987,166120.406335851
2944,2,3,Suburb,2021,298646.8609591783
2462,3,2,Rural,2017,235910.59174724732
2872,2,3,Rural,1970,274544.9935865069
1685,2,2,Suburb,1986,175374.28371600414
2175,4,2,Suburb,1994,313457.11265592824
1330,3,1,Rural,2007,38768.19799556988
2561,4,2,Urban,1991,243964.99639576895
2406,3,2,Urban,1996,260325.2298484135
2138,5,2,Urban,2018,236398.65101412387
1893,2,1,Rural,1982,63534.35220423719
2505,4,2,Suburb,2009,283857.82426185854
2307,4,1,Urban,1953,200730.8463001789
1898,5,2,Suburb,2018,246440.5816517712
2098,5,2,Rural,2002,247115.17763796315
2189,2,2,Rural,2016,269330.8524789637
2212,2,2,Rural,2004,259762.63221193777
1077,3,3,Urban,2019,100286.32455951365
1946,3,3,Urban,1957,249183.09855201666
2625,5,3,Suburb,2002,361215.422803403
1687,2,2,Urban,2014,214479.08152392192
1020,2,3,Suburb,2002,92435.14222703458
1565,5,1,Suburb,1975,116311.37441838319
2207,5,2,Rural,2017,144114.84323921066
2894,4,3,Suburb,1973,256059.6328511624
2245,5,1,Urban,1996,344268.1043342439
1826,4,1,Urban,1973,168076.8102058581
2351,3,2,Suburb,1996,287095.0208794371
1178,5,2,Suburb,1980,103854.54881012786
2811,5,1,Suburb,2007,290764.7253141151
2135,5,1,Urban,1998,184589.7998414189
2759,4,2,Suburb,2007,297737.9477592272
2749,5,1,Suburb,2000,320243.5369732546
2082,5,3,Suburb,1964,193790.6164371036
2350,2,3,Rural,1978,248336.30470247596
1904,2,1,Rural,2015,259180.87525891326
2644,2,1,Urban,1990,344425.7622640047
2920,5,2,Rural,2008,386178.54424345196
1668,2,3,Urban,2017,212390.5886057263
1190,3,3,Rural,1979,249277.17512400023
2223,2,3,Rural,1957,249903.42983251513
2335,5,3,Rural,2011,288524.3948702046
1707,2,3,Urban,1964,138357.95815439377
2058,2,3,Urban,2011,278842.8197133605
1378,2,2,Suburb,1999,195919.4850618027
1386,3,1,Rural,1988,202423.49700821697
2781,3,3,Urban,1950,188270.61202850466
1236,4,2,Suburb,1952,116554.91242273152
1615,5,2,Urban,2002,244186.55501612675
2542,3,1,Urban,1966,233151.9408588177
1282,3,1,Suburb,2004,172061.73433036663
1000,3,1,Urban,1961,112562.06484948267
2754,5,1,Suburb,1951,341618.33748692076
1463,4,1,Rural,1984,259783.0029131466
2253,5,2,Rural,1976,204703.25825725577
1966,2,1,Urban,2007,245716.63148384774
1171,4,2,Rural,1968,154270.93397952052
2110,2,3,Rural,1969,205220.40948983788
2576,3,3,Urban,1977,323345.08610176464
2146,5,1,Suburb,1966,261595.17178737707
1842,2,3,Rural,1961,182553.6084835921
2321,4,2,Suburb,2018,266084.35655861144
2908,2,3,Rural,1988,263073.67523995065
2952,2,3,Urban,1975,371573.5448316972
1689,3,3,Urban,2015,164142.34983889185
1574,2,3,Suburb,2020,128668.41629250694
2507,2,2,Urban,1961,334342.2437615115
1164,3,3,Suburb,1973,57882.34289076987
2722,4,1,Suburb,2013,314783.1851657279
1382,3,2,Rural,1994,192249.88704446072
1208,2,1,Suburb,1977,101826.86738562034
2762,5,2,Suburb,1986,290833.9106882465
2455,3,3,Urban,2014,256663.88980392722
2412,3,2,Suburb,2019,266139.37216052937
2583,2,1,Rural,1953,268409.56109304517
1223,5,1,Suburb,2007,124220.92769244208
1002,4,2,Urban,1991,86027.47690564289
1371,5,1,Suburb,2011,230195.74820861535
2710,3,1,Suburb,1962,329360.3857640717
2469,5,2,Urban,1968,254025.4798916385
1610,4,3,Suburb,2010,126351.27774958103
1115,5,3,Suburb,1955,244782.30966335005
2293,5,3,Urban,1967,332922.5633912736
1446,5,1,Rural,1952,148142.34178194223
2391,3,1,Rural,1989,351444.6491728545
2276,2,3,Rural,1983,191445.57529903896
2340,2,2,Rural,2019,188324.6117075596
1414,5,3,Rural,1983,255215.16759090015
2118,3,2,Rural,1994,214507.14640090585
2808,3,1,Urban,2015,323274.09165869444
1891,3,1,Urban,1992,183857.50467236468
2047,2,3,Suburb,2001,241632.69989362874
2651,3,2,Suburb,1951,273443.9052514327
1662,5,2,Urban,1957,245184.45696325152
2873,2,3,Rural,1953,325123.79201551154
2073,3,2,Rural,2014,221686.48633999305
2525,5,1,Urban,2008,302152.8256010177
1717,2,2,Rural,2014,254584.0649439543
2521,3,1,Rural,1978,315950.85196469084
2358,4,3,Urban,1993,338821.3119067317
2102,5,2,Rural,1987,251225.8098989565
2605,4,3,Rural,1967,380169.92663524457
2050,2,3,Suburb,1960,194439.40889981258
1270,3,2,Suburb,1954,274297.3909107158
1561,5,2,Rural,2010,170650.2774579904
1803,5,2,Urban,1956,208961.48636472804
1246,5,1,Suburb,2008,226084.54355799974
2799,4,3,Rural,2002,303887.64276132063
2614,3,1,Rural,1986,228946.82046378183
1386,3,3,Suburb,2010,195135.92459546402
1701,3,3,Urban,1984,219308.26310379972
1558,4,1,Suburb,1982,194638.12371955434
1972,2,3,Urban,1966,294960.4870525019
2384,4,1,Urban,2009,193852.54768485966
2889,2,2,Urban,1996,346129.63394825364
1983,4,3,Rural,2016,233875.7622153108
2511,3,1,Suburb,1966,222157.60113973025
1351,3,2,Urban,1952,264446.5956164169
2724,3,3,Rural,1986,286122.9906409906
2951,4,3,Suburb,1995,274289.06977117696
2279,5,3,Suburb,2019,288905.19288726914
2245,4,3,Urban,1983,243310.76526055412
2907,2,2,Suburb,1988,193069.2530443994
1752,4,3,Urban,1961,192820.00114782687
1780,2,3,Rural,1977,320201.7066773964
2024,4,2,Suburb,1988,210474.01259486531
1545,5,2,Suburb,2015,147851.33519352143
2469,5,3,Suburb,1988,325679.4899716168
1078,3,2,Suburb,1987,149093.25032003017
2259,5,2,Urban,2005,248186.76804180766
1333,4,1,Suburb,1983,61813.38455814787
1888,5,2,Suburb,1977,131898.01003757198
2372,3,1,Rural,2011,219575.4706486581
2121,4,1,Suburb,1995,273136.21254086896
2105,2,1,Urban,1976,248123.26605059655
1501,4,1,Urban,2021,152533.7211722148
2990,3,1,Suburb,2001,403392.2482951586
2500,5,2,Urban,1951,199492.45627832727
2950,5,2,Suburb,1985,325000.89172354754
2727,4,2,Urban,1972,260698.16800541486
1764,2,3,Rural,1950,187847.1573840404
1920,2,2,Rural,2014,107193.41797797744
1549,2,1,Suburb,2016,113740.28073539915
1013,2,3,Rural,1977,146511.37673538213
1391,4,3,Urban,1981,232921.78800216634
2370,5,2,Urban,1972,263107.2612300021
1309,2,3,Suburb,1996,106229.84581048146
1385,4,2,Suburb,1996,143369.02954448826
2232,4,2,Rural,1995,210188.43843529164
2380,4,1,Urban,1982,261200.1055427737
1973,2,3,Urban,1991,204282.05711438096
2624,2,3,Urban,1987,266515.32937189715
2591,4,3,Rural,2016,301257.56062896515
2117,4,2,Rural,1983,270230.0778031526
2116,4,3,Urban,1998,232734.64067730287
1339,5,1,Suburb,1977,143920.4400772189
1596,5,3,Rural,1957,180041.0479704855
2468,3,3,Suburb,1998,362268.9357904036
1756,3,1,Rural,1954,160749.5613710733
2045,2,2,Rural,1980,181244.0345877088
1290,5,2,Urban,2002,69986.46688787981
2508,3,3,Urban,1984,253009.02107569767
2807,4,1,Rural,2007,290925.4789865685
1305,4,1,Rural,1954,206030.41805293693
1633,2,1,Urban,1982,273177.39578612754
2151,2,2,Urban,1962,225156.93901234012
1624,3,2,Suburb,1974,96352.93453390514
1938,4,2,Suburb,1973,188208.61925283907
2296,2,1,Suburb,1960,288279.80576465174
1847,2,2,Urban,1960,185298.24084740534
1441,5,3,Urban,1979,221651.22713654372
1502,3,2,Suburb,1963,156251.1403851855
1129,2,3,Urban,2014,170383.36961292638
2155,3,2,Suburb,2016,329599.14279568073
1596,4,3,Suburb,1974,184449.70863522516
2958,3,1,Suburb,1974,300024.91293918574
2505,2,2,Rural,2000,262083.12292271195
1861,5,3,Suburb,1967,196001.46807807218
2413,3,1,Rural,1993,243683.98230611454
1592,3,3,Suburb,2007,168730.30789230182
1998,4,2,Rural,2003,196611.5689714165
1324,5,2,Suburb,1983,214779.11413154253
2092,3,2,Urban,1963,261685.3283235679
2683,5,1,Rural,1993,291040.02309907466
1447,2,2,Suburb,1976,169646.81043264476
2551,5,1,Urban,2013,218051.0403701908
1818,2,1,Urban,1992,229703.5105320035
2640,4,2,Suburb,1951,261644.73484085046
2188,4,2,Urban,2003,180442.33650814573
2511,4,2,Urban,1981,348522.56698375114
2736,2,2,Urban,1986,270371.3682934256
1708,3,3,Suburb,1983,145956.96674760012
2449,2,3,Rural,1982,176109.26680267515
2720,5,3,Suburb,1973,350975.2789114668
2857,5,1,Suburb,1982,304879.14766914013
1264,2,1,Rural,1975,217616.41323918867
2898,4,3,Suburb,1990,337687.16472838435
1611,4,2,Rural,1990,174750.11880699545
2365,5,1,Urban,2008,249020.5089262724
1831,5,1,Urban,1955,226844.3180955848
2749,3,1,Suburb,2006,376813.33514751564
2301,3,1,Suburb,1966,197827.12162954579
1673,3,3,Urban,1965,203002.49028979192
2462,5,3,Rural,1993,289397.02359904925
1156,3,1,Urban,1973,112326.3548669957
2445,5,2,Suburb,2018,264007.3346477516
1250,5,3,Urban,1969,171909.12530032944
1877,2,1,Urban,2000,211551.2937710035
2632,3,3,Rural,2003,327283.9917956144
1529,2,1,Urban,1977,78175.4486437367
1326,2,2,Rural,2005,186309.93798859097
1960,3,1,Urban,1981,255436.9597874314
1894,5,1,Rural,1970,206032.40192490825
1096,5,1,Rural,2010,76669.45589190058
1512,5,2,Urban,1984,186369.81877410086
1215,3,1,Urban,1971,130971.37173901839
2155,5,1,Urban,2006,232726.08513335214
2283,2,3,Rural,1968,157568.71317709624
1124,4,1,Suburb,1967,140073.65010445256
2105,3,3,Suburb,2005,150143.20796998782
2306,4,1,Rural,1967,307089.392239443
2706,2,2,Rural,2013,208392.6199955789
1058,4,2,Rural,1993,137767.05349463806
2567,2,2,Urban,2010,282113.4040966378
1160,4,1,Urban,1996,91790.21949166906
1283,4,2,Urban,1998,134287.36906250883
1105,5,2,Suburb,2008,110490.94669441179
2128,4,1,Urban,2005,243422.8566885287
2462,2,3,Suburb,1998,221888.3988174838
1227,2,1,Urban,1958,254900.00903916877
2723,2,1,Suburb,1982,232733.27071244386
2605,3,3,Rural,2005,263505.89441837324
1317,2,2,Rural,1979,127385.33048578248
2487,3,1,Rural,1995,212616.0752115539
1801,2,3,Suburb,1958,170063.95440357117
2622,3,3,Suburb,1972,267972.07833814644
2905,4,2,Urban,1953,257339.8036406528
1873,4,1,Suburb,1993,298782.2676225123
1471,2,3,Suburb,1990,155851.32323534664
2079,3,1,Urban,1995,253695.9780875961
1624,5,1,Suburb,1976,269548.90483025834
1012,5,2,Suburb,1960,124581.59078805464
2463,5,1,Rural,1969,254515.30948917108
2041,4,2,Urban,1980,221712.68417765314
1693,4,3,Rural,1990,359498.0205758003
1972,3,2,Suburb,1997,260828.8145422506
1112,2,2,Urban,1968,155865.9670133783
1228,4,3,Urban,2020,234735.53233699984
1170,2,2,Rural,2001,147698.04397303378
1294,5,2,Rural,1965,170085.39091918824
1188,5,3,Rural,1973,193598.89381336793
1425,2,2,Urban,2019,190975.32775771135
1976,3,1,Urban,1988,193047.3517155295
2102,5,2,Urban,1964,219548.86150707013
1657,3,2,Urban,1953,140938.81201583848
1918,5,1,Suburb,2005,205733.30276169896
2205,4,2,Rural,1951,367469.862723262
1498,5,3,Urban,1971,221059.62642645155
2821,3,3,Suburb,2015,340544.0139500007
1761,4,1,Rural,1969,236266.81343109158
1865,5,3,Urban,1953,160590.41113792063
1825,4,2,Suburb,1997,241185.76325018328
2731,4,3,Urban,2004,280049.6813977328
2858,5,2,Suburb,2020,295478.73872667877
1070,2,2,Rural,2003,92771.41727067926
1247,2,2,Suburb,1973,200897.98498749122
1145,3,2,Rural,1960,143701.784303884
2641,3,2,Suburb,1965,279270.9027623771
2798,5,3,Suburb,2014,284626.96732756036
2319,4,2,Urban,1962,177054.3138567183
1581,4,1,Suburb,1955,172353.66739857834
1469,2,1,Urban,2001,88133.0466362289
2529,2,1,Rural,2007,329314.7579336036
1192,4,3,Suburb,1983,287173.57610676246
2091,4,1,Urban,1999,293870.336910335
1493,3,2,Urban,1977,170768.03322125602
2840,4,3,Rural,2019,328821.0635926897
1051,4,3,Suburb,2009,155159.83209594182
1881,5,2,Suburb,2007,174409.06085880526
1362,4,1,Urban,2019,207697.681608176
2820,2,2,Urban,1969,287938.80979731434
1916,2,1,Suburb,1989,184966.5518250384
1473,3,1,Rural,2011,153591.60816402093
2869,3,1,Urban,1954,333890.62524968386
1520,5,1,Suburb,1987,236946.05307569075
2786,3,1,Suburb,1959,411541.8263499134
2454,4,2,Urban,2015,251165.9912165272
2867,4,3,Suburb,2020,308954.6494379749
2321,5,3,Rural,2014,250368.1826295437
2458,2,3,Urban,1955,196130.30950957836
2719,4,2,Rural,1966,277276.69234522403
1690,4,2,Rural,1975,244383.5263360123
2221,5,3,Rural,1956,277108.01077268535
2151,2,1,Rural,1997,345179.73240465915
1531,3,3,Rural,2014,136812.2484696403
2434,4,3,Urban,1985,259373.73863145357
2957,2,1,Suburb,2019,308952.4242274904
1839,5,1,Urban,1968,231766.6086537963
2088,5,1,Suburb,1955,213786.52581500707
2717,2,2,Suburb,1979,274980.117758744
1240,5,1,Suburb,1984,226541.00695192697
2392,3,3,Rural,2006,319749.0189508542
1535,2,3,Rural,1966,196676.37255143636
2407,3,3,Suburb,2011,312542.69951918843
2454,5,3,Suburb,1959,308145.82180904923
2990,3,1,Suburb,1967,291886.6099195916
1082,3,2,Suburb,1953,165168.7475070039
1981,3,3,Rural,2021,289879.4489709003
2854,3,1,Urban,1973,306391.6257956058
2720,2,1,Urban,2013,291372.44094130886
1950,5,2,Rural,1991,306861.8889379704
2851,5,2,Urban,1976,388479.9635472932
1610,4,1,Rural,2006,213474.77780755755
1573,3,3,Rural,1987,184199.06505118604
1285,3,3,Suburb,2001,167443.41523330664
1988,4,2,Suburb,1965,252345.90693752706
2557,4,1,Suburb,1996,261099.5105622686
1458,3,3,Rural,1990,228463.23427095215
2235,5,1,Urban,1976,252887.67768931435
1125,4,1,Rural,1998,167950.53790553776
2436,3,3,Urban,1975,276418.6213730629
2522,5,3,Rural,2003,380444.7932116209
1424,2,3,Suburb,1955,130472.98096915009
1553,4,2,Rural,1950,230570.35229171527
1609,4,2,Rural,1968,203086.10931468665
2984,5,1,Rural,1983,373296.13775196834
2566,2,3,Urban,1955,301975.301161533
2181,5,3,Urban,2018,299543.60710650316
1111,4,1,Suburb,1988,131691.10751957013
1401,2,3,Rural,1980,216544.6907274054
2782,3,3,Suburb,1988,287907.04459312506
1121,4,3,Rural,1956,142711.6941027826
1272,5,2,Suburb,1954,139343.73342376132
2317,5,1,Suburb,1977,272931.6114046765
1397,5,3,Urban,2019,124183.63834160907
1470,5,2,Urban,1989,285757.6795047385
1984,5,2,Rural,1967,226691.84521730107
2230,4,1,Urban,1966,255940.3983143923
2133,2,3,Rural,1950,277232.2021349992
2463,5,2,Rural,1968,312702.98910349834
2301,5,2,Urban,1954,233450.09857496028
2986,3,1,Rural,2009,378220.6878459193
2591,3,2,Rural,1951,322635.26646546094
2910,2,3,Rural,1960,196250.29604055686
2938,4,2,Urban,1953,355146.2543185512
1568,4,2,Urban,2020,67824.06617269009
2963,2,3,Urban,1972,268624.6364797859
2505,2,2,Urban,1984,267080.32675498317
2826,2,1,Urban,1988,352971.0565299112
2137,5,2,Urban,1980,297821.8596648525
2916,4,1,Suburb,1951,263441.52067053027
1896,2,1,Rural,1959,175696.3078626278
1819,3,3,Urban,1997,162894.1796927126
1852,5,1,Rural,1954,238750.70705834695
2500,5,2,Suburb,1977,286415.1549716739
1709,5,3,Suburb,1957,276732.5972259549
2956,5,1,Suburb,2017,318796.69823885884
1320,2,1,Urban,1958,131825.82611280322
1178,5,1,Urban,1963,158538.83598283972
1896,3,2,Suburb,1989,243335.30175626496
1218,3,2,Rural,1958,162860.1679326488
1788,2,1,Urban,1958,223267.1026538773
2972,5,3,Suburb,2001,314369.43440197886
2551,3,2,Rural,1990,283661.4131597456
1491,4,3,Urban,1960,66519.00389965289
2914,5,2,Suburb,1971,354307.00739407947
1060,2,3,Suburb,1994,21164.42581924722
2077,4,3,Rural,1976,262025.8897501302
2703,5,1,Suburb,1955,284511.62884312426
1537,4,1,Suburb,1971,195046.83038647773
1847,5,1,Rural,1975,252844.66217232172
1987,5,1,Suburb,2019,249465.23828860096
1064,3,3,Urban,2014,197604.97893944167
2635,4,1,Suburb,1964,311910.5186568824
1585,4,2,Rural,1965,123430.53596180468
2727,2,1,Urban,2005,433711.4766084304
1170,2,1,Urban,1997,73419.76490611106
2296,4,2,Rural,1958,305024.12376293296
2912,3,1,Urban,2006,295384.32012194576
2722,3,1,Urban,1975,326939.3980749448
1534,5,1,Rural,1978,188417.33040511393
2414,2,2,Rural,2014,242211.02011699247
2963,2,2,Urban,1993,303498.25467776036
1692,2,1,Rural,1966,218129.3284139029
2350,5,2,Suburb,1966,255546.83156081053
1107,3,3,Urban,1986,57604.26206421171
2870,2,2,Suburb,1960,318830.2822749786
2185,5,1,Urban,1977,300063.8579796587
1813,4,2,Suburb,2015,237692.13277911686
2004,3,1,Urban,2006,223121.17318709227
1451,4,3,Urban,1969,101924.1662732932
2229,2,3,Suburb,1969,239636.09140548442
1589,5,1,Suburb,1985,180106.0277736121
2039,3,2,Urban,2002,132575.796664686
1326,2,3,Suburb,1966,72576.6464745777
1607,3,1,Suburb,2018,87901.7211201625
1658,5,1,Urban,1963,220116.27659258983
1001,5,3,Suburb,1963,126913.46999812139
2033,2,1,Urban,1988,235345.60748563136
1433,3,3,Urban,1953,247188.2909019765
1124,5,3,Urban,1959,127792.23504878447
2104,3,2,Suburb,2000,181315.50597886782
1484,3,1,Urban,1973,207328.87830141996
1651,4,3,Urban,1979,184970.70360823188
2861,2,3,Suburb,1980,343728.7044122228
2173,2,2,Urban,1995,260312.1853343659
1799,3,3,Suburb,1973,156138.08903580488
1872,4,2,Rural,2011,184933.7223708076
2363,3,3,Rural,1981,216835.94449474942
1128,2,1,Suburb,1957,132984.0523563523
1437,2,1,Urban,2018,235196.0808328429
1750,3,1,Rural,1969,208693.09583352163
1500,3,2,Rural,1964,205165.23602970556
2081,3,1,Suburb,2008,320814.0690909453
2221,2,2,Suburb,1958,270791.3667407657
1210,3,2,Rural,1977,89539.30037691424
2937,3,2,Rural,1999,263953.35252024763
1901,5,3,Urban,1993,184797.64384514416
1044,2,2,Urban,2020,84495.67767071126
2120,3,3,Suburb,1972,163849.48668454163
2302,4,2,Rural,1973,250916.52918686302
1534,2,2,Urban,1965,135545.64838936008
2433,3,3,Urban,2005,333312.60458200047
1460,3,3,Suburb,1971,246880.06728193036
1390,5,1,Rural,1972,157868.21237160504
2870,5,1,Rural,1968,286823.61376672005
2067,2,3,Suburb,1982,175215.6889293787
1026,5,1,Urban,2008,127751.88046927743
1793,5,3,Suburb,1990,282937.36963216896
2120,2,3,Suburb,1988,268384.2680874683
1974,4,1,Rural,1951,272453.25004147354
1547,3,3,Rural,2001,205324.1400250354
1620,3,3,Suburb,2006,185649.43369355382
1566,5,1,Urban,1966,239801.82393830502
1703,3,2,Urban,2008,125224.21917943847
2242,5,2,Urban,1960,194677.66241512512
1184,2,3,Suburb,1954,131319.78419489
2092,2,1,Suburb,1990,211557.19899863206
2852,2,1,Rural,2021,324945.5554909242
2153,3,2,Suburb,2013,176229.63023953344
2590,5,3,Rural,1990,319184.6733364819
2913,5,2,Urban,2006,280824.0460763258
2632,3,2,Suburb,2012,268033.2282773463
1847,2,3,Rural,1976,310906.8030501661
1598,4,3,Urban,2004,190341.32053799494
1805,5,3,Rural,1979,212721.7435730158
2654,5,3,Suburb,1983,309197.0722553963
2743,3,3,Urban,1991,287974.46869785985
2357,4,3,Urban,1973,350499.068963134
2948,2,3,Urban,1961,308248.44194261916
2177,5,1,Suburb,1978,265352.7799044157
2570,3,1,Suburb,2009,179792.95493941268
1078,4,2,Suburb,2005,118139.28251459941
1578,3,2,Urban,1995,241500.25742457795
2878,4,1,Suburb,2007,229515.12729601996
1412,3,1,Rural,1963,99828.07495445239
1545,4,3,Rural,1968,240806.6399255634
2632,5,2,Urban,1990,315517.4464862818
1168,4,1,Rural,2006,144248.78547537327
1680,2,3,Rural,1979,202286.35468422915
2686,5,1,Suburb,1971,258014.9864619069
1582,2,2,Urban,1986,78890.23045383653
1514,5,1,Suburb,1954,133309.4873534891
2337,4,1,Rural,1968,157844.96996187628
1031,5,2,Rural,1995,139119.7470607415
1286,3,1,Rural,1972,156184.5399571642
1593,4,2,Urban,1982,197385.43636239436
2066,3,3,Rural,2016,124945.81294336304
2926,3,3,Rural,1993,377692.3946051354
1616,3,1,Urban,1969,179055.80352257716
2024,3,3,Suburb,2018,198968.50715836018
2596,2,2,Urban,1966,230357.57524585398
1269,4,2,Urban,1996,207007.2314096088
2203,3,1,Suburb,1988,266135.7208129079
2759,2,3,Urban,1966,251042.92332064928
1517,5,2,Suburb,2006,231217.69012004783
2126,3,2,Rural,2019,134734.72441886223
2033,3,1,Urban,2015,233681.2831717936
1582,2,3,Suburb,2019,290788.17026584723
2113,5,2,Urban,2015,207108.97835541936
1225,5,1,Suburb,2012,44686.110664975626
1669,2,1,Suburb,1952,267823.09657869826
2763,3,2,Suburb,1954,360354.1811558205
1916,4,2,Rural,1959,213330.68381922785
1125,2,1,Urban,1962,165022.38781385083
1955,4,3,Suburb,1954,171799.05777206435
2232,3,1,Rural,1960,318124.6978516429
2120,3,3,Rural,1983,252501.43452542688
1073,5,2,Suburb,1983,154991.93816912704
2650,3,2,Rural,2004,267696.136587919
2214,5,2,Urban,1976,313866.6321754782
2705,5,1,Urban,1979,332612.35371961497
2842,3,3,Urban,1984,375072.63393050263
2983,5,1,Suburb,1952,323999.6669455955
2739,3,1,Suburb,1973,262833.4965349462
1055,5,1,Suburb,1989,157941.22491610458
1719,5,3,Urban,1978,244779.00611498248
1552,3,3,Urban,1986,246537.33332660235
1031,4,2,Rural,1969,132656.42181132326
2550,2,1,Suburb,1951,283495.44415766833
1573,3,3,Suburb,2021,163985.12019238138
1666,5,1,Rural,1965,201757.33775026092
1283,2,2,Rural,1976,199549.08272827696
2744,4,2,Suburb,1982,227652.71973277238
2855,3,1,Urban,1991,274662.6380132967
2517,5,2,Urban,1961,197432.12187686755
1186,5,3,Suburb,1951,152784.16477145112
1497,3,3,Urban,1963,195553.935817854
2465,5,3,Suburb,1996,161478.92347799672
1129,2,3,Suburb,1992,64541.1510167504
1638,5,2,Urban,1975,204939.4301886416
2315,2,3,Urban,1971,148856.66029177804
1113,2,2,Suburb,2014,141408.15230287236
2222,3,2,Suburb,2017,270721.9542924996
1012,5,1,Suburb,2001,148490.2928812663
2294,2,2,Suburb,1987,208073.3751914695
2624,5,1,Rural,1993,357604.8148227808
2238,2,2,Rural,1980,262170.3496903519
1443,4,3,Suburb,2006,170658.5845231626
2813,3,1,Suburb,1971,263270.8401047779
2535,3,2,Urban,1951,332007.9677199598
1446,3,2,Suburb,1955,213194.34071766576
1985,2,1,Suburb,1964,251286.74835346173
1992,4,1,Urban,2003,157829.4370955209
1714,2,3,Urban,1967,184865.5302721414
1073,3,3,Suburb,1957,109519.47469583599
1536,2,2,Urban,1977,168044.75511727016
1100,3,2,Rural,1976,167917.0119207295
1175,5,2,Rural,2002,259629.22594563203
1426,2,2,Rural,1976,114034.33988797822
2140,5,1,Rural,1961,152143.55957021192
2189,2,1,Rural,1976,235607.59778287777
1040,3,2,Rural,1980,171805.916424456
1428,5,2,Rural,1982,195854.6766720469
1343,2,3,Urban,1950,128689.55494000469
2447,3,2,Urban,1962,170753.60118451185
1365,2,3,Urban,2007,249589.57099798424
2143,5,3,Urban,1971,154350.61345603276
1608,2,2,Urban,1964,293593.2220776334
1656,2,1,Rural,1956,191249.47615160636
1727,5,3,Suburb,1951,105316.69868002023
1228,3,3,Suburb,2015,110674.05011676002
1824,2,2,Urban,1956,271569.81770965643
2153,2,1,Suburb,2013,154434.12617086287
2375,4,3,Suburb,2018,170816.0537004249
1888,4,2,Rural,2005,133449.33259284857
2341,3,1,Rural,1953,300449.83748742606
1983,5,1,Suburb,1989,200094.1047146848
2672,3,1,Rural,2014,302748.95446698635
1835,3,3,Rural,1965,151187.0027722756
2360,3,1,Suburb,1973,335669.7974747967
2296,2,3,Rural,1951,217564.2537067078
1116,2,2,Urban,2017,119399.00420059623
1817,3,1,Urban,2015,200258.21153176334
1367,3,3,Suburb,2000,212203.3822654704
2117,4,1,Suburb,1985,283987.1767608902
1167,5,3,Urban,2015,155820.42206412213
1953,3,2,Rural,1976,298407.81863004563
2738,4,3,Suburb,2004,353149.6722463164
2364,3,2,Rural,1958,222080.93942278135
1660,5,1,Rural,2014,152401.16401955212
