productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Broccoli Crowns,2013/7/21,$0.71 ,$1.86 ,$1.37 ,$1.42 ,$1.59 ,119.72%
Plums,2013/7/21,$0.47 ,$0.00 ,$1.49 ,$1.49 ,$1.74 ,151.06%
Cantaloupe,2013/7/21,$0.40 ,$2.16 ,$2.50 ,$2.86 ,$2.62 ,533.75%
Potatoes,2013/7/21,$2.10 ,$4.75 ,$3.89 ,$3.87 ,$6.99 ,132.14%
Carrots,2013/7/21,$0.30 ,$0.89 ,$0.84 ,$0.92 ,$1.44 ,240.83%
Red Leaf Lettuce,2013/7/21,$0.38 ,$1.86 ,$1.52 ,$1.37 ,$1.79 ,330.26%
Cauliflower,2013/7/21,$1.58 ,$3.05 ,$3.24 ,$3.02 ,$4.11 ,112.34%
Romaine Lettuce,2013/7/21,$0.54 ,$1.96 ,$1.93 ,$1.39 ,$2.43 ,256.94%
Celery,2013/7/21,$0.44 ,$1.67 ,$1.62 ,$1.79 ,$2.12 ,309.09%
Strawberries,2013/7/21,$0.91 ,$2.12 ,$2.25 ,$2.62 ,$2.99 ,174.18%
Flame Grapes,2013/7/21,$0.78 ,$2.06 ,$1.56 ,$1.59 ,$2.61 ,150.64%
Green Leaf Lettuce,2013/7/21,$0.65 ,$1.84 ,$1.40 ,$1.37 ,$1.65 ,140.77%
Honeydews,2013/7/21,$0.88 ,$3.84 ,$3.99 ,$2.78 ,$4.12 ,318.47%
Iceberg Lettuce,2013/7/21,$0.86 ,$1.52 ,$1.50 ,$1.29 ,$1.99 ,83.14%
Green Leaf Lettuce,2013/7/14,$0.68 ,$2.06 ,$1.23 ,$1.37 ,$1.65 ,131.99%
Honeydews,2013/7/14,$0.88 ,$3.96 ,$3.99 ,$2.66 ,$4.99 ,343.18%
Iceberg Lettuce,2013/7/14,$0.62 ,$1.52 ,$1.49 ,$1.24 ,$1.99 ,151.61%
Nectarines,2013/7/14,$0.38 ,$2.09 ,$1.64 ,$1.49 ,$0.00 ,243.42%
Peaches,2013/7/14,$0.40 ,$1.68 ,$1.82 ,$1.24 ,$1.49 ,289.38%
Plums,2013/7/14,$0.52 ,$2.19 ,$1.87 ,$1.87 ,$1.74 ,268.75%
Potatoes,2013/7/14,$2.05 ,$4.92 ,$3.52 ,$3.74 ,$0.00 ,48.54%
Red Leaf Lettuce,2013/7/14,$0.37 ,$1.86 ,$1.34 ,$1.37 ,$1.79 ,329.73%
Romaine Lettuce,2013/7/14,$0.46 ,$1.96 ,$2.11 ,$1.39 ,$2.18 ,315.22%
Strawberries,2013/7/14,$0.88 ,$2.24 ,$2.32 ,$1.97 ,$2.96 ,169.60%
Flame Grapes,2013/7/14,$0.79 ,$1.99 ,$1.99 ,$2.37 ,$2.37 ,175.95%
Avocados,2013/7/14,$0.51 ,$1.08 ,$1.25 ,$1.05 ,$1.87 ,157.35%
Broccoli Bunches,2013/7/14,$0.61 ,$2.51 ,$2.37 ,$1.32 ,$2.66 ,263.11%
Broccoli Crowns,2013/7/14,$0.47 ,$1.96 ,$1.69 ,$1.69 ,$1.87 ,283.51%
Cantaloupe,2013/7/14,$0.46 ,$2.16 ,$2.84 ,$2.46 ,$2.87 ,461.41%
Carrots,2013/7/14,$0.30 ,$0.89 ,$0.92 ,$0.92 ,$1.59 ,260.00%
Cauliflower,2013/7/14,$0.81 ,$3.18 ,$3.32 ,$2.97 ,$4.11 ,319.14%
Celery,2013/7/14,$0.45 ,$1.67 ,$1.54 ,$1.79 ,$2.17 ,298.33%
Cantaloupe,2013/7/7,$0.40 ,$2.24 ,$2.37 ,$1.57 ,$2.66 ,452.50%
Red Leaf Lettuce,2013/7/7,$0.34 ,$1.81 ,$1.41 ,$1.32 ,$1.79 ,365.44%
Carrots,2013/7/7,$0.30 ,$0.89 ,$0.92 ,$0.92 ,$1.39 ,243.33%
Romaine Lettuce,2013/7/7,$0.41 ,$1.86 ,$1.91 ,$1.34 ,$2.18 ,344.51%
Cauliflower,2013/7/7,$0.77 ,$3.13 ,$3.01 ,$2.97 ,$4.24 ,333.44%
Strawberries,2013/7/7,$0.97 ,$2.24 ,$2.29 ,$2.62 ,$2.71 ,154.12%
Celery,2013/7/7,$0.46 ,$1.64 ,$1.69 ,$1.79 ,$2.29 ,302.72%
Green Leaf Lettuce,2013/7/7,$0.61 ,$2.04 ,$1.28 ,$1.32 ,$1.65 ,157.79%
Honeydews,2013/7/7,$0.83 ,$3.39 ,$4.24 ,$2.41 ,$4.99 ,352.71%
Iceberg Lettuce,2013/7/7,$0.53 ,$1.51 ,$1.47 ,$1.24 ,$1.74 ,181.13%
Nectarines,2013/7/7,$0.42 ,$1.99 ,$1.82 ,$0.92 ,$0.00 ,181.55%
Avocados,2013/7/7,$0.77 ,$1.21 ,$1.20 ,$1.12 ,$1.62 ,67.21%
Peaches,2013/7/7,$0.40 ,$1.99 ,$1.82 ,$1.37 ,$2.24 ,363.75%
Broccoli Bunches,2013/7/7,$0.64 ,$2.69 ,$2.29 ,$1.32 ,$2.66 ,250.00%
Plums,2013/7/7,$0.59 ,$1.99 ,$1.87 ,$1.24 ,$1.99 ,200.42%
Broccoli Crowns,2013/7/7,$0.46 ,$1.76 ,$1.69 ,$1.69 ,$2.04 ,290.22%
Potatoes,2013/7/7,$1.70 ,$4.12 ,$3.50 ,$3.74 ,$0.00 ,67.06%
Iceberg Lettuce,2013/6/30,$0.43 ,$1.49 ,$1.44 ,$1.24 ,$1.92 ,254.07%
Nectarines,2013/6/30,$0.46 ,$1.99 ,$2.54 ,$1.99 ,$0.00 ,254.35%
Avocados,2013/6/30,$0.77 ,$1.06 ,$1.26 ,$0.91 ,$1.67 ,59.09%
Peaches,2013/6/30,$0.46 ,$1.99 ,$1.78 ,$1.37 ,$0.00 ,179.35%
Broccoli Bunches,2013/6/30,$0.66 ,$2.69 ,$2.39 ,$1.32 ,$2.66 ,243.18%
Plums,2013/6/30,$0.63 ,$1.99 ,$1.72 ,$1.87 ,$0.00 ,121.43%
Broccoli Crowns,2013/6/30,$0.48 ,$1.76 ,$1.69 ,$1.64 ,$2.17 ,278.13%
Potatoes,2013/6/30,$1.26 ,$4.12 ,$3.43 ,$3.62 ,$0.00 ,121.63%
Cantaloupe,2013/6/30,$0.44 ,$2.34 ,$2.49 ,$3.24 ,$2.99 ,528.41%
Red Leaf Lettuce,2013/6/30,$0.32 ,$1.76 ,$1.47 ,$1.37 ,$1.68 ,390.63%
Carrots,2013/6/30,$0.30 ,$0.92 ,$0.92 ,$0.92 ,$1.44 ,250.00%
Romaine Lettuce,2013/6/30,$0.40 ,$1.96 ,$1.99 ,$1.39 ,$2.18 ,370.00%
Cauliflower,2013/6/30,$1.16 ,$3.18 ,$3.01 ,$3.43 ,$4.24 ,198.71%
Strawberries,2013/6/30,$1.09 ,$2.06 ,$2.22 ,$2.50 ,$2.74 ,118.35%
Celery,2013/6/30,$0.43 ,$1.64 ,$1.64 ,$1.59 ,$2.37 ,320.93%
Green Leaf Lettuce,2013/6/30,$0.44 ,$2.22 ,$1.32 ,$1.37 ,$1.76 ,278.98%
Honeydews,2013/6/30,$0.90 ,$3.29 ,$4.37 ,$2.78 ,$4.74 ,321.67%
Celery,2013/6/23,$0.42 ,$1.61 ,$1.69 ,$1.49 ,$2.24 ,318.45%
Strawberries,2013/6/23,$1.13 ,$2.12 ,$1.99 ,$2.13 ,$2.61 ,95.80%
Flame Grapes,2013/6/23,$0.86 ,$2.14 ,$1.86 ,$2.24 ,$2.61 ,157.27%
Green Leaf Lettuce,2013/6/23,$0.38 ,$2.04 ,$1.40 ,$1.32 ,$1.65 ,321.71%
Honeydews,2013/6/23,$0.96 ,$3.39 ,$4.24 ,$2.97 ,$4.99 ,305.99%
Iceberg Lettuce,2013/6/23,$0.41 ,$1.44 ,$1.42 ,$1.24 ,$1.92 ,267.07%
Avocados,2013/6/23,$0.76 ,$1.21 ,$1.45 ,$0.76 ,$1.75 ,70.07%
Nectarines,2013/6/23,$0.46 ,$0.00 ,$1.81 ,$1.66 ,$2.49 ,223.91%
Broccoli Bunches,2013/6/23,$0.66 ,$2.51 ,$2.39 ,$0.99 ,$2.66 ,223.86%
Peaches,2013/6/23,$0.52 ,$2.49 ,$1.81 ,$1.49 ,$0.00 ,178.37%
Broccoli Crowns,2013/6/23,$0.52 ,$1.64 ,$1.69 ,$1.59 ,$1.99 ,232.21%
Plums,2013/6/23,$0.70 ,$1.99 ,$1.62 ,$1.74 ,$1.99 ,162.14%
Cantaloupe,2013/6/23,$0.59 ,$2.59 ,$2.66 ,$2.47 ,$2.79 ,345.34%
Potatoes,2013/6/23,$1.20 ,$4.08 ,$3.24 ,$3.32 ,$0.00 ,121.67%
Carrots,2013/6/23,$0.29 ,$1.42 ,$0.92 ,$0.79 ,$1.44 ,293.97%
Red Leaf Lettuce,2013/6/23,$0.32 ,$1.81 ,$1.54 ,$1.32 ,$1.79 ,404.69%
Cauliflower,2013/6/23,$1.42 ,$3.05 ,$3.32 ,$3.14 ,$3.61 ,130.99%
Romaine Lettuce,2013/6/23,$0.41 ,$1.96 ,$2.06 ,$1.37 ,$2.18 ,361.59%
Plums,2013/6/16,$0.86 ,$0.00 ,$2.37 ,$1.99 ,$1.99 ,84.59%
Carrots,2013/6/16,$0.29 ,$0.91 ,$0.92 ,$0.84 ,$1.44 ,254.31%
Potatoes,2013/6/16,$1.00 ,$3.98 ,$3.39 ,$3.49 ,$5.99 ,321.25%
Cauliflower,2013/6/16,$1.26 ,$3.04 ,$3.27 ,$3.08 ,$3.65 ,158.73%
Red Leaf Lettuce,2013/6/16,$0.33 ,$1.83 ,$1.63 ,$1.32 ,$1.79 ,397.73%
Celery,2013/6/16,$0.35 ,$1.74 ,$1.77 ,$1.77 ,$2.24 ,437.14%
Romaine Lettuce,2013/6/16,$0.40 ,$1.97 ,$2.05 ,$1.37 ,$2.18 ,373.13%
Flame Grapes,2013/6/16,$0.89 ,$2.31 ,$1.99 ,$1.86 ,$2.44 ,141.57%
Strawberries,2013/6/16,$1.06 ,$2.19 ,$2.49 ,$2.50 ,$2.86 ,136.79%
Green Leaf Lettuce,2013/6/16,$0.37 ,$1.73 ,$1.48 ,$1.32 ,$1.65 ,317.57%
Honeydews,2013/6/16,$0.96 ,$3.39 ,$4.24 ,$2.69 ,$4.99 ,298.70%
Iceberg Lettuce,2013/6/16,$0.51 ,$1.49 ,$1.44 ,$1.24 ,$1.92 ,198.53%
Avocados,2013/6/16,$0.76 ,$1.22 ,$1.17 ,$1.20 ,$1.79 ,76.97%
Nectarines,2013/6/16,$0.58 ,$0.00 ,$1.89 ,$1.49 ,$2.99 ,174.57%
Broccoli Bunches,2013/6/16,$0.60 ,$2.66 ,$2.47 ,$1.16 ,$2.66 ,272.92%
Oranges,2013/6/16,$0.54 ,$1.36 ,$1.37 ,$1.34 ,$2.26 ,193.06%
Broccoli Crowns,2013/6/16,$0.46 ,$1.78 ,$1.69 ,$1.59 ,$2.17 ,292.93%
Peaches,2013/6/16,$0.56 ,$0.00 ,$1.89 ,$1.74 ,$2.14 ,157.59%
Cantaloupe,2013/6/16,$0.56 ,$2.16 ,$2.60 ,$1.96 ,$3.12 ,339.29%
Broccoli Bunches,2013/6/9,$0.70 ,$2.53 ,$1.94 ,$0.99 ,$2.66 ,190.00%
Oranges,2013/6/9,$0.54 ,$1.36 ,$1.63 ,$1.24 ,$2.42 ,207.87%
Broccoli Crowns,2013/6/9,$0.48 ,$1.70 ,$1.69 ,$1.59 ,$2.04 ,265.63%
Peaches,2013/6/9,$0.64 ,$0.00 ,$2.56 ,$1.84 ,$0.00 ,71.88%
Cantaloupe,2013/6/9,$0.60 ,$2.64 ,$2.67 ,$4.13 ,$2.74 ,407.50%
Plums,2013/6/9,$0.95 ,$0.00 ,$2.16 ,$2.74 ,$0.00 ,28.95%
Carrots,2013/6/9,$0.30 ,$0.91 ,$0.92 ,$0.84 ,$1.44 ,242.50%
Potatoes,2013/6/9,$0.80 ,$4.05 ,$3.39 ,$3.49 ,$0.00 ,241.56%
Cauliflower,2013/6/9,$1.25 ,$2.91 ,$3.27 ,$3.14 ,$3.86 ,163.60%
Red Leaf Lettuce,2013/6/9,$0.29 ,$1.79 ,$1.64 ,$1.32 ,$1.57 ,444.83%
Celery,2013/6/9,$0.55 ,$1.70 ,$1.82 ,$1.72 ,$2.24 ,240.00%
Romaine Lettuce,2013/6/9,$0.35 ,$1.96 ,$1.96 ,$1.37 ,$2.02 ,422.14%
Flame Grapes,2013/6/9,$0.89 ,$2.18 ,$2.74 ,$2.49 ,$2.44 ,176.69%
Strawberries,2013/6/9,$1.00 ,$2.12 ,$2.33 ,$2.50 ,$2.32 ,131.75%
Green Leaf Lettuce,2013/6/9,$0.32 ,$1.72 ,$1.51 ,$1.32 ,$1.44 ,367.97%
Honeydews,2013/6/9,$0.88 ,$3.39 ,$3.74 ,$2.88 ,$4.99 ,326.14%
Iceberg Lettuce,2013/6/9,$0.43 ,$1.47 ,$1.47 ,$1.24 ,$1.92 ,254.65%
Avocados,2013/6/9,$0.77 ,$1.22 ,$1.45 ,$1.12 ,$1.71 ,78.57%
Nectarines,2013/6/9,$0.66 ,$0.00 ,$2.56 ,$2.12 ,$0.00 ,77.27%
Romaine Lettuce,2013/6/2,$0.28 ,$1.99 ,$1.86 ,$1.37 ,$2.02 ,546.43%
Strawberries,2013/6/2,$0.97 ,$2.19 ,$2.16 ,$2.50 ,$2.99 ,153.61%
Honeydews,2013/6/2,$0.96 ,$2.99 ,$3.99 ,$3.25 ,$8.92 ,398.70%
Iceberg Lettuce,2013/6/2,$0.46 ,$1.51 ,$1.29 ,$1.24 ,$1.74 ,214.13%
Avocados,2013/6/2,$0.77 ,$1.22 ,$1.32 ,$1.19 ,$1.54 ,71.10%
Nectarines,2013/6/2,$0.70 ,$0.00 ,$2.61 ,$1.87 ,$0.00 ,60.00%
Broccoli Bunches,2013/6/2,$0.84 ,$2.58 ,$1.75 ,$0.99 ,$2.62 ,136.31%
Oranges,2013/6/2,$0.52 ,$1.36 ,$1.36 ,$1.19 ,$1.77 ,173.08%
Broccoli Crowns,2013/6/2,$0.65 ,$1.44 ,$1.69 ,$1.49 ,$2.12 ,159.23%
Peaches,2013/6/2,$0.66 ,$0.00 ,$2.61 ,$2.12 ,$0.00 ,79.17%
Cantaloupe,2013/6/2,$0.56 ,$2.26 ,$2.84 ,$3.00 ,$2.86 ,389.29%
Potatoes,2013/6/2,$0.70 ,$4.12 ,$3.25 ,$3.49 ,$0.00 ,287.86%
Carrots,2013/6/2,$0.30 ,$0.91 ,$0.92 ,$0.84 ,$1.44 ,242.50%
Red Leaf Lettuce,2013/6/2,$0.26 ,$1.83 ,$1.57 ,$1.32 ,$1.57 ,504.81%
Cauliflower,2013/6/2,$1.26 ,$2.88 ,$3.01 ,$3.20 ,$3.49 ,149.60%
Celery,2013/6/2,$0.53 ,$2.01 ,$1.89 ,$1.72 ,$2.62 ,288.68%
Flame Grapes,2013/6/2,$0.92 ,$2.65 ,$2.74 ,$1.93 ,$2.61 ,169.84%
Green Leaf Lettuce,2013/6/2,$0.27 ,$1.72 ,$1.45 ,$1.32 ,$1.44 ,449.07%
Cantaloupe,2013/5/26,$0.54 ,$2.34 ,$2.87 ,$2.75 ,$2.86 ,400.93%
Romaine Lettuce,2013/5/26,$0.27 ,$2.16 ,$1.97 ,$1.39 ,$1.70 ,568.52%
Carrots,2013/5/26,$0.30 ,$0.91 ,$0.94 ,$0.84 ,$1.44 ,244.17%
Strawberries,2013/5/26,$0.97 ,$2.04 ,$2.62 ,$2.12 ,$2.61 ,142.01%
Cauliflower,2013/5/26,$1.23 ,$2.75 ,$3.32 ,$2.88 ,$3.37 ,150.41%
Celery,2013/5/26,$0.80 ,$2.01 ,$1.89 ,$1.74 ,$2.66 ,159.38%
Flame Grapes,2013/5/26,$1.03 ,$2.69 ,$2.49 ,$2.74 ,$2.99 ,164.81%
Green Leaf Lettuce,2013/5/26,$0.26 ,$1.69 ,$1.49 ,$1.32 ,$1.55 ,481.73%
Honeydews,2013/5/26,$1.19 ,$3.19 ,$4.24 ,$2.97 ,$4.74 ,218.07%
Iceberg Lettuce,2013/5/26,$0.28 ,$1.51 ,$1.42 ,$1.24 ,$1.92 ,443.75%
Avocados,2013/5/26,$0.78 ,$1.22 ,$1.25 ,$1.38 ,$1.39 ,67.95%
Oranges,2013/5/26,$0.51 ,$1.31 ,$1.42 ,$1.14 ,$1.66 ,171.08%
Broccoli Bunches,2013/5/26,$0.89 ,$2.60 ,$2.20 ,$1.12 ,$2.66 ,141.01%
Potatoes,2013/5/26,$0.70 ,$3.69 ,$3.49 ,$3.49 ,$0.00 ,281.07%
Broccoli Crowns,2013/5/26,$0.66 ,$1.86 ,$1.42 ,$1.59 ,$1.87 ,155.30%
Red Leaf Lettuce,2013/5/26,$0.26 ,$1.83 ,$1.68 ,$1.32 ,$1.68 ,525.96%
Honeydews,2013/5/19,$1.46 ,$3.19 ,$4.99 ,$2.97 ,$4.74 ,172.09%
Iceberg Lettuce,2013/5/19,$0.30 ,$1.39 ,$1.29 ,$1.24 ,$1.92 ,386.67%
Avocados,2013/5/19,$0.77 ,$1.22 ,$1.01 ,$1.12 ,$1.12 ,45.13%
Oranges,2013/5/19,$0.48 ,$1.31 ,$0.99 ,$1.14 ,$1.66 ,165.63%
Broccoli Bunches,2013/5/19,$0.78 ,$2.38 ,$2.00 ,$1.16 ,$2.66 ,162.82%
Potatoes,2013/5/19,$0.70 ,$4.08 ,$3.66 ,$3.37 ,$0.00 ,296.79%
Broccoli Crowns,2013/5/19,$0.56 ,$1.66 ,$1.69 ,$1.54 ,$2.04 ,209.38%
Red Leaf Lettuce,2013/5/19,$0.27 ,$1.72 ,$1.68 ,$1.32 ,$1.63 ,487.96%
Cantaloupe,2013/5/19,$0.62 ,$2.54 ,$2.79 ,$2.52 ,$3.11 ,341.94%
Romaine Lettuce,2013/5/19,$0.27 ,$1.86 ,$2.02 ,$1.32 ,$1.70 ,538.89%
Carrots,2013/5/19,$0.30 ,$0.91 ,$0.92 ,$0.84 ,$1.44 ,242.50%
Strawberries,2013/5/19,$1.13 ,$2.12 ,$2.25 ,$2.50 ,$2.99 ,118.14%
Cauliflower,2013/5/19,$0.97 ,$2.70 ,$3.19 ,$2.63 ,$3.32 ,205.15%
Celery,2013/5/19,$1.19 ,$1.94 ,$1.89 ,$1.74 ,$2.49 ,69.33%
Flame Grapes,2013/5/19,$1.25 ,$2.74 ,$2.74 ,$3.12 ,$2.99 ,131.80%
Green Leaf Lettuce,2013/5/19,$0.27 ,$3.49 ,$1.55 ,$1.32 ,$1.51 ,628.70%
Broccoli Bunches,2013/5/12,$0.68 ,$2.48 ,$2.20 ,$1.16 ,$2.45 ,204.78%
Romaine Lettuce,2013/5/12,$0.27 ,$1.99 ,$1.82 ,$1.34 ,$1.70 ,534.26%
Broccoli Crowns,2013/5/12,$0.53 ,$1.42 ,$1.42 ,$1.57 ,$1.74 ,190.09%
Strawberries,2013/5/12,$1.19 ,$2.24 ,$2.38 ,$2.25 ,$2.74 ,101.89%
Cantaloupe,2013/5/12,$0.89 ,$2.72 ,$2.87 ,$2.59 ,$2.99 ,213.76%
Carrots,2013/5/12,$0.30 ,$0.91 ,$0.92 ,$0.84 ,$1.27 ,228.33%
Cauliflower,2013/5/12,$0.80 ,$2.83 ,$3.32 ,$2.98 ,$3.24 ,286.56%
Celery,2013/5/12,$1.28 ,$2.01 ,$1.89 ,$1.74 ,$2.49 ,58.79%
Green Leaf Lettuce,2013/5/12,$0.27 ,$1.84 ,$1.49 ,$1.32 ,$1.51 ,470.37%
Iceberg Lettuce,2013/5/12,$0.28 ,$1.55 ,$1.40 ,$1.24 ,$1.92 ,445.54%
Oranges,2013/5/12,$0.44 ,$1.31 ,$1.37 ,$1.07 ,$1.66 ,207.39%
Asparagus,2013/5/12,$2.06 ,$3.99 ,$3.32 ,$3.99 ,$2.99 ,73.42%
Potatoes,2013/5/12,$0.63 ,$5.01 ,$3.49 ,$3.37 ,$0.00 ,371.03%
Avocados,2013/5/12,$0.73 ,$1.22 ,$1.12 ,$1.19 ,$1.50 ,72.26%
Red Leaf Lettuce,2013/5/12,$0.26 ,$1.84 ,$1.68 ,$1.32 ,$1.63 ,522.12%
Celery,2013/5/5,$1.13 ,$1.46 ,$1.84 ,$1.74 ,$2.37 ,63.94%
Green Leaf Lettuce,2013/5/5,$0.28 ,$1.73 ,$1.42 ,$1.39 ,$1.61 ,449.11%
Iceberg Lettuce,2013/5/5,$0.27 ,$1.60 ,$1.42 ,$1.24 ,$1.99 ,478.70%
Oranges,2013/5/5,$0.42 ,$1.31 ,$1.19 ,$1.19 ,$1.66 ,218.45%
Potatoes,2013/5/5,$0.63 ,$5.01 ,$3.25 ,$2.99 ,$4.49 ,524.60%
Asparagus,2013/5/5,$2.20 ,$3.49 ,$3.19 ,$3.74 ,$3.49 ,58.07%
Red Leaf Lettuce,2013/5/5,$0.26 ,$1.75 ,$1.50 ,$1.34 ,$1.75 ,509.62%
Avocados,2013/5/5,$0.69 ,$1.07 ,$1.31 ,$1.03 ,$1.24 ,68.48%
Romaine Lettuce,2013/5/5,$0.28 ,$1.91 ,$2.10 ,$1.37 ,$1.80 ,541.07%
Broccoli Bunches,2013/5/5,$0.52 ,$2.53 ,$1.75 ,$1.09 ,$2.29 ,268.27%
Strawberries,2013/5/5,$1.02 ,$2.12 ,$2.29 ,$1.83 ,$2.15 ,105.64%
Broccoli Crowns,2013/5/5,$0.39 ,$1.66 ,$1.54 ,$1.47 ,$1.87 ,319.23%
Carrots,2013/5/5,$0.30 ,$0.91 ,$0.92 ,$0.84 ,$1.52 ,249.17%
Cauliflower,2013/5/5,$0.66 ,$2.76 ,$2.66 ,$2.73 ,$3.49 ,340.91%
Oranges,2013/4/28,$0.39 ,$1.17 ,$1.32 ,$1.07 ,$1.82 ,244.87%
Potatoes,2013/4/28,$0.65 ,$4.54 ,$3.38 ,$3.49 ,$0.00 ,338.85%
Asparagus,2013/4/28,$2.13 ,$3.47 ,$3.12 ,$3.24 ,$3.49 ,56.34%
Red Leaf Lettuce,2013/4/28,$0.30 ,$1.83 ,$1.84 ,$1.39 ,$2.08 ,495.00%
Avocados,2013/4/28,$0.68 ,$1.09 ,$0.73 ,$0.72 ,$1.12 ,34.56%
Romaine Lettuce,2013/4/28,$0.28 ,$2.11 ,$2.11 ,$1.42 ,$2.33 ,611.61%
Broccoli Bunches,2013/4/28,$0.48 ,$2.73 ,$2.34 ,$1.09 ,$2.07 ,328.65%
Strawberries,2013/4/28,$0.77 ,$2.12 ,$2.29 ,$2.62 ,$2.74 ,217.21%
Broccoli Crowns,2013/4/28,$0.38 ,$1.74 ,$1.69 ,$1.37 ,$1.99 ,346.71%
Carrots,2013/4/28,$0.53 ,$0.91 ,$0.92 ,$0.84 ,$1.32 ,88.21%
Cauliflower,2013/4/28,$0.74 ,$2.96 ,$3.32 ,$2.58 ,$3.99 ,334.12%
Celery,2013/4/28,$1.15 ,$1.51 ,$1.79 ,$1.74 ,$1.94 ,51.74%
Green Leaf Lettuce,2013/4/28,$0.31 ,$1.80 ,$1.63 ,$1.39 ,$1.92 ,443.55%
Iceberg Lettuce,2013/4/28,$0.27 ,$1.63 ,$1.35 ,$1.19 ,$2.04 ,475.00%
Romaine Lettuce,2013/4/21,$0.29 ,$2.13 ,$1.96 ,$1.49 ,$2.64 ,608.62%
Strawberries,2013/4/21,$0.83 ,$2.00 ,$1.99 ,$1.75 ,$2.74 ,155.42%
Cauliflower,2013/4/21,$1.67 ,$2.70 ,$3.19 ,$2.83 ,$4.12 ,92.22%
Celery,2013/4/21,$0.96 ,$1.53 ,$1.59 ,$1.74 ,$2.19 ,83.59%
Green Leaf Lettuce,2013/4/21,$0.29 ,$1.80 ,$1.53 ,$1.47 ,$1.92 ,479.31%
Iceberg Lettuce,2013/4/21,$0.38 ,$1.65 ,$1.38 ,$1.39 ,$1.99 ,321.71%
Oranges,2013/4/21,$0.38 ,$0.97 ,$1.35 ,$1.07 ,$1.93 ,250.00%
Potatoes,2013/4/21,$0.65 ,$4.54 ,$3.05 ,$3.37 ,$3.99 ,475.00%
Red Leaf Lettuce,2013/4/21,$0.29 ,$1.88 ,$1.73 ,$1.47 ,$2.08 ,517.24%
Broccoli Bunches,2013/4/21,$0.52 ,$2.53 ,$2.34 ,$1.22 ,$2.06 ,291.83%
Broccoli Crowns,2013/4/21,$0.41 ,$1.76 ,$1.56 ,$1.54 ,$1.79 ,305.49%
Carrots,2013/4/21,$0.30 ,$0.89 ,$0.92 ,$0.84 ,$1.44 ,240.83%
Asparagus,2013/4/21,$1.95 ,$3.11 ,$3.62 ,$3.49 ,$3.37 ,74.23%
Avocados,2013/4/21,$0.68 ,$1.19 ,$1.27 ,$1.10 ,$1.41 ,82.72%
Cauliflower,2013/4/14,$1.61 ,$2.70 ,$3.32 ,$2.98 ,$4.12 ,103.73%
Celery,2013/4/14,$0.48 ,$1.50 ,$1.59 ,$1.67 ,$2.19 ,261.98%
Green Leaf Lettuce,2013/4/14,$0.30 ,$1.93 ,$1.43 ,$1.47 ,$1.92 ,462.50%
Iceberg Lettuce,2013/4/14,$0.47 ,$1.68 ,$1.51 ,$1.39 ,$1.99 ,249.47%
Oranges,2013/4/14,$0.38 ,$1.14 ,$1.19 ,$1.02 ,$1.85 ,242.11%
Potatoes,2013/4/14,$0.65 ,$5.01 ,$3.18 ,$3.32 ,$3.99 ,496.15%
Asparagus,2013/4/14,$1.54 ,$2.82 ,$3.32 ,$2.99 ,$2.99 ,96.75%
Red Leaf Lettuce,2013/4/14,$0.29 ,$2.00 ,$1.62 ,$1.47 ,$2.08 ,518.10%
Avocados,2013/4/14,$0.68 ,$1.14 ,$1.32 ,$0.89 ,$1.41 ,75.00%
Romaine Lettuce,2013/4/14,$0.30 ,$2.25 ,$1.91 ,$1.49 ,$2.33 ,565.00%
Broccoli Bunches,2013/4/14,$0.50 ,$2.59 ,$2.84 ,$1.16 ,$2.49 ,354.00%
Strawberries,2013/4/14,$0.79 ,$2.29 ,$2.08 ,$2.50 ,$2.74 ,204.11%
Broccoli Crowns,2013/4/14,$0.38 ,$1.79 ,$1.69 ,$1.67 ,$1.79 ,356.58%
Carrots,2013/4/14,$0.30 ,$0.89 ,$0.84 ,$0.82 ,$1.52 ,239.17%
Iceberg Lettuce,2013/4/7,$0.29 ,$1.99 ,$1.59 ,$1.42 ,$1.74 ,481.03%
Oranges,2013/4/7,$0.36 ,$0.94 ,$1.09 ,$1.07 ,$1.85 ,243.75%
Potatoes,2013/4/7,$0.65 ,$4.08 ,$3.38 ,$3.37 ,$3.99 ,470.00%
Asparagus,2013/4/7,$1.03 ,$2.56 ,$2.94 ,$1.81 ,$2.99 ,150.00%
Red Leaf Lettuce,2013/4/7,$0.28 ,$2.00 ,$1.73 ,$1.49 ,$2.20 ,562.50%
Avocados,2013/4/7,$0.67 ,$1.05 ,$1.20 ,$0.91 ,$1.41 ,70.52%
Romaine Lettuce,2013/4/7,$0.28 ,$2.25 ,$2.28 ,$1.52 ,$2.43 ,657.14%
Broccoli Bunches,2013/4/7,$0.56 ,$2.18 ,$2.34 ,$1.16 ,$2.49 ,264.73%
Strawberries,2013/4/7,$0.80 ,$2.64 ,$1.95 ,$2.25 ,$2.54 ,193.13%
Broccoli Crowns,2013/4/7,$0.46 ,$1.57 ,$1.57 ,$1.67 ,$1.79 ,258.70%
Carrots,2013/4/7,$0.30 ,$0.89 ,$0.92 ,$0.87 ,$1.32 ,233.33%
Cauliflower,2013/4/7,$1.49 ,$2.90 ,$3.27 ,$2.98 ,$3.74 ,116.28%
