Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient
Exercise and Fitness Metrics Dataset,Heart Rate,BMI,"{""coefficient"": 0.01556, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01576, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01066, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Age,Potential,"{""coefficient"": -0.02915, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0396, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02837, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Age,Value,"{""coefficient"": 0.16661, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.26119, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Age,Wage,"{""coefficient"": 0.29461, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.43028, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33027, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Age,Special,"{""coefficient"": 0.38151, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46171, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33332, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Age,Height,"{""coefficient"": 0.07448, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07336, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05164, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Age,Weight,"{""coefficient"": 0.23824, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22795, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.16174, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Age,Release Clause,"{""coefficient"": 0.16789, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34773, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24677, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Overall,Height,"{""coefficient"": 0.05927, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05173, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03581, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Overall,Weight,"{""coefficient"": 0.16232, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.1503, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.10481, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Potential,Wage,"{""coefficient"": 0.47934, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49903, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36961, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Potential,Special,"{""coefficient"": 0.48763, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49909, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.35571, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Potential,Height,"{""coefficient"": 0.04393, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02898, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Potential,Weight,"{""coefficient"": 0.0262, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01952, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01363, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Value,Height,"{""coefficient"": 0.03226, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01609, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01096, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Value,Weight,"{""coefficient"": 0.05911, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06727, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04625, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Wage,Height,"{""coefficient"": 0.04805, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0586, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Wage,Weight,"{""coefficient"": 0.08479, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09394, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06686, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Special,Height,"{""coefficient"": -0.30054, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.26334, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.17885, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Special,Weight,"{""coefficient"": -0.18773, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.15027, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.1009, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Height,Release Clause,"{""coefficient"": 0.03336, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00866, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00585, ""conclusion"": ""Not strongly correlated""}"
FIFA Official Dataset 2023,Weight,Release Clause,"{""coefficient"": 0.05848, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06201, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04253, ""conclusion"": ""Not strongly correlated""}"
Fruits and Vegetables Prices Dataset,atlantaretail,averagespread,"{""coefficient"": -0.04984, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.12332, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.07954, ""conclusion"": ""Not strongly correlated""}"
Fruits and Vegetables Prices Dataset,chicagoretail,averagespread,"{""coefficient"": 0.03844, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0493, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02509, ""conclusion"": ""Not strongly correlated""}"
Fruits and Vegetables Prices Dataset,losangelesretail,averagespread,"{""coefficient"": -0.08974, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.21318, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.13925, ""conclusion"": ""Not strongly correlated""}"
Fruits and Vegetables Prices Dataset,newyorkretail,averagespread,"{""coefficient"": 0.06004, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.08196, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04919, ""conclusion"": ""Not strongly correlated""}"
GPA Study Hours Dataset,gpa,study_hours,"{""coefficient"": 0.13301, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.11732, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08173, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,Age,RestingBP,"{""coefficient"": 0.2544, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.27939, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.19828, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,Age,Cholesterol,"{""coefficient"": -0.09528, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04716, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.03225, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,Age,MaxHR,"{""coefficient"": -0.38204, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.36503, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.25312, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,Age,Oldpeak,"{""coefficient"": 0.25861, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.29825, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.21777, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,RestingBP,Cholesterol,"{""coefficient"": 0.10089, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.10948, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07731, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,RestingBP,MaxHR,"{""coefficient"": -0.11213, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.10757, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.07559, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,RestingBP,Oldpeak,"{""coefficient"": 0.1648, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.17531, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13024, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,Cholesterol,MaxHR,"{""coefficient"": 0.23579, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.1839, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.12599, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,Cholesterol,Oldpeak,"{""coefficient"": 0.05015, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05172, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03806, ""conclusion"": ""Not strongly correlated""}"
Heart Failure Prediction Dataset,MaxHR,Oldpeak,"{""coefficient"": -0.16069, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.20511, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.15032, ""conclusion"": ""Not strongly correlated""}"
Housing Price Dataset,SquareFeet,Bedrooms,"{""coefficient"": -0.00264, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00261, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00194, ""conclusion"": ""Not strongly correlated""}"
Housing Price Dataset,SquareFeet,Bathrooms,"{""coefficient"": -0.00327, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00333, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00256, ""conclusion"": ""Not strongly correlated""}"
Housing Price Dataset,Bedrooms,Bathrooms,"{""coefficient"": 0.00741, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00741, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00638, ""conclusion"": ""Not strongly correlated""}"
Housing Price Dataset,Bedrooms,Price,"{""coefficient"": 0.07262, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07031, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05251, ""conclusion"": ""Not strongly correlated""}"
Housing Price Dataset,Bathrooms,Price,"{""coefficient"": 0.02842, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02714, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0209, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,adjusted_satisfaction,income_inequality,"{""coefficient"": -0.12384, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.16805, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.12481, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,avg_satisfaction,std_satisfaction,"{""coefficient"": -0.3412, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.35481, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.26635, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,avg_satisfaction,income_inequality,"{""coefficient"": -0.08247, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.13714, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.10413, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,std_satisfaction,avg_income,"{""coefficient"": -0.47821, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.31765, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.2378, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,std_satisfaction,median_income,"{""coefficient"": -0.48143, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.3097, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.23352, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,std_satisfaction,income_inequality,"{""coefficient"": 0.22183, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.18261, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.12467, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,std_satisfaction,happyScore,"{""coefficient"": -0.4579, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.42117, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.3208, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,std_satisfaction,GDP,"{""coefficient"": -0.24204, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.27583, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.20519, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,avg_income,income_inequality,"{""coefficient"": -0.38259, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.35607, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.22999, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,median_income,income_inequality,"{""coefficient"": -0.44905, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.44893, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.29978, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,income_inequality,happyScore,"{""coefficient"": -0.18722, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.24211, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.16676, ""conclusion"": ""Not strongly correlated""}"
Income and Happiness Score Dataset,income_inequality,GDP,"{""coefficient"": -0.3032, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.40977, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.26407, ""conclusion"": ""Not strongly correlated""}"
Jobs and Salaries Dataset,work_year,salary,"{""coefficient"": 0.16071, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.14982, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.12168, ""conclusion"": ""Not strongly correlated""}"
Jobs and Salaries Dataset,work_year,salary_in_usd,"{""coefficient"": 0.166, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.15425, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.12526, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Library Visitors,Total Program Attendees,"{""coefficient"": 0.31868, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.30484, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22613, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Library Visitors,New Cardholders,"{""coefficient"": -0.24667, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.31814, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.19209, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Library Visitors,# of Individuals Assisted in Pursuing Citizenship,"{""coefficient"": 0.25736, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.38636, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.28409, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Library Visitors,# of Attendees at Children's and Teen Programming,"{""coefficient"": -0.22032, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.24499, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0947, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Program Attendees,Total eMedia Circulation,"{""coefficient"": -0.03055, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03981, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03521, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Program Attendees,Total Cardholders,"{""coefficient"": 0.00114, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06748, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05563, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Program Attendees,Total Computer Usage (Wireless + PC Sessions),"{""coefficient"": 0.18833, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13898, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0842, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Program Attendees,New Cardholders,"{""coefficient"": -0.03699, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.17444, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.12203, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Program Attendees,# of Individuals Assisted in Pursuing Citizenship,"{""coefficient"": 0.3122, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.42647, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.30303, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Program Attendees,# of Homeless Individuals Served at The Source,"{""coefficient"": -0.00643, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03008, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01515, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total eMedia Circulation,New Cardholders,"{""coefficient"": 0.16114, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46396, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.29718, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total eMedia Circulation,# of Individuals Assisted in Pursuing Citizenship,"{""coefficient"": -0.2797, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.28041, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.2197, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Cardholders,New Cardholders,"{""coefficient"": 0.2385, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.4414, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.28362, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Cardholders,# of Individuals Assisted in Pursuing Citizenship,"{""coefficient"": -0.2676, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.3018, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.22727, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),New Cardholders,"{""coefficient"": -0.19318, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.21365, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.11359, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),# of Individuals Assisted in Pursuing Citizenship,"{""coefficient"": 0.42269, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.42032, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.25972, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,Total Computer Usage (Wireless + PC Sessions),# of Attendees at Children's and Teen Programming,"{""coefficient"": -0.24155, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.28345, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.1763, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,New Cardholders,# of Individuals Assisted in Pursuing Citizenship,"{""coefficient"": 0.36541, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.35996, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24621, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,New Cardholders,# of Homeless Individuals Served at The Source,"{""coefficient"": -0.06089, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24398, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.18561, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,New Cardholders,# of Attendees at Children's and Teen Programming,"{""coefficient"": -0.08237, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.13803, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07197, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,# of Individuals Assisted in Pursuing Citizenship,# of Homeless Individuals Served at The Source,"{""coefficient"": -0.21507, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.19619, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.15152, ""conclusion"": ""Not strongly correlated""}"
Los Angeles Library Monthly Statistics,# of Individuals Assisted in Pursuing Citizenship,# of Attendees at Children's and Teen Programming,"{""coefficient"": -0.10857, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04078, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03788, ""conclusion"": ""Not strongly correlated""}"
Netflix TV Shows and Movies Scores Dataset in IMDB,runtime,imdb_score,"{""coefficient"": -0.1593, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.17774, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.11673, ""conclusion"": ""Not strongly correlated""}"
Netflix TV Shows and Movies Scores Dataset in IMDB,runtime,imdb_votes,"{""coefficient"": 0.13861, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24028, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.16347, ""conclusion"": ""Not strongly correlated""}"
Netflix TV Shows and Movies Scores Dataset in IMDB,imdb_score,imdb_votes,"{""coefficient"": 0.18995, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.21867, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.14989, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Age,Height,"{""coefficient"": -0.02596, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00296, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.00229, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Age,Weight,"{""coefficient"": 0.20256, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.35677, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.2324, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Age,FCVC,"{""coefficient"": 0.01629, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06159, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03939, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Age,NCP,"{""coefficient"": -0.04394, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.10567, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.07802, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Age,CH2O,"{""coefficient"": -0.0453, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01306, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00977, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Age,FAF,"{""coefficient"": -0.14494, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.20831, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.14691, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Age,TUE,"{""coefficient"": -0.29693, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.29808, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.21405, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Height,Weight,"{""coefficient"": 0.46314, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46255, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.32173, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Height,FCVC,"{""coefficient"": -0.03812, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.05608, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04051, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Height,NCP,"{""coefficient"": 0.24367, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.20379, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.15112, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Height,CH2O,"{""coefficient"": 0.21338, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22524, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.15948, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Height,FAF,"{""coefficient"": 0.29471, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.32587, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22447, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Height,TUE,"{""coefficient"": 0.05191, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08155, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.054, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Weight,FCVC,"{""coefficient"": 0.21612, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.20842, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.15633, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Weight,NCP,"{""coefficient"": 0.10747, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.00288, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01356, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Weight,CH2O,"{""coefficient"": 0.20058, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22559, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.15366, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Weight,FAF,"{""coefficient"": -0.05144, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04387, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02233, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,Weight,TUE,"{""coefficient"": -0.07156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.04987, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02885, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,FCVC,NCP,"{""coefficient"": 0.04222, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08619, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06835, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,FCVC,CH2O,"{""coefficient"": 0.06846, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06569, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04718, ""conclusion"": ""Not strongly correlated""}"
Obesity or CVD Risk Dataset,FCVC,FAF,"{""coefficient"": 0.01994, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02769, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02038, ""conclusion"": ""Not strongly correlated""}"
