Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,question,difficulty
Customer Personality Analysis Dataset,MntGoldProds,NumCatalogPurchases,"{""coefficient"": 0.4377, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.64904, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49614, ""conclusion"": ""Not strongly correlated""}",Are MntGoldProds and NumCatalogPurchases correlated with each other in a linear manner?,easy
Customer Personality Analysis Dataset,MntGoldProds,NumCatalogPurchases,"{""coefficient"": 0.4377, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.64904, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49614, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between MntGoldProds and NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,MntGoldProds,NumCatalogPurchases,"{""coefficient"": 0.4377, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.64904, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49614, ""conclusion"": ""Not strongly correlated""}",Do changes in MntGoldProds relate to changes in NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,MntGoldProds,NumCatalogPurchases,"{""coefficient"": 0.4377, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.64904, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.49614, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between MntGoldProds and NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,MntGoldProds,NumStorePurchases,"{""coefficient"": 0.38168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.53986, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39229, ""conclusion"": ""Not strongly correlated""}",Are movements in MntGoldProds reflected similarly in NumStorePurchases?,easy
Customer Personality Analysis Dataset,MntGoldProds,NumStorePurchases,"{""coefficient"": 0.38168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.53986, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39229, ""conclusion"": ""Not strongly correlated""}",Do changes in MntGoldProds relate to changes in NumStorePurchases?,easy
Customer Personality Analysis Dataset,MntGoldProds,NumStorePurchases,"{""coefficient"": 0.38168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.53986, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39229, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in MntGoldProds similarly appear in NumStorePurchases?,easy
Customer Personality Analysis Dataset,MntGoldProds,NumStorePurchases,"{""coefficient"": 0.38168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.53986, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39229, ""conclusion"": ""Not strongly correlated""}",Are variations in MntGoldProds associated with variations in NumStorePurchases?,easy
Customer Personality Analysis Dataset,MntGoldProds,NumStorePurchases,"{""coefficient"": 0.38168, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.53986, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.39229, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between MntGoldProds and NumStorePurchases?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumCatalogPurchases,"{""coefficient"": 0.37838, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.6195, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.47427, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between NumWebPurchases and NumCatalogPurchases over time?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumCatalogPurchases,"{""coefficient"": 0.37838, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.6195, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.47427, ""conclusion"": ""Not strongly correlated""}",Do changes in NumWebPurchases relate to changes in NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumCatalogPurchases,"{""coefficient"": 0.37838, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.6195, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.47427, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between NumWebPurchases and NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumCatalogPurchases,"{""coefficient"": 0.37838, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.6195, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.47427, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in NumWebPurchases relate to NumCatalogPurchases?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumCatalogPurchases,"{""coefficient"": 0.37838, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.6195, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.47427, ""conclusion"": ""Not strongly correlated""}",How closely do NumWebPurchases and NumCatalogPurchases follow a straight-line relationship?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,"{""coefficient"": 0.50271, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5225, ""conclusion"": ""Strongly correlated""}",Is there a direct relationship between NumWebPurchases and NumStorePurchases?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,"{""coefficient"": 0.50271, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5225, ""conclusion"": ""Strongly correlated""}",How does the direction of change in NumWebPurchases relate to NumStorePurchases?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,"{""coefficient"": 0.50271, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5225, ""conclusion"": ""Strongly correlated""}",Are there any correlations between NumWebPurchases and NumStorePurchases over time?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,"{""coefficient"": 0.50271, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5225, ""conclusion"": ""Strongly correlated""}",Is there a correlation between NumWebPurchases and NumStorePurchases?,easy
Customer Personality Analysis Dataset,NumWebPurchases,NumStorePurchases,"{""coefficient"": 0.50271, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.67263, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5225, ""conclusion"": ""Strongly correlated""}",How consistent is the relationship between NumWebPurchases and NumStorePurchases?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,"{""coefficient"": 0.51874, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70861, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54899, ""conclusion"": ""Strongly correlated""}",Do changes in NumCatalogPurchases relate to changes in NumStorePurchases?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,"{""coefficient"": 0.51874, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70861, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54899, ""conclusion"": ""Strongly correlated""}",Is there a linear relationship between NumCatalogPurchases and NumStorePurchases?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,"{""coefficient"": 0.51874, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70861, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54899, ""conclusion"": ""Strongly correlated""}",Are NumCatalogPurchases and NumStorePurchases correlated with each other in a linear manner?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,"{""coefficient"": 0.51874, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70861, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54899, ""conclusion"": ""Strongly correlated""}",Do NumCatalogPurchases and NumStorePurchases show any linear correlation?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumStorePurchases,"{""coefficient"": 0.51874, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.70861, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54899, ""conclusion"": ""Strongly correlated""}",Do patterns observed in NumCatalogPurchases similarly appear in NumStorePurchases?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumWebVisitsMonth,"{""coefficient"": -0.52036, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.53625, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.41566, ""conclusion"": ""Not strongly correlated""}",Are variations in NumCatalogPurchases associated with variations in NumWebVisitsMonth?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumWebVisitsMonth,"{""coefficient"": -0.52036, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.53625, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.41566, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in NumCatalogPurchases similarly appear in NumWebVisitsMonth?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumWebVisitsMonth,"{""coefficient"": -0.52036, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.53625, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.41566, ""conclusion"": ""Not strongly correlated""}",Are NumCatalogPurchases and NumWebVisitsMonth related in any way?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumWebVisitsMonth,"{""coefficient"": -0.52036, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.53625, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.41566, ""conclusion"": ""Not strongly correlated""}",Are NumCatalogPurchases and NumWebVisitsMonth correlated with each other in a linear manner?,easy
Customer Personality Analysis Dataset,NumCatalogPurchases,NumWebVisitsMonth,"{""coefficient"": -0.52036, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.53625, ""conclusion"": ""Strongly correlated""}","{""coefficient"": -0.41566, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between NumCatalogPurchases and NumWebVisitsMonth?,easy
Dataset for Admission in the University,GRE Score,TOEFL Score,"{""coefficient"": 0.83598, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83186, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.66751, ""conclusion"": ""Strongly correlated""}",Are there any correlations between GRE Score and TOEFL Score over time?,easy
Dataset for Admission in the University,GRE Score,TOEFL Score,"{""coefficient"": 0.83598, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83186, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.66751, ""conclusion"": ""Strongly correlated""}",Are variations in GRE Score associated with variations in TOEFL Score?,easy
Dataset for Admission in the University,GRE Score,TOEFL Score,"{""coefficient"": 0.83598, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83186, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.66751, ""conclusion"": ""Strongly correlated""}",How strong is the correlation between GRE Score and TOEFL Score?,easy
Dataset for Admission in the University,GRE Score,TOEFL Score,"{""coefficient"": 0.83598, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83186, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.66751, ""conclusion"": ""Strongly correlated""}",Do changes in GRE Score relate to changes in TOEFL Score?,easy
Dataset for Admission in the University,GRE Score,TOEFL Score,"{""coefficient"": 0.83598, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83186, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.66751, ""conclusion"": ""Strongly correlated""}",Is there a correlation between GRE Score and TOEFL Score?,easy
Dataset for Admission in the University,GRE Score,SOP,"{""coefficient"": 0.61283, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46714, ""conclusion"": ""Not strongly correlated""}",Are movements in GRE Score reflected similarly in SOP?,easy
Dataset for Admission in the University,GRE Score,SOP,"{""coefficient"": 0.61283, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46714, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between GRE Score and SOP?,easy
Dataset for Admission in the University,GRE Score,SOP,"{""coefficient"": 0.61283, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46714, ""conclusion"": ""Not strongly correlated""}",Is the relationship between GRE Score and SOP consistent?,easy
Dataset for Admission in the University,GRE Score,SOP,"{""coefficient"": 0.61283, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46714, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between GRE Score and SOP?,easy
Dataset for Admission in the University,GRE Score,SOP,"{""coefficient"": 0.61283, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.61374, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.46714, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in GRE Score relate to SOP?,easy
Dataset for Admission in the University,GRE Score,LOR ,"{""coefficient"": 0.55755, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54779, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41497, ""conclusion"": ""Not strongly correlated""}",Are GRE Score and LOR  correlated with each other in a linear manner?,easy
Dataset for Admission in the University,GRE Score,LOR ,"{""coefficient"": 0.55755, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54779, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41497, ""conclusion"": ""Not strongly correlated""}",How do changes in GRE Score correlate with changes in LOR ?,easy
Dataset for Admission in the University,GRE Score,LOR ,"{""coefficient"": 0.55755, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54779, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41497, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between GRE Score and LOR ?,easy
Dataset for Admission in the University,GRE Score,LOR ,"{""coefficient"": 0.55755, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54779, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41497, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between GRE Score and LOR ?,easy
Dataset for Admission in the University,GRE Score,LOR ,"{""coefficient"": 0.55755, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.54779, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.41497, ""conclusion"": ""Not strongly correlated""}",Is the connection between GRE Score and LOR  strong?,easy
Dataset for Admission in the University,GRE Score,CGPA,"{""coefficient"": 0.83306, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83185, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65901, ""conclusion"": ""Strongly correlated""}",Do GRE Score and CGPA show any linear correlation?,easy
Dataset for Admission in the University,GRE Score,CGPA,"{""coefficient"": 0.83306, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83185, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65901, ""conclusion"": ""Strongly correlated""}",Is there a direct relationship between GRE Score and CGPA?,easy
Dataset for Admission in the University,GRE Score,CGPA,"{""coefficient"": 0.83306, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83185, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65901, ""conclusion"": ""Strongly correlated""}",Is there a linear relationship between GRE Score and CGPA?,easy
Dataset for Admission in the University,GRE Score,CGPA,"{""coefficient"": 0.83306, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83185, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65901, ""conclusion"": ""Strongly correlated""}",Are variations in GRE Score associated with variations in CGPA?,easy
Dataset for Admission in the University,GRE Score,CGPA,"{""coefficient"": 0.83306, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.83185, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65901, ""conclusion"": ""Strongly correlated""}",Do patterns observed in GRE Score similarly appear in CGPA?,easy
Dataset for Admission in the University,GRE Score,Chance of Admit ,"{""coefficient"": 0.80261, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81535, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63993, ""conclusion"": ""Strongly correlated""}",Do changes in GRE Score relate to changes in Chance of Admit ?,easy
Dataset for Admission in the University,GRE Score,Chance of Admit ,"{""coefficient"": 0.80261, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81535, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63993, ""conclusion"": ""Strongly correlated""}",How does the direction of change in GRE Score relate to Chance of Admit ?,easy
Dataset for Admission in the University,GRE Score,Chance of Admit ,"{""coefficient"": 0.80261, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81535, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63993, ""conclusion"": ""Strongly correlated""}",Do GRE Score and Chance of Admit  show any linear correlation?,easy
Dataset for Admission in the University,GRE Score,Chance of Admit ,"{""coefficient"": 0.80261, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81535, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63993, ""conclusion"": ""Strongly correlated""}",Are there any correlations between GRE Score and Chance of Admit  over time?,easy
Dataset for Admission in the University,GRE Score,Chance of Admit ,"{""coefficient"": 0.80261, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.81535, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.63993, ""conclusion"": ""Strongly correlated""}",Is there a correlation between GRE Score and Chance of Admit ?,easy
Dataset for Admission in the University,TOEFL Score,SOP,"{""coefficient"": 0.65798, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65292, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51442, ""conclusion"": ""Strongly correlated""}",Is there a linear relationship between TOEFL Score and SOP?,easy
Dataset for Admission in the University,TOEFL Score,SOP,"{""coefficient"": 0.65798, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65292, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51442, ""conclusion"": ""Strongly correlated""}",Is the connection between TOEFL Score and SOP strong?,easy
Dataset for Admission in the University,TOEFL Score,SOP,"{""coefficient"": 0.65798, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65292, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51442, ""conclusion"": ""Strongly correlated""}",Do TOEFL Score and SOP show any linear correlation?,easy
Dataset for Admission in the University,TOEFL Score,SOP,"{""coefficient"": 0.65798, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65292, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51442, ""conclusion"": ""Strongly correlated""}",How strong is the correlation between TOEFL Score and SOP?,easy
Dataset for Admission in the University,TOEFL Score,SOP,"{""coefficient"": 0.65798, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65292, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.51442, ""conclusion"": ""Strongly correlated""}",Are there any correlations between TOEFL Score and SOP over time?,easy
Dataset for Admission in the University,TOEFL Score,LOR ,"{""coefficient"": 0.56772, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5494, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42417, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in TOEFL Score similarly appear in LOR ?,easy
Dataset for Admission in the University,TOEFL Score,LOR ,"{""coefficient"": 0.56772, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5494, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42417, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between TOEFL Score and LOR ?,easy
Dataset for Admission in the University,TOEFL Score,LOR ,"{""coefficient"": 0.56772, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5494, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42417, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between TOEFL Score and LOR ?,easy
Dataset for Admission in the University,TOEFL Score,LOR ,"{""coefficient"": 0.56772, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5494, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42417, ""conclusion"": ""Not strongly correlated""}",How do changes in TOEFL Score correlate with changes in LOR ?,easy
Dataset for Admission in the University,TOEFL Score,LOR ,"{""coefficient"": 0.56772, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5494, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.42417, ""conclusion"": ""Not strongly correlated""}",How closely do TOEFL Score and LOR  follow a straight-line relationship?,easy
Dataset for Admission in the University,TOEFL Score,CGPA,"{""coefficient"": 0.82842, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.82572, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65367, ""conclusion"": ""Strongly correlated""}",Is there a direct relationship between TOEFL Score and CGPA?,easy
Dataset for Admission in the University,TOEFL Score,CGPA,"{""coefficient"": 0.82842, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.82572, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65367, ""conclusion"": ""Strongly correlated""}",Do patterns observed in TOEFL Score similarly appear in CGPA?,easy
Dataset for Admission in the University,TOEFL Score,CGPA,"{""coefficient"": 0.82842, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.82572, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65367, ""conclusion"": ""Strongly correlated""}",How closely do TOEFL Score and CGPA follow a straight-line relationship?,easy
Dataset for Admission in the University,TOEFL Score,CGPA,"{""coefficient"": 0.82842, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.82572, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65367, ""conclusion"": ""Strongly correlated""}",How strong is the correlation between TOEFL Score and CGPA?,easy
Dataset for Admission in the University,TOEFL Score,CGPA,"{""coefficient"": 0.82842, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.82572, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.65367, ""conclusion"": ""Strongly correlated""}",Is the relationship between TOEFL Score and CGPA consistent?,easy
Dataset for Admission in the University,TOEFL Score,Chance of Admit ,"{""coefficient"": 0.79159, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79557, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62548, ""conclusion"": ""Strongly correlated""}",Are there any correlations between TOEFL Score and Chance of Admit  over time?,easy
Dataset for Admission in the University,TOEFL Score,Chance of Admit ,"{""coefficient"": 0.79159, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79557, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62548, ""conclusion"": ""Strongly correlated""}",Are movements in TOEFL Score reflected similarly in Chance of Admit ?,easy
Dataset for Admission in the University,TOEFL Score,Chance of Admit ,"{""coefficient"": 0.79159, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79557, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62548, ""conclusion"": ""Strongly correlated""}",How consistent is the relationship between TOEFL Score and Chance of Admit ?,easy
Dataset for Admission in the University,TOEFL Score,Chance of Admit ,"{""coefficient"": 0.79159, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79557, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62548, ""conclusion"": ""Strongly correlated""}",Is there a direct relationship between TOEFL Score and Chance of Admit ?,easy
Dataset for Admission in the University,TOEFL Score,Chance of Admit ,"{""coefficient"": 0.79159, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.79557, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.62548, ""conclusion"": ""Strongly correlated""}",Are variations in TOEFL Score associated with variations in Chance of Admit ?,easy
Dataset for Admission in the University,SOP,LOR ,"{""coefficient"": 0.72959, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72718, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.60079, ""conclusion"": ""Strongly correlated""}",Are variations in SOP associated with variations in LOR ?,easy
Dataset for Admission in the University,SOP,LOR ,"{""coefficient"": 0.72959, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72718, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.60079, ""conclusion"": ""Strongly correlated""}",Is the relationship between SOP and LOR  consistent?,easy
Dataset for Admission in the University,SOP,LOR ,"{""coefficient"": 0.72959, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72718, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.60079, ""conclusion"": ""Strongly correlated""}",Do SOP and LOR  show any linear correlation?,easy
Dataset for Admission in the University,SOP,LOR ,"{""coefficient"": 0.72959, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72718, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.60079, ""conclusion"": ""Strongly correlated""}",Is the connection between SOP and LOR  strong?,easy
Dataset for Admission in the University,SOP,LOR ,"{""coefficient"": 0.72959, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72718, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.60079, ""conclusion"": ""Strongly correlated""}",Are movements in SOP reflected similarly in LOR ?,easy
Dataset for Admission in the University,SOP,CGPA,"{""coefficient"": 0.71814, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72435, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56525, ""conclusion"": ""Strongly correlated""}",Is there a direct relationship between SOP and CGPA?,easy
Dataset for Admission in the University,SOP,CGPA,"{""coefficient"": 0.71814, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72435, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56525, ""conclusion"": ""Strongly correlated""}",Are movements in SOP reflected similarly in CGPA?,easy
Dataset for Admission in the University,SOP,CGPA,"{""coefficient"": 0.71814, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72435, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56525, ""conclusion"": ""Strongly correlated""}",Is there a linear relationship between SOP and CGPA?,easy
Dataset for Admission in the University,SOP,CGPA,"{""coefficient"": 0.71814, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72435, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56525, ""conclusion"": ""Strongly correlated""}",Are variations in SOP associated with variations in CGPA?,easy
Dataset for Admission in the University,SOP,CGPA,"{""coefficient"": 0.71814, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.72435, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.56525, ""conclusion"": ""Strongly correlated""}",How does the direction of change in SOP relate to CGPA?,easy
Dataset for Admission in the University,SOP,Chance of Admit ,"{""coefficient"": 0.67573, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.69471, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5455, ""conclusion"": ""Strongly correlated""}",Are SOP and Chance of Admit  correlated with each other in a linear manner?,easy
Dataset for Admission in the University,SOP,Chance of Admit ,"{""coefficient"": 0.67573, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.69471, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5455, ""conclusion"": ""Strongly correlated""}",How strong is the correlation between SOP and Chance of Admit ?,easy
Dataset for Admission in the University,SOP,Chance of Admit ,"{""coefficient"": 0.67573, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.69471, ""conclusion"": ""Strongly correlated""}","{""coefficient"": 0.5455, ""conclusion"": ""Strongly correlated""}",Is the connection between SOP and Chance of Admit  strong?,easy
