Dataset Name,Column,Method,Results,question,difficulty
Exercise and Fitness Metrics Dataset,Duration,Standard Deviation,"{""conclusion"": ""11.76443""}",What's the level of spread in Duration as indicated by its standard deviation?,easy
Exercise and Fitness Metrics Dataset,Duration,Skewness,"{""conclusion"": ""-0.0144""}",Can you determine the skewness level for Duration?,easy
Exercise and Fitness Metrics Dataset,Duration,Skewness,"{""conclusion"": ""-0.0144""}",Is Duration positively or negatively skewed?,easy
Exercise and Fitness Metrics Dataset,Duration,Kurtosis,"{""conclusion"": ""-1.17818""}",Does Duration have a high or low kurtosis?,easy
Exercise and Fitness Metrics Dataset,Duration,Kurtosis,"{""conclusion"": ""-1.17818""}",How peaked is the distribution of Duration?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Mean,"{""conclusion"": ""139.77795""}",What does the mean of Heart Rate indicate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Mean,"{""conclusion"": ""139.77795""}",Could you determine the average amount in Heart Rate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Median,"{""conclusion"": ""140.0""}",How do I find the median for Heart Rate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Median,"{""conclusion"": ""140.0""}",Could you determine the median figure of Heart Rate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Range,"{""conclusion"": ""80.0""}",Could you tell me the distance from the smallest to the largest value in Heart Rate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Range,"{""conclusion"": ""80.0""}",How broad is the scope of Heart Rate values?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Quartile,"{""conclusion"": ""\""{'Min': 100.0, 'Q1': 119.0, 'Median': 140.0, 'Q3': 160.0, 'Max': 180.0}\""""}",What's the quartile distribution for the data in Heart Rate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Quartile,"{""conclusion"": ""\""{'Min': 100.0, 'Q1': 119.0, 'Median': 140.0, 'Q3': 160.0, 'Max': 180.0}\""""}",How are the data in Heart Rate distributed across quartiles?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Standard Deviation,"{""conclusion"": ""23.44449""}",Can you calculate the standard deviation for Heart Rate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Standard Deviation,"{""conclusion"": ""23.44449""}","How spread out are the values in Heart Rate, in terms of standard deviation?",easy
Exercise and Fitness Metrics Dataset,Heart Rate,Skewness,"{""conclusion"": ""-0.0023""}",Does Heart Rate show any skewness in its distribution?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Skewness,"{""conclusion"": ""-0.0023""}",What is the skewness value for Heart Rate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Kurtosis,"{""conclusion"": ""-1.21382""}",How peaked is the distribution of Heart Rate?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,Kurtosis,"{""conclusion"": ""-1.21382""}",Is there significant kurtosis present in the data for Heart Rate?,easy
Exercise and Fitness Metrics Dataset,BMI,Mean,"{""conclusion"": ""26.80198""}",Can you tell me the average number in BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Mean,"{""conclusion"": ""26.80198""}",Could you determine the average amount in BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Median,"{""conclusion"": ""26.86166""}",What number represents the median of BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Median,"{""conclusion"": ""26.86166""}",What falls in the middle of BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Range,"{""conclusion"": ""16.49663""}",What is the difference between the maximum and minimum values in BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Range,"{""conclusion"": ""16.49663""}",Can you calculate the total span of BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Quartile,"{""conclusion"": ""\""{'Min': 18.50001378, 'Q1': 22.68677438, 'Median': 26.861656215, 'Q3': 30.9503795575, 'Max': 34.99663922}\""""}",Could you find the quartile divisions in BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Quartile,"{""conclusion"": ""\""{'Min': 18.50001378, 'Q1': 22.68677438, 'Median': 26.861656215, 'Q3': 30.9503795575, 'Max': 34.99663922}\""""}",What are the quartile values in BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Standard Deviation,"{""conclusion"": ""4.74613""}","How spread out are the values in BMI, in terms of standard deviation?",easy
Exercise and Fitness Metrics Dataset,BMI,Standard Deviation,"{""conclusion"": ""4.74613""}",What is the measure of standard variability for BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Skewness,"{""conclusion"": ""-0.02797""}",Is BMI positively or negatively skewed?,easy
Exercise and Fitness Metrics Dataset,BMI,Skewness,"{""conclusion"": ""-0.02797""}",Does BMI show any skewness in its distribution?,easy
Exercise and Fitness Metrics Dataset,BMI,Kurtosis,"{""conclusion"": ""-1.20076""}",What is the degree of peaked for BMI?,easy
Exercise and Fitness Metrics Dataset,BMI,Kurtosis,"{""conclusion"": ""-1.20076""}",Does BMI have a high or low kurtosis?,easy
Exercise and Fitness Metrics Dataset,Weather Conditions,Mode,"{""conclusion"": ""Cloudy""}",Could you identify the mode value of Weather Conditions?,easy
Exercise and Fitness Metrics Dataset,Weather Conditions,Mode,"{""conclusion"": ""Cloudy""}",Can you find the mode of Weather Conditions?,easy
Exercise and Fitness Metrics Dataset,Exercise Intensity,Mode,"{""conclusion"": ""7""}",Could you identify the mode value of Exercise Intensity?,easy
Exercise and Fitness Metrics Dataset,Exercise Intensity,Mode,"{""conclusion"": ""7""}",How to calculate the mode of Exercise Intensity?,easy
FIFA Official Dataset 2023,Age,Mean,"{""conclusion"": ""23.12775""}",What's the mean value of Age?,easy
FIFA Official Dataset 2023,Age,Mean,"{""conclusion"": ""23.12775""}",Can you tell me the average number in Age?,easy
FIFA Official Dataset 2023,Age,Median,"{""conclusion"": ""22.0""}",Can you find out what the median is in Age?,easy
FIFA Official Dataset 2023,Age,Median,"{""conclusion"": ""22.0""}",How to compute the median of Age?,easy
FIFA Official Dataset 2023,Age,Range,"{""conclusion"": ""39.0""}",Could you tell me the distance from the smallest to the largest value in Age?,easy
FIFA Official Dataset 2023,Age,Range,"{""conclusion"": ""39.0""}",What is the scale of variation for Age?,easy
FIFA Official Dataset 2023,Age,Quartile,"{""conclusion"": ""\""{'Min': 15.0, 'Q1': 20.0, 'Median': 22.0, 'Q3': 26.0, 'Max': 54.0}\""""}",Could you show the quartile segmentation of Age?,easy
FIFA Official Dataset 2023,Age,Quartile,"{""conclusion"": ""\""{'Min': 15.0, 'Q1': 20.0, 'Median': 22.0, 'Q3': 26.0, 'Max': 54.0}\""""}",How do the values in Age spread in terms of quartiles?,easy
FIFA Official Dataset 2023,Age,Standard Deviation,"{""conclusion"": ""4.63969""}",Could you provide the standard deviation for the dataset in Age?,easy
FIFA Official Dataset 2023,Age,Standard Deviation,"{""conclusion"": ""4.63969""}",Can you determine the dispersion in Age using standard deviation?,easy
FIFA Official Dataset 2023,Age,Skewness,"{""conclusion"": ""0.96589""}",Is Age positively or negatively skewed?,easy
FIFA Official Dataset 2023,Age,Skewness,"{""conclusion"": ""0.96589""}",What is the skewness value for Age?,easy
FIFA Official Dataset 2023,Age,Kurtosis,"{""conclusion"": ""0.52761""}",Is there significant kurtosis present in the data for Age?,easy
FIFA Official Dataset 2023,Age,Kurtosis,"{""conclusion"": ""0.52761""}",Could you determine the extent of peaked for Age?,easy
FIFA Official Dataset 2023,Nationality,Mode,"{""conclusion"": ""England""}",Which value occurs the most in Nationality?,easy
FIFA Official Dataset 2023,Nationality,Mode,"{""conclusion"": ""England""}",What appears most often in Nationality?,easy
FIFA Official Dataset 2023,Overall,Mean,"{""conclusion"": ""63.36959""}",What does the mean of Overall indicate?,easy
FIFA Official Dataset 2023,Overall,Mean,"{""conclusion"": ""63.36959""}",What's the mean value of Overall?,easy
FIFA Official Dataset 2023,Overall,Median,"{""conclusion"": ""63.0""}",What falls in the middle of Overall?,easy
FIFA Official Dataset 2023,Overall,Median,"{""conclusion"": ""63.0""}",Could you determine the median figure of Overall?,easy
FIFA Official Dataset 2023,Overall,Range,"{""conclusion"": ""48.0""}",What's the interval between the highest and lowest points of Overall?,easy
FIFA Official Dataset 2023,Overall,Range,"{""conclusion"": ""48.0""}",Can you calculate the total span of Overall?,easy
FIFA Official Dataset 2023,Overall,Quartile,"{""conclusion"": ""\""{'Min': 43.0, 'Q1': 58.0, 'Median': 63.0, 'Q3': 69.0, 'Max': 91.0}\""""}",How do the values in Overall spread in terms of quartiles?,easy
FIFA Official Dataset 2023,Overall,Quartile,"{""conclusion"": ""\""{'Min': 43.0, 'Q1': 58.0, 'Median': 63.0, 'Q3': 69.0, 'Max': 91.0}\""""}",What's the quartile distribution for the data in Overall?,easy
FIFA Official Dataset 2023,Overall,Standard Deviation,"{""conclusion"": ""8.03604""}","How spread out are the values in Overall, in terms of standard deviation?",easy
FIFA Official Dataset 2023,Overall,Standard Deviation,"{""conclusion"": ""8.03604""}","How do the numbers in Overall vary, as shown by the standard deviation?",easy
FIFA Official Dataset 2023,Overall,Skewness,"{""conclusion"": ""0.36391""}",Can you calculate the skew of Overall?,easy
FIFA Official Dataset 2023,Overall,Skewness,"{""conclusion"": ""0.36391""}",What is the degree of asymmetry in Overall?,easy
FIFA Official Dataset 2023,Overall,Kurtosis,"{""conclusion"": ""-0.29083""}",What is the level of kurtosis in Overall?,easy
FIFA Official Dataset 2023,Overall,Kurtosis,"{""conclusion"": ""-0.29083""}",How peaked is the distribution of Overall?,easy
FIFA Official Dataset 2023,Potential,Mean,"{""conclusion"": ""70.9812""}",How much is the average figure for Potential?,easy
FIFA Official Dataset 2023,Potential,Mean,"{""conclusion"": ""70.9812""}",Could you determine the average amount in Potential?,easy
FIFA Official Dataset 2023,Potential,Median,"{""conclusion"": ""71.0""}",Can you tell me the median value in Potential?,easy
FIFA Official Dataset 2023,Potential,Median,"{""conclusion"": ""71.0""}",Can you calculate the median of Potential?,easy
FIFA Official Dataset 2023,Potential,Range,"{""conclusion"": ""53.0""}",What is the scale of variation for Potential?,easy
FIFA Official Dataset 2023,Potential,Range,"{""conclusion"": ""53.0""}",What's the interval between the highest and lowest points of Potential?,easy
FIFA Official Dataset 2023,Potential,Quartile,"{""conclusion"": ""\""{'Min': 42.0, 'Q1': 67.0, 'Median': 71.0, 'Q3': 75.0, 'Max': 95.0}\""""}",How are the data in Potential distributed across quartiles?,easy
FIFA Official Dataset 2023,Potential,Quartile,"{""conclusion"": ""\""{'Min': 42.0, 'Q1': 67.0, 'Median': 71.0, 'Q3': 75.0, 'Max': 95.0}\""""}",What's the quartile distribution for the data in Potential?,easy
FIFA Official Dataset 2023,Potential,Standard Deviation,"{""conclusion"": ""6.52965""}",Can you determine the dispersion in Potential using standard deviation?,easy
FIFA Official Dataset 2023,Potential,Standard Deviation,"{""conclusion"": ""6.52965""}","How spread out are the values in Potential, in terms of standard deviation?",easy
FIFA Official Dataset 2023,Potential,Skewness,"{""conclusion"": ""0.01663""}",Does Potential show any skewness in its distribution?,easy
FIFA Official Dataset 2023,Potential,Skewness,"{""conclusion"": ""0.01663""}",What is the degree of asymmetry in Potential?,easy
FIFA Official Dataset 2023,Potential,Kurtosis,"{""conclusion"": ""0.05159""}",What is the level of kurtosis in Potential?,easy
FIFA Official Dataset 2023,Potential,Kurtosis,"{""conclusion"": ""0.05159""}",What is the degree of peaked for Potential?,easy
FIFA Official Dataset 2023,Club,Mode,"{""conclusion"": ""Manchester United""}",Which value occurs the most in Club?,easy
FIFA Official Dataset 2023,Club,Mode,"{""conclusion"": ""Manchester United""}",Could you identify the mode value of Club?,easy
FIFA Official Dataset 2023,Value,Mean,"{""conclusion"": ""2739788.39185""}",What is the average of the Value values?,easy
FIFA Official Dataset 2023,Value,Mean,"{""conclusion"": ""2739788.39185""}",How much is the average figure for Value?,easy
FIFA Official Dataset 2023,Value,Median,"{""conclusion"": ""700000.0""}",Can you tell me the median value in Value?,easy
FIFA Official Dataset 2023,Value,Median,"{""conclusion"": ""700000.0""}",How do I find the median for Value?,easy
FIFA Official Dataset 2023,Value,Range,"{""conclusion"": ""190500000.0""}",How wide is the range of values in Value?,easy
FIFA Official Dataset 2023,Value,Range,"{""conclusion"": ""190500000.0""}",What is the difference between the maximum and minimum values in Value?,easy
FIFA Official Dataset 2023,Value,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 325000.0, 'Median': 700000.0, 'Q3': 1725000.0, 'Max': 190500000.0}\""""}",Can you calculate the quartiles for Value?,easy
FIFA Official Dataset 2023,Value,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 325000.0, 'Median': 700000.0, 'Q3': 1725000.0, 'Max': 190500000.0}\""""}",How are the data in Value distributed across quartiles?,easy
FIFA Official Dataset 2023,Value,Standard Deviation,"{""conclusion"": ""7841053.69391""}",Could you find the standard deviation value of Value?,easy
FIFA Official Dataset 2023,Value,Standard Deviation,"{""conclusion"": ""7841053.69391""}","How do the numbers in Value vary, as shown by the standard deviation?",easy
FIFA Official Dataset 2023,Value,Skewness,"{""conclusion"": ""7.5615""}",Does Value show any skewness in its distribution?,easy
FIFA Official Dataset 2023,Value,Skewness,"{""conclusion"": ""7.5615""}",Is Value positively or negatively skewed?,easy
FIFA Official Dataset 2023,Value,Kurtosis,"{""conclusion"": ""82.92234""}",Could you determine the extent of peaked for Value?,easy
FIFA Official Dataset 2023,Value,Kurtosis,"{""conclusion"": ""82.92234""}",How peaked is the distribution of Value?,easy
FIFA Official Dataset 2023,Wage,Mean,"{""conclusion"": ""8189.80747""}",What does the mean of Wage indicate?,easy
FIFA Official Dataset 2023,Wage,Mean,"{""conclusion"": ""8189.80747""}",Could you determine the average amount in Wage?,easy
FIFA Official Dataset 2023,Wage,Median,"{""conclusion"": ""2000.0""}",Can you calculate the median of Wage?,easy
FIFA Official Dataset 2023,Wage,Median,"{""conclusion"": ""2000.0""}",What falls in the middle of Wage?,easy
FIFA Official Dataset 2023,Wage,Range,"{""conclusion"": ""450000.0""}",How wide is the range of values in Wage?,easy
FIFA Official Dataset 2023,Wage,Range,"{""conclusion"": ""450000.0""}",What's the extent of variation in Wage?,easy
FIFA Official Dataset 2023,Wage,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 550.0, 'Median': 2000.0, 'Q3': 6000.0, 'Max': 450000.0}\""""}",Can you determine the quartile breakdown for Wage?,easy
FIFA Official Dataset 2023,Wage,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 550.0, 'Median': 2000.0, 'Q3': 6000.0, 'Max': 450000.0}\""""}",Could you find the quartile divisions in Wage?,easy
FIFA Official Dataset 2023,Wage,Standard Deviation,"{""conclusion"": ""20476.15324""}",Can you determine the dispersion in Wage using standard deviation?,easy
FIFA Official Dataset 2023,Wage,Standard Deviation,"{""conclusion"": ""20476.15324""}","How spread out are the values in Wage, in terms of standard deviation?",easy
FIFA Official Dataset 2023,Wage,Skewness,"{""conclusion"": ""6.50803""}",How skewed is the distribution of Wage?,easy
FIFA Official Dataset 2023,Wage,Skewness,"{""conclusion"": ""6.50803""}",What is the skewness value for Wage?,easy
FIFA Official Dataset 2023,Wage,Kurtosis,"{""conclusion"": ""66.88632""}",Can you calculate the kurtosis for Wage?,easy
FIFA Official Dataset 2023,Wage,Kurtosis,"{""conclusion"": ""66.88632""}",What is the level of kurtosis in Wage?,easy
FIFA Official Dataset 2023,Special,Mean,"{""conclusion"": ""1537.91586""}",What does the mean of Special indicate?,easy
FIFA Official Dataset 2023,Special,Mean,"{""conclusion"": ""1537.91586""}",How much is the average figure for Special?,easy
FIFA Official Dataset 2023,Special,Median,"{""conclusion"": ""1548.0""}",Could you determine the median figure of Special?,easy
FIFA Official Dataset 2023,Special,Median,"{""conclusion"": ""1548.0""}",What number represents the median of Special?,easy
FIFA Official Dataset 2023,Special,Range,"{""conclusion"": ""1563.0""}",What's the extent of variation in Special?,easy
FIFA Official Dataset 2023,Special,Range,"{""conclusion"": ""1563.0""}",What is the scale of variation for Special?,easy
FIFA Official Dataset 2023,Special,Quartile,"{""conclusion"": ""\""{'Min': 749.0, 'Q1': 1387.0, 'Median': 1548.0, 'Q3': 1727.0, 'Max': 2312.0}\""""}",What are the quartile values in Special?,easy
FIFA Official Dataset 2023,Special,Quartile,"{""conclusion"": ""\""{'Min': 749.0, 'Q1': 1387.0, 'Median': 1548.0, 'Q3': 1727.0, 'Max': 2312.0}\""""}",How are the data in Special distributed across quartiles?,easy
FIFA Official Dataset 2023,Special,Standard Deviation,"{""conclusion"": ""285.88571""}","What is the variance measure for Special, as indicated by its standard deviation?",easy
FIFA Official Dataset 2023,Special,Standard Deviation,"{""conclusion"": ""285.88571""}",What's the level of spread in Special as indicated by its standard deviation?,easy
FIFA Official Dataset 2023,Special,Skewness,"{""conclusion"": ""-0.43229""}",Is Special positively or negatively skewed?,easy
FIFA Official Dataset 2023,Special,Skewness,"{""conclusion"": ""-0.43229""}",Can you calculate the skew of Special?,easy
FIFA Official Dataset 2023,Special,Kurtosis,"{""conclusion"": ""0.22231""}",Could you determine the extent of peaked for Special?,easy
FIFA Official Dataset 2023,Special,Kurtosis,"{""conclusion"": ""0.22231""}",Is there significant kurtosis present in the data for Special?,easy
FIFA Official Dataset 2023,Preferred Foot,Mode,"{""conclusion"": ""Right""}",Can you tell me the most repeated value in Preferred Foot?,easy
FIFA Official Dataset 2023,Preferred Foot,Mode,"{""conclusion"": ""Right""}",How to calculate the mode of Preferred Foot?,easy
FIFA Official Dataset 2023,International Reputation,Mode,"{""conclusion"": ""1.0""}",What is the most frequent value in International Reputation?,easy
FIFA Official Dataset 2023,International Reputation,Mode,"{""conclusion"": ""1.0""}",How to calculate the mode of International Reputation?,easy
FIFA Official Dataset 2023,Weak Foot,Mode,"{""conclusion"": ""3.0""}",How to calculate the mode of Weak Foot?,easy
FIFA Official Dataset 2023,Weak Foot,Mode,"{""conclusion"": ""3.0""}",Can you tell me the most repeated value in Weak Foot?,easy
FIFA Official Dataset 2023,Skill Moves,Mode,"{""conclusion"": ""2.0""}",Can you find the mode of Skill Moves?,easy
FIFA Official Dataset 2023,Skill Moves,Mode,"{""conclusion"": ""2.0""}",Which value occurs the most in Skill Moves?,easy
FIFA Official Dataset 2023,Work Rate,Mode,"{""conclusion"": ""Medium/ Medium""}",Which value occurs the most in Work Rate?,easy
FIFA Official Dataset 2023,Work Rate,Mode,"{""conclusion"": ""Medium/ Medium""}",What is the most frequent value in Work Rate?,easy
FIFA Official Dataset 2023,Body Type,Mode,"{""conclusion"": ""Normal (170-185)""}",Can you tell me the most repeated value in Body Type?,easy
FIFA Official Dataset 2023,Body Type,Mode,"{""conclusion"": ""Normal (170-185)""}",What appears most often in Body Type?,easy
FIFA Official Dataset 2023,Real Face,Mode,"{""conclusion"": ""No""}",Which value occurs the most in Real Face?,easy
FIFA Official Dataset 2023,Real Face,Mode,"{""conclusion"": ""No""}",What is the most frequent value in Real Face?,easy
FIFA Official Dataset 2023,Position,Mode,"{""conclusion"": ""<span class=\""pos pos28\"">SUB""}",Which value occurs the most in Position?,easy
FIFA Official Dataset 2023,Position,Mode,"{""conclusion"": ""<span class=\""pos pos28\"">SUB""}",What is the most frequent value in Position?,easy
FIFA Official Dataset 2023,Contract Valid Until,Mode,"{""conclusion"": ""2023""}",Could you identify the mode value of Contract Valid Until?,easy
FIFA Official Dataset 2023,Contract Valid Until,Mode,"{""conclusion"": ""2023""}",What is the most frequent value in Contract Valid Until?,easy
FIFA Official Dataset 2023,Height,Mean,"{""conclusion"": ""180.89343""}",What's the mean value of Height?,easy
FIFA Official Dataset 2023,Height,Mean,"{""conclusion"": ""180.89343""}",How do you find the average in Height?,easy
FIFA Official Dataset 2023,Height,Median,"{""conclusion"": ""181.0""}",How do I find the median for Height?,easy
FIFA Official Dataset 2023,Height,Median,"{""conclusion"": ""181.0""}",Can you calculate the median of Height?,easy
FIFA Official Dataset 2023,Height,Range,"{""conclusion"": ""57.0""}",Could you find the full spread of Height?,easy
FIFA Official Dataset 2023,Height,Range,"{""conclusion"": ""57.0""}",Could you tell me the distance from the smallest to the largest value in Height?,easy
FIFA Official Dataset 2023,Height,Quartile,"{""conclusion"": ""\""{'Min': 149.0, 'Q1': 176.0, 'Median': 181.0, 'Q3': 186.0, 'Max': 206.0}\""""}",Can you determine the quartile breakdown for Height?,easy
FIFA Official Dataset 2023,Height,Quartile,"{""conclusion"": ""\""{'Min': 149.0, 'Q1': 176.0, 'Median': 181.0, 'Q3': 186.0, 'Max': 206.0}\""""}",What are the quartile values in Height?,easy
FIFA Official Dataset 2023,Height,Standard Deviation,"{""conclusion"": ""6.96229""}",Can you determine the dispersion in Height using standard deviation?,easy
FIFA Official Dataset 2023,Height,Standard Deviation,"{""conclusion"": ""6.96229""}","What is the variance measure for Height, as indicated by its standard deviation?",easy
FIFA Official Dataset 2023,Height,Skewness,"{""conclusion"": ""0.01042""}",Does Height show any skewness in its distribution?,easy
FIFA Official Dataset 2023,Height,Skewness,"{""conclusion"": ""0.01042""}",How does the asymmetry of Height?,easy
FIFA Official Dataset 2023,Height,Kurtosis,"{""conclusion"": ""-0.2627""}",Is there significant kurtosis present in the data for Height?,easy
FIFA Official Dataset 2023,Height,Kurtosis,"{""conclusion"": ""-0.2627""}",What is the degree of peaked for Height?,easy
FIFA Official Dataset 2023,Weight,Mean,"{""conclusion"": ""74.32616""}",What's the mean value of Weight?,easy
FIFA Official Dataset 2023,Weight,Mean,"{""conclusion"": ""74.32616""}",Could you determine the average amount in Weight?,easy
FIFA Official Dataset 2023,Weight,Median,"{""conclusion"": ""74.0""}",What is the middle value in Weight?,easy
FIFA Official Dataset 2023,Weight,Median,"{""conclusion"": ""74.0""}",Can you find out what the median is in Weight?,easy
FIFA Official Dataset 2023,Weight,Range,"{""conclusion"": ""62.0""}",What's the interval between the highest and lowest points of Weight?,easy
FIFA Official Dataset 2023,Weight,Range,"{""conclusion"": ""62.0""}",What's the extent of variation in Weight?,easy
FIFA Official Dataset 2023,Weight,Quartile,"{""conclusion"": ""\""{'Min': 48.0, 'Q1': 70.0, 'Median': 74.0, 'Q3': 79.0, 'Max': 110.0}\""""}",What's the quartile distribution for the data in Weight?,easy
FIFA Official Dataset 2023,Weight,Quartile,"{""conclusion"": ""\""{'Min': 48.0, 'Q1': 70.0, 'Median': 74.0, 'Q3': 79.0, 'Max': 110.0}\""""}",How do the values in Weight spread in terms of quartiles?,easy
FIFA Official Dataset 2023,Weight,Standard Deviation,"{""conclusion"": ""6.98254""}",Could you provide the standard deviation for the dataset in Weight?,easy
FIFA Official Dataset 2023,Weight,Standard Deviation,"{""conclusion"": ""6.98254""}",Can you determine the dispersion in Weight using standard deviation?,easy
FIFA Official Dataset 2023,Weight,Skewness,"{""conclusion"": ""0.25291""}",Is Weight positively or negatively skewed?,easy
FIFA Official Dataset 2023,Weight,Skewness,"{""conclusion"": ""0.25291""}",How skewed is the distribution of Weight?,easy
FIFA Official Dataset 2023,Weight,Kurtosis,"{""conclusion"": ""0.16147""}",What is the level of kurtosis in Weight?,easy
FIFA Official Dataset 2023,Weight,Kurtosis,"{""conclusion"": ""0.16147""}",What is the degree of peaked for Weight?,easy
FIFA Official Dataset 2023,Release Clause,Mean,"{""conclusion"": ""5376264.52238""}",What does the mean of Release Clause indicate?,easy
FIFA Official Dataset 2023,Release Clause,Mean,"{""conclusion"": ""5376264.52238""}",What is the average of the Release Clause values?,easy
FIFA Official Dataset 2023,Release Clause,Median,"{""conclusion"": ""1300000.0""}",Could you determine the median figure of Release Clause?,easy
FIFA Official Dataset 2023,Release Clause,Median,"{""conclusion"": ""1300000.0""}",Can you calculate the median of Release Clause?,easy
FIFA Official Dataset 2023,Release Clause,Range,"{""conclusion"": ""366680000.0""}",Could you tell me the distance from the smallest to the largest value in Release Clause?,easy
FIFA Official Dataset 2023,Release Clause,Range,"{""conclusion"": ""366680000.0""}",What's the extent of variation in Release Clause?,easy
FIFA Official Dataset 2023,Release Clause,Quartile,"{""conclusion"": ""\""{'Min': 20000.0, 'Q1': 601000.0, 'Median': 1300000.0, 'Q3': 3300000.0, 'Max': 366700000.0}\""""}",Could you show the quartile segmentation of Release Clause?,easy
FIFA Official Dataset 2023,Release Clause,Quartile,"{""conclusion"": ""\""{'Min': 20000.0, 'Q1': 601000.0, 'Median': 1300000.0, 'Q3': 3300000.0, 'Max': 366700000.0}\""""}",How do the values in Release Clause spread in terms of quartiles?,easy
FIFA Official Dataset 2023,Release Clause,Standard Deviation,"{""conclusion"": ""15551533.27968""}","How do the numbers in Release Clause vary, as shown by the standard deviation?",easy
FIFA Official Dataset 2023,Release Clause,Standard Deviation,"{""conclusion"": ""15551533.27968""}","How spread out are the values in Release Clause, in terms of standard deviation?",easy
FIFA Official Dataset 2023,Release Clause,Skewness,"{""conclusion"": ""7.5715""}",Can you calculate the skew of Release Clause?,easy
FIFA Official Dataset 2023,Release Clause,Skewness,"{""conclusion"": ""7.5715""}",How does the asymmetry of Release Clause?,easy
FIFA Official Dataset 2023,Release Clause,Kurtosis,"{""conclusion"": ""83.36303""}",How peaked is the distribution of Release Clause?,easy
FIFA Official Dataset 2023,Release Clause,Kurtosis,"{""conclusion"": ""83.36303""}",What is the level of kurtosis in Release Clause?,easy
FIFA Official Dataset 2023,Kit Number,Mode,"{""conclusion"": ""20.0""}",What is the most frequent value in Kit Number?,easy
FIFA Official Dataset 2023,Kit Number,Mode,"{""conclusion"": ""20.0""}",Can you find the mode of Kit Number?,easy
Fruits and Vegetables Prices Dataset,farmprice,Mean,"{""conclusion"": ""0.59534""}",Can you calculate the mean for farmprice?,easy
Fruits and Vegetables Prices Dataset,farmprice,Mean,"{""conclusion"": ""0.59534""}",What's the mean value of farmprice?,easy
Fruits and Vegetables Prices Dataset,farmprice,Median,"{""conclusion"": ""0.43""}",What number represents the median of farmprice?,easy
Fruits and Vegetables Prices Dataset,farmprice,Median,"{""conclusion"": ""0.43""}",Can you tell me the median value in farmprice?,easy
Fruits and Vegetables Prices Dataset,farmprice,Range,"{""conclusion"": ""9.0""}",Can you determine the range covered by farmprice?,easy
Fruits and Vegetables Prices Dataset,farmprice,Range,"{""conclusion"": ""9.0""}",How broad is the scope of farmprice values?,easy
Fruits and Vegetables Prices Dataset,farmprice,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.28, 'Median': 0.43, 'Q3': 0.78, 'Max': 9.0}\""""}",How do the values in farmprice spread in terms of quartiles?,easy
Fruits and Vegetables Prices Dataset,farmprice,Quartile,"{""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.28, 'Median': 0.43, 'Q3': 0.78, 'Max': 9.0}\""""}",Could you show the quartile segmentation of farmprice?,easy
Fruits and Vegetables Prices Dataset,farmprice,Standard Deviation,"{""conclusion"": ""0.4829""}","What is the variance measure for farmprice, as indicated by its standard deviation?",easy
Fruits and Vegetables Prices Dataset,farmprice,Standard Deviation,"{""conclusion"": ""0.4829""}",Can you determine the dispersion in farmprice using standard deviation?,easy
Fruits and Vegetables Prices Dataset,farmprice,Skewness,"{""conclusion"": ""2.45463""}",How skewed is the distribution of farmprice?,easy
Fruits and Vegetables Prices Dataset,farmprice,Skewness,"{""conclusion"": ""2.45463""}",Does farmprice show any skewness in its distribution?,easy
Fruits and Vegetables Prices Dataset,farmprice,Kurtosis,"{""conclusion"": ""12.54878""}",What is the degree of peaked for farmprice?,easy
Fruits and Vegetables Prices Dataset,farmprice,Kurtosis,"{""conclusion"": ""12.54878""}",Is there significant kurtosis present in the data for farmprice?,easy
Fruits and Vegetables Prices Dataset,atlantaretail,Mean,"{""conclusion"": ""1.75602""}",Can you tell me the average number in atlantaretail?,easy
Fruits and Vegetables Prices Dataset,atlantaretail,Mean,"{""conclusion"": ""1.75602""}",What is the average of the atlantaretail values?,easy
