Dataset Name,Column 1,Column 2,Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,question,difficulty
Exercise and Fitness Metrics Dataset,Duration,BMI,"{""coefficient"": 0.0202, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02035, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01386, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Duration and BMI?,easy
Exercise and Fitness Metrics Dataset,Duration,BMI,"{""coefficient"": 0.0202, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02035, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01386, ""conclusion"": ""Not strongly correlated""}",Do Duration and BMI show any linear correlation?,easy
Exercise and Fitness Metrics Dataset,Duration,BMI,"{""coefficient"": 0.0202, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02035, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01386, ""conclusion"": ""Not strongly correlated""}",How do changes in Duration correlate with changes in BMI?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,BMI,"{""coefficient"": 0.01556, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01576, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01066, ""conclusion"": ""Not strongly correlated""}",Do Heart Rate and BMI show any linear correlation?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,BMI,"{""coefficient"": 0.01556, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01576, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01066, ""conclusion"": ""Not strongly correlated""}",Do changes in Heart Rate relate to changes in BMI?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,BMI,"{""coefficient"": 0.01556, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01576, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01066, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Heart Rate similarly appear in BMI?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,BMI,"{""coefficient"": 0.01556, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01576, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01066, ""conclusion"": ""Not strongly correlated""}",Are variations in Heart Rate associated with variations in BMI?,easy
Exercise and Fitness Metrics Dataset,Heart Rate,BMI,"{""coefficient"": 0.01556, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01576, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01066, ""conclusion"": ""Not strongly correlated""}",Are Heart Rate and BMI related in any way?,easy
FIFA Official Dataset 2023,Age,Potential,"{""coefficient"": -0.02915, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0396, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02837, ""conclusion"": ""Not strongly correlated""}",Are Age and Potential related in any way?,easy
FIFA Official Dataset 2023,Age,Potential,"{""coefficient"": -0.02915, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0396, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02837, ""conclusion"": ""Not strongly correlated""}",Are movements in Age reflected similarly in Potential?,easy
FIFA Official Dataset 2023,Age,Potential,"{""coefficient"": -0.02915, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0396, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02837, ""conclusion"": ""Not strongly correlated""}",How closely do Age and Potential follow a straight-line relationship?,easy
FIFA Official Dataset 2023,Age,Potential,"{""coefficient"": -0.02915, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0396, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02837, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Age and Potential?,easy
FIFA Official Dataset 2023,Age,Potential,"{""coefficient"": -0.02915, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.0396, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": -0.02837, ""conclusion"": ""Not strongly correlated""}",How do changes in Age correlate with changes in Potential?,easy
FIFA Official Dataset 2023,Age,Value,"{""coefficient"": 0.16661, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.26119, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Age and Value?,easy
FIFA Official Dataset 2023,Age,Value,"{""coefficient"": 0.16661, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.26119, ""conclusion"": ""Not strongly correlated""}",How closely do Age and Value follow a straight-line relationship?,easy
FIFA Official Dataset 2023,Age,Value,"{""coefficient"": 0.16661, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.26119, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Age relate to Value?,easy
FIFA Official Dataset 2023,Age,Value,"{""coefficient"": 0.16661, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.26119, ""conclusion"": ""Not strongly correlated""}",Do patterns observed in Age similarly appear in Value?,easy
FIFA Official Dataset 2023,Age,Value,"{""coefficient"": 0.16661, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.26119, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Age and Value?,easy
FIFA Official Dataset 2023,Age,Wage,"{""coefficient"": 0.29461, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.43028, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33027, ""conclusion"": ""Not strongly correlated""}",How closely do Age and Wage follow a straight-line relationship?,easy
FIFA Official Dataset 2023,Age,Wage,"{""coefficient"": 0.29461, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.43028, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33027, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Age and Wage?,easy
FIFA Official Dataset 2023,Age,Wage,"{""coefficient"": 0.29461, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.43028, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33027, ""conclusion"": ""Not strongly correlated""}",How do changes in Age correlate with changes in Wage?,easy
FIFA Official Dataset 2023,Age,Wage,"{""coefficient"": 0.29461, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.43028, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33027, ""conclusion"": ""Not strongly correlated""}",Are Age and Wage related in any way?,easy
FIFA Official Dataset 2023,Age,Wage,"{""coefficient"": 0.29461, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.43028, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33027, ""conclusion"": ""Not strongly correlated""}",Are Age and Wage correlated with each other in a linear manner?,easy
FIFA Official Dataset 2023,Age,Special,"{""coefficient"": 0.38151, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46171, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33332, ""conclusion"": ""Not strongly correlated""}",Are variations in Age associated with variations in Special?,easy
FIFA Official Dataset 2023,Age,Special,"{""coefficient"": 0.38151, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46171, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33332, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Age and Special?,easy
FIFA Official Dataset 2023,Age,Special,"{""coefficient"": 0.38151, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46171, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33332, ""conclusion"": ""Not strongly correlated""}",Do changes in Age relate to changes in Special?,easy
FIFA Official Dataset 2023,Age,Special,"{""coefficient"": 0.38151, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46171, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33332, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Age relate to Special?,easy
FIFA Official Dataset 2023,Age,Special,"{""coefficient"": 0.38151, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.46171, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.33332, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Age and Special?,easy
FIFA Official Dataset 2023,Age,Height,"{""coefficient"": 0.07448, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07336, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05164, ""conclusion"": ""Not strongly correlated""}",Are movements in Age reflected similarly in Height?,easy
FIFA Official Dataset 2023,Age,Height,"{""coefficient"": 0.07448, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07336, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05164, ""conclusion"": ""Not strongly correlated""}",Do changes in Age relate to changes in Height?,easy
FIFA Official Dataset 2023,Age,Height,"{""coefficient"": 0.07448, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07336, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05164, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Age and Height consistent?,easy
FIFA Official Dataset 2023,Age,Height,"{""coefficient"": 0.07448, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07336, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05164, ""conclusion"": ""Not strongly correlated""}",Do Age and Height show any linear correlation?,easy
FIFA Official Dataset 2023,Age,Height,"{""coefficient"": 0.07448, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.07336, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05164, ""conclusion"": ""Not strongly correlated""}",Are variations in Age associated with variations in Height?,easy
FIFA Official Dataset 2023,Age,Weight,"{""coefficient"": 0.23824, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22795, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.16174, ""conclusion"": ""Not strongly correlated""}",Do Age and Weight show any linear correlation?,easy
FIFA Official Dataset 2023,Age,Weight,"{""coefficient"": 0.23824, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22795, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.16174, ""conclusion"": ""Not strongly correlated""}",Do changes in Age relate to changes in Weight?,easy
FIFA Official Dataset 2023,Age,Weight,"{""coefficient"": 0.23824, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22795, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.16174, ""conclusion"": ""Not strongly correlated""}",How do changes in Age correlate with changes in Weight?,easy
FIFA Official Dataset 2023,Age,Weight,"{""coefficient"": 0.23824, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22795, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.16174, ""conclusion"": ""Not strongly correlated""}",Is the connection between Age and Weight strong?,easy
FIFA Official Dataset 2023,Age,Weight,"{""coefficient"": 0.23824, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.22795, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.16174, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Age and Weight?,easy
FIFA Official Dataset 2023,Age,Release Clause,"{""coefficient"": 0.16789, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34773, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24677, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Age and Release Clause?,easy
FIFA Official Dataset 2023,Age,Release Clause,"{""coefficient"": 0.16789, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34773, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24677, ""conclusion"": ""Not strongly correlated""}",Are Age and Release Clause related in any way?,easy
FIFA Official Dataset 2023,Age,Release Clause,"{""coefficient"": 0.16789, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34773, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24677, ""conclusion"": ""Not strongly correlated""}",Do Age and Release Clause show any linear correlation?,easy
FIFA Official Dataset 2023,Age,Release Clause,"{""coefficient"": 0.16789, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34773, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24677, ""conclusion"": ""Not strongly correlated""}",Are movements in Age reflected similarly in Release Clause?,easy
FIFA Official Dataset 2023,Age,Release Clause,"{""coefficient"": 0.16789, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.34773, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.24677, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Age and Release Clause?,easy
FIFA Official Dataset 2023,Overall,Height,"{""coefficient"": 0.05927, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05173, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03581, ""conclusion"": ""Not strongly correlated""}",Are movements in Overall reflected similarly in Height?,easy
FIFA Official Dataset 2023,Overall,Height,"{""coefficient"": 0.05927, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05173, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03581, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Overall and Height consistent?,easy
FIFA Official Dataset 2023,Overall,Height,"{""coefficient"": 0.05927, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05173, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03581, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Overall and Height?,easy
FIFA Official Dataset 2023,Overall,Height,"{""coefficient"": 0.05927, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05173, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03581, ""conclusion"": ""Not strongly correlated""}",Are Overall and Height related in any way?,easy
FIFA Official Dataset 2023,Overall,Height,"{""coefficient"": 0.05927, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.05173, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.03581, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Overall and Height?,easy
FIFA Official Dataset 2023,Overall,Weight,"{""coefficient"": 0.16232, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.1503, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.10481, ""conclusion"": ""Not strongly correlated""}",Do Overall and Weight show any linear correlation?,easy
FIFA Official Dataset 2023,Overall,Weight,"{""coefficient"": 0.16232, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.1503, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.10481, ""conclusion"": ""Not strongly correlated""}",How do changes in Overall correlate with changes in Weight?,easy
FIFA Official Dataset 2023,Overall,Weight,"{""coefficient"": 0.16232, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.1503, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.10481, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Overall and Weight?,easy
FIFA Official Dataset 2023,Overall,Weight,"{""coefficient"": 0.16232, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.1503, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.10481, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Overall and Weight?,easy
FIFA Official Dataset 2023,Overall,Weight,"{""coefficient"": 0.16232, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.1503, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.10481, ""conclusion"": ""Not strongly correlated""}",Are Overall and Weight correlated with each other in a linear manner?,easy
FIFA Official Dataset 2023,Potential,Wage,"{""coefficient"": 0.47934, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49903, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36961, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Potential and Wage?,easy
FIFA Official Dataset 2023,Potential,Wage,"{""coefficient"": 0.47934, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49903, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36961, ""conclusion"": ""Not strongly correlated""}",Are movements in Potential reflected similarly in Wage?,easy
FIFA Official Dataset 2023,Potential,Wage,"{""coefficient"": 0.47934, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49903, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36961, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Potential and Wage?,easy
FIFA Official Dataset 2023,Potential,Wage,"{""coefficient"": 0.47934, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49903, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36961, ""conclusion"": ""Not strongly correlated""}",Are Potential and Wage related in any way?,easy
FIFA Official Dataset 2023,Potential,Wage,"{""coefficient"": 0.47934, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49903, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.36961, ""conclusion"": ""Not strongly correlated""}",How do changes in Potential correlate with changes in Wage?,easy
FIFA Official Dataset 2023,Potential,Special,"{""coefficient"": 0.48763, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49909, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.35571, ""conclusion"": ""Not strongly correlated""}",How do changes in Potential correlate with changes in Special?,easy
FIFA Official Dataset 2023,Potential,Special,"{""coefficient"": 0.48763, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49909, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.35571, ""conclusion"": ""Not strongly correlated""}",Do Potential and Special show any linear correlation?,easy
FIFA Official Dataset 2023,Potential,Special,"{""coefficient"": 0.48763, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49909, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.35571, ""conclusion"": ""Not strongly correlated""}",How closely do Potential and Special follow a straight-line relationship?,easy
FIFA Official Dataset 2023,Potential,Special,"{""coefficient"": 0.48763, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49909, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.35571, ""conclusion"": ""Not strongly correlated""}",Are Potential and Special correlated with each other in a linear manner?,easy
FIFA Official Dataset 2023,Potential,Special,"{""coefficient"": 0.48763, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.49909, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.35571, ""conclusion"": ""Not strongly correlated""}",Are movements in Potential reflected similarly in Special?,easy
FIFA Official Dataset 2023,Potential,Height,"{""coefficient"": 0.04393, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02898, ""conclusion"": ""Not strongly correlated""}",Are variations in Potential associated with variations in Height?,easy
FIFA Official Dataset 2023,Potential,Height,"{""coefficient"": 0.04393, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02898, ""conclusion"": ""Not strongly correlated""}",How closely do Potential and Height follow a straight-line relationship?,easy
FIFA Official Dataset 2023,Potential,Height,"{""coefficient"": 0.04393, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02898, ""conclusion"": ""Not strongly correlated""}",Are Potential and Height correlated with each other in a linear manner?,easy
FIFA Official Dataset 2023,Potential,Height,"{""coefficient"": 0.04393, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02898, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Potential relate to Height?,easy
FIFA Official Dataset 2023,Potential,Height,"{""coefficient"": 0.04393, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04156, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.02898, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Potential and Height?,easy
FIFA Official Dataset 2023,Potential,Weight,"{""coefficient"": 0.0262, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01952, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01363, ""conclusion"": ""Not strongly correlated""}",Do Potential and Weight show any linear correlation?,easy
FIFA Official Dataset 2023,Potential,Weight,"{""coefficient"": 0.0262, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01952, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01363, ""conclusion"": ""Not strongly correlated""}",Is there a linear relationship between Potential and Weight?,easy
FIFA Official Dataset 2023,Potential,Weight,"{""coefficient"": 0.0262, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01952, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01363, ""conclusion"": ""Not strongly correlated""}",Are Potential and Weight correlated with each other in a linear manner?,easy
FIFA Official Dataset 2023,Potential,Weight,"{""coefficient"": 0.0262, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01952, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01363, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Potential and Weight?,easy
FIFA Official Dataset 2023,Potential,Weight,"{""coefficient"": 0.0262, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01952, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01363, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Potential and Weight?,easy
FIFA Official Dataset 2023,Value,Height,"{""coefficient"": 0.03226, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01609, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01096, ""conclusion"": ""Not strongly correlated""}",Are Value and Height correlated with each other in a linear manner?,easy
FIFA Official Dataset 2023,Value,Height,"{""coefficient"": 0.03226, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01609, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01096, ""conclusion"": ""Not strongly correlated""}",Do Value and Height show any linear correlation?,easy
FIFA Official Dataset 2023,Value,Height,"{""coefficient"": 0.03226, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01609, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01096, ""conclusion"": ""Not strongly correlated""}",Is the connection between Value and Height strong?,easy
FIFA Official Dataset 2023,Value,Height,"{""coefficient"": 0.03226, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01609, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01096, ""conclusion"": ""Not strongly correlated""}",Is there a direct relationship between Value and Height?,easy
FIFA Official Dataset 2023,Value,Height,"{""coefficient"": 0.03226, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01609, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.01096, ""conclusion"": ""Not strongly correlated""}",How does the direction of change in Value relate to Height?,easy
FIFA Official Dataset 2023,Value,Weight,"{""coefficient"": 0.05911, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06727, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04625, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Value and Weight consistent?,easy
FIFA Official Dataset 2023,Value,Weight,"{""coefficient"": 0.05911, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06727, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04625, ""conclusion"": ""Not strongly correlated""}",Do changes in Value relate to changes in Weight?,easy
FIFA Official Dataset 2023,Value,Weight,"{""coefficient"": 0.05911, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06727, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04625, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Value and Weight over time?,easy
FIFA Official Dataset 2023,Value,Weight,"{""coefficient"": 0.05911, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06727, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04625, ""conclusion"": ""Not strongly correlated""}",How strong is the correlation between Value and Weight?,easy
FIFA Official Dataset 2023,Value,Weight,"{""coefficient"": 0.05911, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06727, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.04625, ""conclusion"": ""Not strongly correlated""}",How consistent is the relationship between Value and Weight?,easy
FIFA Official Dataset 2023,Wage,Height,"{""coefficient"": 0.04805, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0586, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Wage and Height over time?,easy
FIFA Official Dataset 2023,Wage,Height,"{""coefficient"": 0.04805, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0586, ""conclusion"": ""Not strongly correlated""}",Is there a correlation between Wage and Height?,easy
FIFA Official Dataset 2023,Wage,Height,"{""coefficient"": 0.04805, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0586, ""conclusion"": ""Not strongly correlated""}",Is the relationship between Wage and Height consistent?,easy
FIFA Official Dataset 2023,Wage,Height,"{""coefficient"": 0.04805, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0586, ""conclusion"": ""Not strongly correlated""}",Are movements in Wage reflected similarly in Height?,easy
FIFA Official Dataset 2023,Wage,Height,"{""coefficient"": 0.04805, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.08235, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.0586, ""conclusion"": ""Not strongly correlated""}",Do Wage and Height show any linear correlation?,easy
FIFA Official Dataset 2023,Wage,Weight,"{""coefficient"": 0.08479, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09394, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06686, ""conclusion"": ""Not strongly correlated""}",Do Wage and Weight show any linear correlation?,easy
FIFA Official Dataset 2023,Wage,Weight,"{""coefficient"": 0.08479, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09394, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06686, ""conclusion"": ""Not strongly correlated""}",How do changes in Wage correlate with changes in Weight?,easy
FIFA Official Dataset 2023,Wage,Weight,"{""coefficient"": 0.08479, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09394, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06686, ""conclusion"": ""Not strongly correlated""}",Are there any correlations between Wage and Weight over time?,easy
FIFA Official Dataset 2023,Wage,Weight,"{""coefficient"": 0.08479, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09394, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06686, ""conclusion"": ""Not strongly correlated""}",Are variations in Wage associated with variations in Weight?,easy
FIFA Official Dataset 2023,Wage,Weight,"{""coefficient"": 0.08479, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.09394, ""conclusion"": ""Not strongly correlated""}","{""coefficient"": 0.06686, ""conclusion"": ""Not strongly correlated""}",Are movements in Wage reflected similarly in Weight?,easy
