index,Rank,Game Title,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Review
479,480,God of War Collection,PS3,2009.0,Action,Sony Computer Entertainment,1.63,0.36,0.06,0.48,2.53,90.62
480,481,Crazy Taxi,PS2,2001.0,Racing,Acclaim Entertainment,1.13,1.12,0.06,0.22,2.52,79.06999999999998
481,482,Perfect Dark,N64,2000.0,Action,Nintendo,1.55,0.75,0.16,0.06,2.52,94.2
482,483,Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,Capcom,0.35,0.24,1.75,0.17,2.52,88.0
483,484,FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.45,1.6,0.04,0.42,2.51,86.0
484,485,Tekken 6,PS3,2009.0,Fighting,Namco Bandai Games,1.09,0.86,0.17,0.39,2.51,79.65
485,486,PES 2009: Pro Evolution Soccer,PS2,2008.0,Sports,Konami Digital Entertainment,0.13,1.68,0.26,0.43,2.5,82.0
486,487,Mario Party 2,N64,1999.0,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5,84.0
487,488,Madden NFL 09,X360,2008.0,Sports,Electronic Arts,2.18,0.11,0.0,0.2,2.49,81.0
488,489,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003.0,Action,Take-Two Interactive,1.84,0.56,0.0,0.09,2.49,91.0
489,490,Mario Strikers Charged,Wii,2007.0,Sports,Nintendo,1.01,1.0,0.24,0.24,2.49,79.43
490,491,Mortal Kombat: Deadly Alliance,PS2,2002.0,Fighting,Midway Games,1.81,0.52,0.0,0.15,2.49,83.0
491,492,Style Savvy,DS,2008.0,Simulation,Nintendo,0.5799999999999998,0.76,0.96,0.18,2.48,83.0
492,493,Medal of Honor,X360,2010.0,Shooter,Electronic Arts,1.47,0.74,0.04,0.24,2.48,76.0
493,494,Tomb Raider: The Last Revelation,PS,1998.0,Action,Eidos Interactive,1.15,1.14,0.06,0.13,2.48,77.0
494,495,Mario Party 4,GC,2002.0,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47,73.3
495,496,Need for Speed: Hot Pursuit,PS3,2010.0,Racing,Electronic Arts,0.91,1.1,0.03,0.44,2.47,84.0
496,497,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision,1.18,1.02,0.0,0.26,2.46,67.0
497,498,Madden NFL 13,X360,2012.0,Sports,Electronic Arts,2.18,0.08,0.0,0.19,2.45,68.0
498,499,Marvel: Ultimate Alliance,X360,2006.0,Role-Playing,Activision,2.26,0.01,0.0,0.19,2.45,82.09
499,500,Final Fantasy Tactics,PS,1997.0,Role-Playing,Square,0.93,0.12,1.34,0.06,2.45,92.0
500,501,Final Fantasy V,SNES,1992.0,Role-Playing,Square,0.0,0.0,2.43,0.02,2.45,87.0
501,502,Deca Sports,Wii,2008.0,Sports,Hudson Soft,1.09,0.82,0.2899999999999999,0.24,2.45,53.04
502,503,Art Academy,DS,2010.0,Misc,Nintendo,0.23,1.6,0.33,0.28,2.45,78.45
503,504,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.13,0.85,0.1,0.37,2.44,83.11
504,505,Saints Row: The Third,X360,2011.0,Action,THQ,1.06,1.07,0.06,0.26,2.44,84.9
505,506,Twisted Metal 2,PS,1996.0,Racing,Sony Computer Entertainment,2.12,0.25,0.0,0.07,2.44,86.44
506,507,Killzone 3,PS3,2011.0,Shooter,Sony Computer Entertainment,1.27,0.73,0.09,0.35,2.44,86.38
507,508,Professor Layton and the Last Specter,DS,2009.0,Adventure,Level 5,0.24,1.29,0.68,0.23,2.43,87.0
508,509,The Sims: Bustin' Out,PS2,2003.0,Simulation,Electronic Arts,1.07,1.19,0.0,0.18,2.43,83.44
509,510,Mario Party 9,Wii,2012.0,Misc,Nintendo,0.84,0.73,0.67,0.19,2.43,75.05
510,511,Riven: The Sequel to Myst,PC,1997.0,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43,84.0
511,512,L.A. Noire,X360,2011.0,Adventure,Take-Two Interactive,1.34,0.82,0.02,0.24,2.42,87.0
512,513,Sonic Adventure,DC,1998.0,Platform,Sega,1.26,0.61,0.46,0.08,2.42,90.0
513,514,Ice Hockey,NES,1988.0,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,82.0
514,515,Ratchet & Clank Future: Tools of Destruction,PS3,2007.0,Platform,Sony Computer Entertainment,0.87,1.03,0.08,0.43,2.42,88.0
515,516,Pure,X360,2008.0,Racing,Disney Interactive Studios,1.35,0.82,0.0,0.24,2.42,82.0
516,517,Dragon Ball Z: Budokai 2,PS2,2003.0,Fighting,Atari,1.63,0.22,0.51,0.06,2.41,78.0
517,518,Dragon Age: Origins,X360,2009.0,Role-Playing,Electronic Arts,1.67,0.49,0.03,0.22,2.41,86.98
518,519,ATV Offroad Fury,PS2,2001.0,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,83.12
519,520,Dino Crisis,PS,1998.0,Action,Capcom,0.81,0.76,0.7,0.14,2.41,82.78
520,521,Need for Speed: ProStreet,PS2,2007.0,Racing,Electronic Arts,0.69,1.31,0.04,0.37,2.41,68.0
521,522,Tetris Plus,PS,1996.0,Puzzle,JVC,2.1,0.24,0.0,0.07,2.4,78.0
522,523,Pro Wrestling,NES,1987.0,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4,80.0
523,524,Rock Band,X360,,Misc,Electronic Arts,1.88,0.31,0.0,0.21,2.4,77.0
524,525,Frogger's Adventures: Temple of the Frog,GBA,,Adventure,Unknown,2.15,0.18,0.0,0.07,2.39,69.0
525,526,Monopoly,PC,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39,77.0
526,527,Guitar Hero,PS2,2005.0,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38,91.96
527,528,WCW/nWo Revenge,N64,1998.0,Fighting,THQ,1.94,0.39,0.03,0.02,2.38,82.76
528,529,Resident Evil 6,PS3,2012.0,Action,Capcom,0.65,0.62,0.85,0.26,2.38,73.55
529,530,Yu-Gi-Oh! The Duelists of the Roses,PS2,2001.0,Misc,Konami Digital Entertainment,1.16,0.91,0.0,0.3,2.38,67.0
530,531,The Incredibles,PS2,2004.0,Action,THQ,0.96,1.08,0.04,0.3,2.37,65.0
531,532,Tony Hawk's Underground 2,PS2,2004.0,Sports,Activision,1.25,0.86,0.01,0.26,2.37,84.0
532,533,Half-Life 2,PC,2004.0,Shooter,Valve Software,2.28,0.01,0.08,0.0,2.36,95.48
533,534,Kirby's Dream Land 2,GB,1995.0,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36,83.0
534,535,Tom Clancy's Rainbow Six: Vegas 2,X360,2008.0,Shooter,Ubisoft,1.52,0.59,0.02,0.23,2.36,82.77
535,536,Need for Speed Carbon: Own the City,PSP,2006.0,Racing,Electronic Arts,0.86,0.93,0.0,0.57,2.36,81.0
536,537,Resistance 2,PS3,2008.0,Shooter,Sony Computer Entertainment,1.1,0.79,0.1,0.37,2.35,87.0
537,538,Theme Hospital,PC,1997.0,Strategy,Electronic Arts,2.3,0.06,0.0,0.0,2.35,73.0
538,539,uDraw Studio,Wii,2010.0,Misc,THQ,1.59,0.54,0.0,0.22,2.35,66.5
539,540,Donkey Kong Land 2,GB,1996.0,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35,80.0
540,541,Battlefield 3,PC,2011.0,Shooter,Electronic Arts,0.8,1.19,0.0,0.36,2.35,86.82
541,542,pro evolution soccer 2011,PS3,2010.0,Sports,Konami Digital Entertainment,0.27,1.15,0.54,0.38,2.34,82.0
542,543,Madden NFL 08,X360,2007.0,Sports,Electronic Arts,2.16,0.0,0.0,0.18,2.34,80.0
543,544,WWE SmackDown vs Raw 2008,PS2,2007.0,Fighting,THQ,0.92,1.12,0.01,0.2899999999999999,2.34,78.0
544,545,Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,1.08,0.7,0.34,0.21,2.34,82.77
545,546,Madden NFL 10,PS3,2009.0,Sports,Electronic Arts,2.0,0.12,0.0,0.2,2.32,81.0
546,547,Mario Tennis,N64,2000.0,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32,86.0
547,548,Grand Theft Auto,PS,1997.0,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32,78.0
548,549,James Bond 007: Everything or Nothing,PS2,2004.0,Shooter,Electronic Arts,0.85,1.06,0.09,0.32,2.31,84.64
549,550,Borderlands 2,X360,2012.0,Shooter,Take-Two Interactive,1.42,0.65,0.03,0.22,2.31,89.29
550,551,Need For Speed: High Stakes,PS,1999.0,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31,86.0
551,552,Chrono Trigger,SNES,1995.0,Role-Playing,Square,0.28,0.0,2.02,0.01,2.31,91.98
552,553,Madden NFL 11,PS3,2010.0,Sports,Electronic Arts,1.97,0.13,0.0,0.2,2.31,75.0
553,554,Final Fantasy XIII-2,PS3,2011.0,Role-Playing,Square Enix,0.72,0.49,0.87,0.22,2.3,79.08
554,555,Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,1.0,0.88,0.06,0.37,2.3,89.23
555,556,Halo Wars,X360,2009.0,Strategy,Microsoft Game Studios,1.3,0.74,0.04,0.22,2.3,82.05
556,557,Tomb Raider II,PC,1997.0,Adventure,Eidos Interactive,0.91,1.25,0.0,0.13,2.29,86.2
557,558,Need for Speed Underground 2,XB,2004.0,Racing,Electronic Arts,1.38,0.8,0.0,0.1,2.28,82.0
558,559,My Fitness Coach,Wii,2008.0,Sports,Ubisoft,1.16,0.88,0.0,0.24,2.28,69.0
559,560,Mario Bros.,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28,91.0
560,561,FIFA Soccer 09,PS2,2008.0,Sports,Electronic Arts,0.38,1.49,0.01,0.4,2.28,85.0
561,562,TOCA Championship Racing,PS,1998.0,Racing,Codemasters,0.07,2.0,0.02,0.18,2.28,83.4
562,563,WarioWare Touched!,DS,2004.0,Puzzle,Nintendo,0.5,0.44,1.21,0.13,2.27,81.67
563,564,Kirby: Nightmare in Dream Land,GBA,2002.0,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27,80.45
564,565,Wario Land 4,GBA,2001.0,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26,85.34
565,566,Onimusha 2: Samurai's Destiny,PS2,2002.0,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25,84.0
566,567,Paper Mario: The Thousand-Year Door,GC,2004.0,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,88.17
567,568,Pokémon Ranger: Shadows of Almia,DS,2008.0,Role-Playing,Nintendo,0.93,0.52,0.62,0.18,2.25,82.0
568,569,Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,0.28,1.25,0.46,0.25,2.24,71.0
569,570,NBA 2K13,X360,2012.0,Action,Take-Two Interactive,1.98,0.1,0.01,0.15,2.24,86.0
570,571,Sonic Advance,GBA,2001.0,Platform,Sega,1.19,0.71,0.22,0.13,2.24,81.0
571,572,Spyro: Season of Ice,GBA,2001.0,Platform,Konami Digital Entertainment,1.29,0.83,0.0,0.11,2.23,70.0
572,573,Prince of Persia: The Sands of Time,PS2,2003.0,Adventure,Ubisoft,0.88,1.03,0.0,0.31,2.22,90.0
573,574,LEGO Indiana Jones: The Original Adventures,Wii,,Adventure,LucasArts,1.44,0.57,0.0,0.21,2.22,81.0
574,575,The Legend of Zelda: Link's Awakening DX,GB,1998.0,Adventure,Nintendo,1.0,0.63,0.45,0.13,2.22,90.0
575,576,LEGO Harry Potter: Years 1-4,Wii,2010.0,Adventure,Warner Bros. Interactive Entertainment,1.19,0.79,0.0,0.23,2.21,79.0
576,577,Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006.0,Action,Capcom,1.06,0.82,0.05,0.28,2.21,88.0
577,578,Wario Land 3,GB,2000.0,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2,90.0
578,579,Star Wars: Knights of the Old Republic,XB,2003.0,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19,93.0
579,580,Kirby's Pinball Land,GB,1992.0,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19,80.0
580,581,Donkey Kong Country,GB,2000.0,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19,86.0
581,582,Yu-Gi-Oh: Duel Monsters 4,GB,2000.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,2.17,0.01,2.18,70.0
582,583,Call of Duty 3,Wii,,Shooter,Unknown,1.13,0.82,0.0,0.23,2.18,69.91
583,584,ATV Offroad Fury 2,PS2,2002.0,Racing,Sony Computer Entertainment,1.92,0.2,0.0,0.06,2.18,81.02
584,585,LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,0.57,1.01,0.01,0.5799999999999998,2.17,84.0
585,586,Mario & Luigi: Superstar Saga,GBA,2003.0,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17,91.0
586,587,Super Monkey Ball: Banana Blitz,Wii,2006.0,Misc,Sega,1.0,0.9,0.04,0.23,2.17,74.0
587,588,Star Wars: Rogue Squadron,N64,1998.0,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17,84.0
588,589,Tennis,NES,1984.0,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17,69.0
589,590,The Sims: House Party,PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,75.95
590,591,Dissidia: Final Fantasy,PSP,2008.0,Fighting,Square Enix,0.48,0.47,0.91,0.2899999999999999,2.16,88.0
591,592,Guitar Hero III: Legends of Rock,PS3,2007.0,Misc,Activision,1.36,0.49,0.02,0.28,2.16,85.0
592,593,Syphon Filter 2,PS,2000.0,Shooter,989 Studios,1.5,0.55,0.02,0.08,2.15,83.0
593,594,Volleyball,NES,1987.0,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15,54.0
594,595,Far Cry 3,X360,2012.0,Shooter,Ubisoft,0.94,0.96,0.01,0.23,2.14,89.67
595,596,Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.83,0.12,0.0,0.19,2.14,73.0
596,597,Rock Band 2,X360,2008.0,Misc,Electronic Arts,1.74,0.22,0.0,0.18,2.14,92.25
597,598,Mahjong,NES,1983.0,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14,80.0
598,599,Super Mario RPG: Legend of the Seven Stars,SNES,1996.0,Role-Playing,Nintendo,0.66,0.0,1.45,0.03,2.14,94.0
599,600,SimCity 2000,PC,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14,81.0
600,601,Halo: Combat Evolved Anniversary,X360,2011.0,Shooter,Microsoft Game Studios,1.28,0.62,0.04,0.2,2.14,81.92
601,602,Sonic's Ultimate Genesis Collection,PS3,2009.0,Misc,Sega,1.09,0.72,0.0,0.32,2.13,84.0
602,603,Saints Row,X360,2006.0,Action,THQ,1.15,0.75,0.02,0.22,2.13,86.0
603,604,Dance Dance Revolution Extreme,PS2,2004.0,Simulation,Konami Digital Entertainment,1.04,0.81,0.0,0.27,2.13,77.34999999999998
604,605,Resident Evil 4,Wii,2007.0,Action,Capcom,1.26,0.53,0.14,0.2,2.13,91.59
605,606,Final Fantasy Tactics Advance,GBA,2003.0,Action,Square EA,0.82,0.37,0.89,0.05,2.13,87.64
606,607,Grand Theft Auto: Episodes from Liberty City,X360,2009.0,Adventure,Take-Two Interactive,0.84,1.02,0.03,0.23,2.12,91.41
607,608,Kinect Sports: Season Two,X360,2011.0,Sports,Microsoft Game Studios,1.25,0.64,0.02,0.21,2.12,67.25
608,609,Pro Evolution Soccer 2012,PS3,2011.0,Sports,Konami Digital Entertainment,0.32,0.92,0.55,0.33,2.12,82.0
609,610,Project Gotham Racing,XB,2001.0,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12,81.0
610,611,Golf,GB,1989.0,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12,77.0
611,612,Midnight Club: Los Angeles,PS3,2008.0,Racing,Take-Two Interactive,1.34,0.46,0.05,0.27,2.12,81.66
612,613,Mortal Kombat,PS3,2011.0,Fighting,Warner Bros. Interactive Entertainment,1.47,0.39,0.0,0.25,2.12,90.0
613,614,LEGO Indiana Jones: The Original Adventures,DS,2008.0,Adventure,Activision,1.35,0.56,0.0,0.2,2.12,79.0
614,615,Pokémon Ranger,DS,2006.0,Role-Playing,Nintendo,1.26,0.01,0.73,0.11,2.11,79.0
615,616,Kinect: Disneyland Adventures,X360,2011.0,Misc,Microsoft Game Studios,1.59,0.32,0.02,0.18,2.11,75.0
616,617,Tony Hawk's Pro Skater,N64,2000.0,Sports,Activision,1.68,0.4,0.0,0.03,2.11,88.0
617,618,Need for Speed: Hot Pursuit 2,PS2,2002.0,Racing,Electronic Arts,1.68,0.31,0.02,0.09,2.11,87.0
618,619,Dynasty Warriors 4,PS2,2003.0,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,78.68
619,620,Parasite Eve,PS,1998.0,Role-Playing,Square,0.94,0.07,1.05,0.04,2.1,85.0
620,621,Scooby-Doo! Night of 100 Frights,PS2,2002.0,Platform,THQ,1.17,0.72,0.0,0.22,2.1,75.0
621,622,Project Gotham Racing (JP weekly sales),XB,2002.0,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1,81.0
622,623,LEGO Harry Potter: Years 1-4,DS,2010.0,Adventure,Warner Bros. Interactive Entertainment,1.0,0.87,0.0,0.22,2.09,83.0
623,624,Guitar Hero II,X360,2007.0,Misc,Activision,1.92,0.01,0.0,0.16,2.09,90.0
624,625,Devil May Cry 3: Dante's Awakening,PS2,2005.0,Action,Capcom,0.99,0.63,0.2899999999999999,0.19,2.09,84.09
625,626,Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,0.57,0.36,1.05,0.11,2.09,84.9
626,627,Finding Nemo,PS2,2003.0,Action,THQ,1.26,0.6,0.05,0.18,2.09,57.0
627,628,Tetris Worlds,PS2,2002.0,Puzzle,THQ,1.11,0.71,0.0,0.27,2.08,57.0
628,629,PES 2009: Pro Evolution Soccer,PS3,2008.0,Sports,Konami Digital Entertainment,0.1,1.32,0.4,0.26,2.08,78.0
629,630,Mario Party 5,GC,2003.0,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,70.92
630,631,Warcraft: Orcs & Humans,PC,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08,83.0
631,632,Spec Ops: Airborne Commando,PS,2002.0,Shooter,Gotham Games,1.54,0.46,0.0,0.08,2.07,57.0
632,633,Tetris DS,DS,2006.0,Puzzle,Nintendo,0.62,0.03,1.35,0.07,2.07,85.0
633,634,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001.0,Strategy,Konami Digital Entertainment,1.64,0.36,0.0,0.07,2.07,78.0
634,635,Dead Island,X360,2011.0,Action,Deep Silver,1.25,0.61,0.0,0.2,2.06,72.84
635,636,Saints Row: The Third,PS3,2011.0,Action,THQ,0.72,0.85,0.16,0.34,2.06,84.12
636,637,The Incredibles,GBA,2004.0,Action,THQ,1.15,0.77,0.04,0.1,2.06,66.0
637,638,Pokémon Mystery Dungeon: Red Rescue Team,GBA,2005.0,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,80.0
638,639,R4: Ridge Racer Type 4,PS,1998.0,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,86.0
639,640,SoulCalibur II,PS2,2003.0,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06,88.0
640,641,Call of Duty: Roads to Victory,PSP,2007.0,Shooter,Activision,0.5,0.99,0.0,0.57,2.05,64.65
641,642,Sim Theme Park,PC,1998.0,Strategy,Electronic Arts,2.04,0.02,0.0,0.0,2.05,79.0
642,643,Sonic Mega Collection,GC,2002.0,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,76.39
643,644,Street Fighter IV,PS3,2009.0,Fighting,Capcom,1.05,0.57,0.14,0.2899999999999999,2.05,86.0
644,645,NBA Jam,GEN,1992.0,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05,85.0
645,646,The Sims 2: Pets,DS,2006.0,Simulation,Electronic Arts,0.91,0.92,0.0,0.22,2.05,46.83
646,647,Rock Band,Wii,,Misc,MTV Games,1.31,0.54,0.0,0.2,2.05,80.13
647,648,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006.0,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04,73.04
648,649,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005.0,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04,83.0
649,650,Donkey Kong Country,GBA,2003.0,Platform,Nintendo,1.2,0.48,0.2899999999999999,0.07,2.04,84.0
650,651,Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,1.76,0.1,0.0,0.18,2.04,71.0
651,652,NBA 2K11,X360,2010.0,Sports,Take-Two Interactive,1.77,0.1,0.01,0.16,2.03,89.0
652,653,1080°: TenEighty Snowboarding,N64,1998.0,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,89.6
653,654,NBA Live 2004,PS2,2003.0,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,83.83
654,655,Mario Sports Mix,Wii,2010.0,Sports,Nintendo,0.85,0.41,0.63,0.14,2.02,65.56
655,656,BioShock 2,X360,2010.0,Shooter,Take-Two Interactive,1.32,0.49,0.02,0.19,2.02,87.78
656,657,Final Fantasy III,DS,2006.0,Role-Playing,Square Enix,0.85,0.02,1.07,0.08,2.01,85.0
657,658,Midnight Club: Los Angeles,X360,2008.0,Racing,Take-Two Interactive,1.39,0.42,0.01,0.18,2.01,80.64
658,659,UFC 2009 Undisputed,X360,2009.0,Fighting,THQ,1.44,0.38,0.0,0.18,2.0,85.0
659,660,Tom Clancy's Splinter Cell: Conviction,X360,2010.0,Action,Ubisoft,1.11,0.65,0.04,0.2,2.0,86.5
660,661,Dragon Warrior,NES,1986.0,Role-Playing,Nintendo,0.49,0.0,1.5,0.01,2.0,84.0
661,662,Super Street Fighter II,SNES,1993.0,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0,87.0
662,663,Need for Speed: Hot Pursuit,X360,2010.0,Racing,Electronic Arts,0.89,0.89,0.0,0.22,2.0,84.0
663,664,Kirby's Epic Yarn,Wii,2010.0,Platform,Nintendo,1.18,0.23,0.45,0.13,2.0,84.0
664,665,Need for Speed: ProStreet,X360,2007.0,Racing,Electronic Arts,1.02,0.76,0.01,0.21,2.0,71.0
665,666,Dead Rising,X360,2006.0,Action,Capcom,1.1,0.62,0.08,0.2,1.99,85.1
666,667,Tenchu: Stealth Assassins,PS,1997.0,Action,Activision,0.95,0.64,0.27,0.13,1.99,84.26
667,668,NBA 2K12,PS3,2011.0,Sports,Take-Two Interactive,1.53,0.21,0.05,0.19,1.99,85.0
668,669,Harry Potter and the Chamber of Secrets,GBA,2002.0,Adventure,Electronic Arts,1.21,0.64,0.05,0.09,1.99,70.0
669,670,Harry Potter and the Chamber of Secrets,PS,2002.0,Adventure,Electronic Arts,0.75,1.09,0.02,0.12,1.98,72.0
670,671,SimCity,SNES,1991.0,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,82.0
671,672,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005.0,Role-Playing,Nintendo,1.13,0.01,0.83,0.0,1.98,64.01
672,673,Yoshi,NES,1991.0,Puzzle,Nintendo,0.85,0.19,0.91,0.03,1.98,72.0
673,674,Spyro: Enter the Dragonfly,PS2,2002.0,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97,47.0
674,675,Zumba Fitness,X360,2010.0,Sports,505 Games,1.41,0.39,0.0,0.18,1.97,59.0
675,676,PGR4 - Project Gotham Racing 4,X360,2007.0,Racing,Microsoft Game Studios,0.45,1.25,0.02,0.25,1.97,84.0
676,677,Devil May Cry 2,PS2,2003.0,Action,Capcom,0.71,0.5799999999999998,0.51,0.17,1.97,73.61
677,678,Sonic Unleashed,Wii,2008.0,Platform,Sega,1.11,0.64,0.02,0.2,1.97,77.0
678,679,TouchMaster,DS,2007.0,Puzzle,Midway Games,0.47,1.25,0.0,0.24,1.97,77.0
679,680,Just Dance Kids,Wii,2010.0,Misc,Ubisoft,1.34,0.44,0.0,0.18,1.96,50.0
680,681,Rayman Raving Rabbids: TV Party,Wii,2008.0,Misc,Ubisoft,0.71,1.03,0.0,0.22,1.96,78.0
681,682,Rad Racer,NES,1986.0,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96,78.0
682,683,Soccer,NES,1985.0,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,51.0
683,684,Scribblenauts,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,1.5,0.27,0.02,0.17,1.96,78.91
684,685,Need for Speed: ProStreet,PS3,2007.0,Racing,Electronic Arts,0.7,0.87,0.04,0.35,1.96,74.0
685,686,Crash Nitro Kart,PS2,2003.0,Racing,Konami Digital Entertainment,0.74,1.01,0.0,0.2,1.95,67.02
686,687,Grand Theft Auto: San Andreas,XB,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,92.29
687,688,The 7th Guest,PC,1992.0,Adventure,Virgin Interactive,1.09,0.77,0.0,0.09,1.95,80.0
688,689,Star Wars: Dark Forces,PC,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95,82.0
689,690,Star Wars: The Force Unleashed,PS3,2008.0,Action,LucasArts,0.94,0.7,0.0,0.31,1.95,81.0
690,691,NBA Street Vol. 2,PS2,2003.0,Sports,Electronic Arts,1.69,0.2,0.0,0.06,1.95,88.0
691,692,Final Fantasy XIII,X360,2010.0,Role-Playing,Square Enix,1.13,0.61,0.01,0.19,1.94,84.15
692,693,Def Jam Vendetta,PS2,2003.0,Fighting,Electronic Arts,0.95,0.74,0.0,0.25,1.94,80.06999999999998
693,694,Alleyway,GB,1989.0,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94,54.62
694,695,Scooby Doo and the Cyber Chase,PS,2001.0,Adventure,THQ,0.59,1.23,0.0,0.13,1.94,65.0
695,696,Dragon Ball Z: Budokai 3,PS2,2004.0,Fighting,Atari,1.09,0.15,0.65,0.04,1.94,91.0
696,697,Jet Moto 2,PS,1997.0,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94,81.0
697,698,Tom Clancy's Ghost Recon,PS2,2002.0,Shooter,Ubisoft,1.42,0.4,0.0,0.12,1.94,67.03
698,699,X-Men Legends,PS2,2004.0,Role-Playing,Activision,1.0,0.72,0.0,0.21,1.93,85.0
699,700,Virtua Fighter 2,SAT,1995.0,Fighting,Sega,0.34,0.26,1.3,0.03,1.93,92.5
700,701,Mortal Kombat II,SNES,1993.0,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93,86.0
701,702,LEGO Star Wars: The Complete Saga,X360,2007.0,Action,LucasArts,1.18,0.56,0.0,0.19,1.93,83.0
702,703,Tetris DX,GB,1998.0,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93,90.0
703,704,Skylanders Giants,Wii,2012.0,Action,Activision,1.17,0.57,0.0,0.19,1.93,63.0
704,705,Need for Speed: Most Wanted 5-1-0,PSP,2005.0,Racing,Electronic Arts,1.72,0.04,0.02,0.14,1.92,78.0
705,706,The Legend of Zelda: Oracle of Ages,GB,2001.0,Adventure,Nintendo,0.92,0.53,0.41,0.06,1.92,91.0
706,707,FIFA Soccer 09,X360,2008.0,Sports,Electronic Arts,0.48,1.25,0.01,0.18,1.92,88.0
707,708,Hot Shots Golf: Open Tee,PSP,2004.0,Sports,Sony Computer Entertainment,0.47,0.5,0.63,0.32,1.92,86.0
