productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Plums,2013/8/25,0.54,0.0,1.74,1.62,1.74,1.3611000000000002
Cantaloupe,2013/8/25,0.6,2.24,2.62,2.21,2.99,3.1917000000000004
Red Leaf Lettuce,2013/8/25,0.48,2.24,1.68,1.47,1.79,2.7396
Carrots,2013/8/25,0.3,0.91,0.84,0.96,1.39,2.4167
Romaine Lettuce,2013/8/25,0.39,1.99,1.91,1.49,2.43,4.0127999999999995
Cauliflower,2013/8/25,1.03,3.23,3.37,3.43,3.99,2.4029
Strawberries,2013/8/25,1.44,3.09,2.41,2.99,4.37,1.2326000000000001
Celery,2013/8/25,0.35,1.55,1.69,1.79,2.04,4.05
Thompson Grapes,2013/8/25,0.77,1.84,1.86,2.09,2.36,1.6461000000000001
Avocados,2013/8/25,0.84,1.24,1.51,1.05,1.89,0.6935
Plums,2013/8/18,0.5,0.0,1.92,1.49,1.82,1.615
Cantaloupe,2013/8/18,0.52,2.24,2.66,2.32,2.36,3.6058
Red Leaf Lettuce,2013/8/18,0.33,1.84,1.56,1.52,1.79,4.0832999999999995
Carrots,2013/8/18,0.3,0.94,0.87,0.96,1.44,2.5083
Romaine Lettuce,2013/8/18,0.36,2.09,1.98,1.54,2.49,4.625
Cauliflower,2013/8/18,1.48,3.23,3.37,3.43,4.24,1.4105
Strawberries,2013/8/18,1.38,2.62,2.38,2.87,3.24,1.0127
Celery,2013/8/18,0.35,1.65,1.57,1.79,2.04,4.0357
Flame Grapes,2013/8/18,0.82,1.94,2.22,2.49,2.61,1.8232
Green Leaf Lettuce,2013/8/18,0.36,1.89,1.48,1.52,1.65,3.5417
Honeydews,2013/8/18,0.96,3.39,3.99,2.42,3.61,2.4922
Iceberg Lettuce,2013/8/18,0.43,1.81,1.67,1.14,2.24,2.9884
Avocados,2013/8/18,0.81,1.24,1.27,0.97,1.91,0.6636
Nectarines,2013/8/18,0.42,1.69,1.74,1.49,1.74,2.9643
Broccoli Bunches,2013/8/18,1.04,2.39,1.99,1.42,2.49,0.9928
Peaches,2013/8/18,0.42,0.0,1.66,1.49,0.0,0.875
Broccoli Crowns,2013/8/18,0.83,1.94,1.7,1.77,1.82,1.1777
Iceberg Lettuce,2013/8/11,0.69,1.66,1.49,1.34,2.37,1.4855
Avocados,2013/8/11,0.79,1.16,1.06,1.12,1.91,0.6614
Nectarines,2013/8/11,0.42,1.69,1.87,1.49,1.49,2.8929000000000005
Broccoli Bunches,2013/8/11,1.22,2.49,2.29,1.42,2.66,0.8156
Peaches,2013/8/11,0.42,0.0,1.87,1.37,0.0,0.9286
Broccoli Crowns,2013/8/11,1.02,1.79,1.63,1.79,2.12,0.7966
Plums,2013/8/11,0.5,1.84,1.62,1.74,1.74,2.47
Cantaloupe,2013/8/11,0.69,2.24,2.16,2.47,2.24,2.3007
Red Leaf Lettuce,2013/8/11,0.35,1.99,1.52,1.52,1.79,3.8714
Carrots,2013/8/11,0.16,0.94,0.84,0.96,1.44,5.5313
Romaine Lettuce,2013/8/11,0.37,2.09,1.76,1.54,2.43,4.2838
Cauliflower,2013/8/11,1.49,3.18,3.37,3.43,4.24,1.3859000000000001
Strawberries,2013/8/11,1.22,2.16,2.66,2.87,3.74,1.3422
Celery,2013/8/11,0.34,1.65,1.62,1.79,2.04,4.2206
Thompson Grapes,2013/8/11,0.79,1.94,1.78,2.12,2.36,1.5949000000000002
Flame Grapes,2013/8/11,0.77,1.94,1.72,2.12,2.36,1.6429
Green Leaf Lettuce,2013/8/11,0.37,2.05,1.4,1.52,1.65,3.4730000000000003
Honeydews,2013/8/11,1.0,3.64,3.37,2.6,3.99,2.4
Thompson Grapes,2013/8/4,0.79,2.06,1.78,1.99,1.99,1.4747000000000001
Flame Grapes,2013/8/4,0.79,2.06,2.05,1.84,2.24,1.5918
Green Leaf Lettuce,2013/8/4,0.41,1.98,1.4,1.47,1.65,2.9633999999999996
Honeydews,2013/8/4,0.96,3.64,3.37,2.66,4.12,2.5911000000000004
Iceberg Lettuce,2013/8/4,0.93,1.81,1.49,1.34,2.19,0.836
Avocados,2013/8/4,0.78,1.28,1.41,1.18,1.79,0.8140999999999999
Nectarines,2013/8/4,0.38,1.69,1.99,1.24,2.49,3.875
Broccoli Bunches,2013/8/4,1.2,2.49,2.29,1.39,2.32,0.7687999999999999
Peaches,2013/8/4,0.42,1.69,1.87,1.24,2.99,3.6369000000000002
Broccoli Crowns,2013/8/4,0.81,1.72,1.67,1.77,1.62,1.0926
Plums,2013/8/4,0.47,1.99,1.74,0.96,1.74,2.4202000000000004
Cantaloupe,2013/8/4,0.73,2.24,2.16,2.29,2.37,2.1027
Red Leaf Lettuce,2013/8/4,0.36,1.94,1.52,1.47,1.79,3.6667
Carrots,2013/8/4,0.3,0.99,0.84,1.06,1.44,2.6083
Romaine Lettuce,2013/8/4,0.42,2.09,1.76,1.49,2.43,3.625
Cauliflower,2013/8/4,1.26,2.8,3.37,3.43,4.32,1.7619
Strawberries,2013/8/4,1.03,2.24,2.66,2.62,2.99,1.551
Celery,2013/8/4,0.36,1.65,1.62,1.79,2.17,4.0207999999999995
Cantaloupe,2013/7/28,0.48,1.99,2.97,2.4,2.49,4.1302
Red Leaf Lettuce,2013/7/28,0.37,2.02,1.19,1.52,1.79,3.4054
Carrots,2013/7/28,0.3,0.89,0.92,1.06,1.59,2.7167000000000003
Romaine Lettuce,2013/7/28,0.54,2.09,2.11,1.52,2.18,2.6574
Cauliflower,2013/7/28,1.67,2.93,3.32,3.37,4.11,1.0554000000000001
Strawberries,2013/7/28,0.88,2.12,2.62,2.74,2.99,1.9744
Celery,2013/7/28,0.4,1.67,1.54,1.79,2.24,3.525
Thompson Grapes,2013/7/28,0.79,2.06,2.29,2.09,1.86,1.6266
Flame Grapes,2013/7/28,0.79,2.11,2.16,1.74,1.86,1.4905000000000002
Green Leaf Lettuce,2013/7/28,0.58,1.86,1.14,1.52,1.65,1.6595
Honeydews,2013/7/28,0.88,3.02,3.74,2.78,4.37,2.9517
Iceberg Lettuce,2013/7/28,0.93,1.66,1.49,1.34,1.99,0.7419
Avocados,2013/7/28,0.77,1.21,1.37,0.85,1.87,0.7208
Nectarines,2013/7/28,0.38,1.84,2.12,1.24,1.52,3.4211
Broccoli Bunches,2013/7/28,0.97,2.57,2.37,1.39,2.66,1.317
Peaches,2013/7/28,0.4,0.0,1.82,1.24,1.49,1.8437999999999999
Broccoli Crowns,2013/7/28,0.82,1.81,1.69,1.77,1.59,1.0915000000000001
Plums,2013/7/28,0.41,1.69,1.87,1.49,1.82,3.189
Avocados,2013/7/21,0.74,1.18,1.4,0.92,2.0,0.8581000000000001
Nectarines,2013/7/21,0.38,2.19,1.61,1.49,2.74,4.282900000000001
Broccoli Bunches,2013/7/21,0.86,2.39,1.84,0.99,2.66,1.2907
Peaches,2013/7/21,0.4,0.0,1.69,1.49,0.0,0.9875
Broccoli Crowns,2013/7/21,0.71,1.86,1.37,1.42,1.59,1.1972
Plums,2013/7/21,0.47,0.0,1.49,1.49,1.74,1.5106000000000002
Cantaloupe,2013/7/21,0.4,2.16,2.5,2.86,2.62,5.3375
Potatoes,2013/7/21,2.1,4.75,3.89,3.87,6.99,1.3214
Carrots,2013/7/21,0.3,0.89,0.84,0.92,1.44,2.4083
Red Leaf Lettuce,2013/7/21,0.38,1.86,1.52,1.37,1.79,3.3026
Cauliflower,2013/7/21,1.58,3.05,3.24,3.02,4.11,1.1234
Romaine Lettuce,2013/7/21,0.54,1.96,1.93,1.39,2.43,2.5694
Celery,2013/7/21,0.44,1.67,1.62,1.79,2.12,3.0909
Strawberries,2013/7/21,0.91,2.12,2.25,2.62,2.99,1.7418
Flame Grapes,2013/7/21,0.78,2.06,1.56,1.59,2.61,1.5064
Green Leaf Lettuce,2013/7/21,0.65,1.84,1.4,1.37,1.65,1.4077000000000002
Honeydews,2013/7/21,0.88,3.84,3.99,2.78,4.12,3.1847000000000003
Iceberg Lettuce,2013/7/21,0.86,1.52,1.5,1.29,1.99,0.8314
Green Leaf Lettuce,2013/7/14,0.68,2.06,1.23,1.37,1.65,1.3199
Honeydews,2013/7/14,0.88,3.96,3.99,2.66,4.99,3.4318
Iceberg Lettuce,2013/7/14,0.62,1.52,1.49,1.24,1.99,1.5161000000000002
Nectarines,2013/7/14,0.38,2.09,1.64,1.49,0.0,2.4342
Peaches,2013/7/14,0.4,1.68,1.82,1.24,1.49,2.8938
Plums,2013/7/14,0.52,2.19,1.87,1.87,1.74,2.6875
Potatoes,2013/7/14,2.05,4.92,3.52,3.74,0.0,0.4854
Red Leaf Lettuce,2013/7/14,0.37,1.86,1.34,1.37,1.79,3.2973000000000003
Romaine Lettuce,2013/7/14,0.46,1.96,2.11,1.39,2.18,3.1522000000000006
Strawberries,2013/7/14,0.88,2.24,2.32,1.97,2.96,1.696
Flame Grapes,2013/7/14,0.79,1.99,1.99,2.37,2.37,1.7594999999999998
Avocados,2013/7/14,0.51,1.08,1.25,1.05,1.87,1.5735
Broccoli Bunches,2013/7/14,0.61,2.51,2.37,1.32,2.66,2.6311
Broccoli Crowns,2013/7/14,0.47,1.96,1.69,1.69,1.87,2.8351
Cantaloupe,2013/7/14,0.46,2.16,2.84,2.46,2.87,4.6141000000000005
Carrots,2013/7/14,0.3,0.89,0.92,0.92,1.59,2.6
Cauliflower,2013/7/14,0.81,3.18,3.32,2.97,4.11,3.1914
Celery,2013/7/14,0.45,1.67,1.54,1.79,2.17,2.9833
Cantaloupe,2013/7/7,0.4,2.24,2.37,1.57,2.66,4.525
Red Leaf Lettuce,2013/7/7,0.34,1.81,1.41,1.32,1.79,3.6544
Carrots,2013/7/7,0.3,0.89,0.92,0.92,1.39,2.4333
Romaine Lettuce,2013/7/7,0.41,1.86,1.91,1.34,2.18,3.4451
Cauliflower,2013/7/7,0.77,3.13,3.01,2.97,4.24,3.3344
Strawberries,2013/7/7,0.97,2.24,2.29,2.62,2.71,1.5412000000000001
Celery,2013/7/7,0.46,1.64,1.69,1.79,2.29,3.0272000000000006
Green Leaf Lettuce,2013/7/7,0.61,2.04,1.28,1.32,1.65,1.5778999999999999
Honeydews,2013/7/7,0.83,3.39,4.24,2.41,4.99,3.5271
Iceberg Lettuce,2013/7/7,0.53,1.51,1.47,1.24,1.74,1.8113
Nectarines,2013/7/7,0.42,1.99,1.82,0.92,0.0,1.8155000000000001
Avocados,2013/7/7,0.77,1.21,1.2,1.12,1.62,0.6720999999999999
Peaches,2013/7/7,0.4,1.99,1.82,1.37,2.24,3.6375
Broccoli Bunches,2013/7/7,0.64,2.69,2.29,1.32,2.66,2.5
Plums,2013/7/7,0.59,1.99,1.87,1.24,1.99,2.0042
Broccoli Crowns,2013/7/7,0.46,1.76,1.69,1.69,2.04,2.9022
Potatoes,2013/7/7,1.7,4.12,3.5,3.74,0.0,0.6706000000000001
Iceberg Lettuce,2013/6/30,0.43,1.49,1.44,1.24,1.92,2.5407
Nectarines,2013/6/30,0.46,1.99,2.54,1.99,0.0,2.5435
Avocados,2013/6/30,0.77,1.06,1.26,0.91,1.67,0.5909000000000001
Peaches,2013/6/30,0.46,1.99,1.78,1.37,0.0,1.7934999999999999
Broccoli Bunches,2013/6/30,0.66,2.69,2.39,1.32,2.66,2.4318
Plums,2013/6/30,0.63,1.99,1.72,1.87,0.0,1.2143000000000002
Broccoli Crowns,2013/6/30,0.48,1.76,1.69,1.64,2.17,2.7813
Potatoes,2013/6/30,1.26,4.12,3.43,3.62,0.0,1.2163
Cantaloupe,2013/6/30,0.44,2.34,2.49,3.24,2.99,5.2841
Red Leaf Lettuce,2013/6/30,0.32,1.76,1.47,1.37,1.68,3.9063
Carrots,2013/6/30,0.3,0.92,0.92,0.92,1.44,2.5
Romaine Lettuce,2013/6/30,0.4,1.96,1.99,1.39,2.18,3.7
Cauliflower,2013/6/30,1.16,3.18,3.01,3.43,4.24,1.9871
Strawberries,2013/6/30,1.09,2.06,2.22,2.5,2.74,1.1835
Celery,2013/6/30,0.43,1.64,1.64,1.59,2.37,3.2093000000000003
Green Leaf Lettuce,2013/6/30,0.44,2.22,1.32,1.37,1.76,2.7898
Honeydews,2013/6/30,0.9,3.29,4.37,2.78,4.74,3.2167000000000003
Celery,2013/6/23,0.42,1.61,1.69,1.49,2.24,3.1845
Strawberries,2013/6/23,1.13,2.12,1.99,2.13,2.61,0.958
Flame Grapes,2013/6/23,0.86,2.14,1.86,2.24,2.61,1.5727000000000002
Green Leaf Lettuce,2013/6/23,0.38,2.04,1.4,1.32,1.65,3.2171
Honeydews,2013/6/23,0.96,3.39,4.24,2.97,4.99,3.0599000000000003
Iceberg Lettuce,2013/6/23,0.41,1.44,1.42,1.24,1.92,2.6707
Avocados,2013/6/23,0.76,1.21,1.45,0.76,1.75,0.7007
Nectarines,2013/6/23,0.46,0.0,1.81,1.66,2.49,2.2391
Broccoli Bunches,2013/6/23,0.66,2.51,2.39,0.99,2.66,2.2386000000000004
Peaches,2013/6/23,0.52,2.49,1.81,1.49,0.0,1.7837
Broccoli Crowns,2013/6/23,0.52,1.64,1.69,1.59,1.99,2.3221000000000003
Plums,2013/6/23,0.7,1.99,1.62,1.74,1.99,1.6214
Cantaloupe,2013/6/23,0.59,2.59,2.66,2.47,2.79,3.4534
Potatoes,2013/6/23,1.2,4.08,3.24,3.32,0.0,1.2167000000000001
Carrots,2013/6/23,0.29,1.42,0.92,0.79,1.44,2.9397
Red Leaf Lettuce,2013/6/23,0.32,1.81,1.54,1.32,1.79,4.0469
Cauliflower,2013/6/23,1.42,3.05,3.32,3.14,3.61,1.3099
Romaine Lettuce,2013/6/23,0.41,1.96,2.06,1.37,2.18,3.6159
Plums,2013/6/16,0.86,0.0,2.37,1.99,1.99,0.8459000000000001
Carrots,2013/6/16,0.29,0.91,0.92,0.84,1.44,2.5431
Potatoes,2013/6/16,1.0,3.98,3.39,3.49,5.99,3.2125
Cauliflower,2013/6/16,1.26,3.04,3.27,3.08,3.65,1.5873
Red Leaf Lettuce,2013/6/16,0.33,1.83,1.63,1.32,1.79,3.9773
Celery,2013/6/16,0.35,1.74,1.77,1.77,2.24,4.3714
Romaine Lettuce,2013/6/16,0.4,1.97,2.05,1.37,2.18,3.7313
Flame Grapes,2013/6/16,0.89,2.31,1.99,1.86,2.44,1.4157
Strawberries,2013/6/16,1.06,2.19,2.49,2.5,2.86,1.3679
Green Leaf Lettuce,2013/6/16,0.37,1.73,1.48,1.32,1.65,3.1757
Honeydews,2013/6/16,0.96,3.39,4.24,2.69,4.99,2.987
Iceberg Lettuce,2013/6/16,0.51,1.49,1.44,1.24,1.92,1.9853
Avocados,2013/6/16,0.76,1.22,1.17,1.2,1.79,0.7697
Nectarines,2013/6/16,0.58,0.0,1.89,1.49,2.99,1.7457
Broccoli Bunches,2013/6/16,0.6,2.66,2.47,1.16,2.66,2.7292
Oranges,2013/6/16,0.54,1.36,1.37,1.34,2.26,1.9306
Broccoli Crowns,2013/6/16,0.46,1.78,1.69,1.59,2.17,2.9293
Peaches,2013/6/16,0.56,0.0,1.89,1.74,2.14,1.5759
Cantaloupe,2013/6/16,0.56,2.16,2.6,1.96,3.12,3.3929000000000005
Broccoli Bunches,2013/6/9,0.7,2.53,1.94,0.99,2.66,1.9000000000000001
Oranges,2013/6/9,0.54,1.36,1.63,1.24,2.42,2.0787
Broccoli Crowns,2013/6/9,0.48,1.7,1.69,1.59,2.04,2.6563
Peaches,2013/6/9,0.64,0.0,2.56,1.84,0.0,0.7188
Cantaloupe,2013/6/9,0.6,2.64,2.67,4.13,2.74,4.075
Plums,2013/6/9,0.95,0.0,2.16,2.74,0.0,0.2895
Carrots,2013/6/9,0.3,0.91,0.92,0.84,1.44,2.4250000000000003
Potatoes,2013/6/9,0.8,4.05,3.39,3.49,0.0,2.4156
Cauliflower,2013/6/9,1.25,2.91,3.27,3.14,3.86,1.636
Red Leaf Lettuce,2013/6/9,0.29,1.79,1.64,1.32,1.57,4.4483
Celery,2013/6/9,0.55,1.7,1.82,1.72,2.24,2.4
Romaine Lettuce,2013/6/9,0.35,1.96,1.96,1.37,2.02,4.2214
Flame Grapes,2013/6/9,0.89,2.18,2.74,2.49,2.44,1.7669
Strawberries,2013/6/9,1.0,2.12,2.33,2.5,2.32,1.3175000000000001
Green Leaf Lettuce,2013/6/9,0.32,1.72,1.51,1.32,1.44,3.6797000000000004
Honeydews,2013/6/9,0.88,3.39,3.74,2.88,4.99,3.2614
Iceberg Lettuce,2013/6/9,0.43,1.47,1.47,1.24,1.92,2.5465
Avocados,2013/6/9,0.77,1.22,1.45,1.12,1.71,0.7857
Nectarines,2013/6/9,0.66,0.0,2.56,2.12,0.0,0.7726999999999999
Romaine Lettuce,2013/6/2,0.28,1.99,1.86,1.37,2.02,5.4643
Strawberries,2013/6/2,0.97,2.19,2.16,2.5,2.99,1.5361000000000002
Honeydews,2013/6/2,0.96,2.99,3.99,3.25,8.92,3.987
Iceberg Lettuce,2013/6/2,0.46,1.51,1.29,1.24,1.74,2.1413
Avocados,2013/6/2,0.77,1.22,1.32,1.19,1.54,0.711
Nectarines,2013/6/2,0.7,0.0,2.61,1.87,0.0,0.6
Broccoli Bunches,2013/6/2,0.84,2.58,1.75,0.99,2.62,1.3631
Oranges,2013/6/2,0.52,1.36,1.36,1.19,1.77,1.7308000000000001
Broccoli Crowns,2013/6/2,0.65,1.44,1.69,1.49,2.12,1.5922999999999998
Peaches,2013/6/2,0.66,0.0,2.61,2.12,0.0,0.7917000000000001
Cantaloupe,2013/6/2,0.56,2.26,2.84,3.0,2.86,3.8929000000000005
Potatoes,2013/6/2,0.7,4.12,3.25,3.49,0.0,2.8786
Carrots,2013/6/2,0.3,0.91,0.92,0.84,1.44,2.4250000000000003
Red Leaf Lettuce,2013/6/2,0.26,1.83,1.57,1.32,1.57,5.0481
Cauliflower,2013/6/2,1.26,2.88,3.01,3.2,3.49,1.496
Celery,2013/6/2,0.53,2.01,1.89,1.72,2.62,2.8868
Flame Grapes,2013/6/2,0.92,2.65,2.74,1.93,2.61,1.6984000000000001
Green Leaf Lettuce,2013/6/2,0.27,1.72,1.45,1.32,1.44,4.4907
Cantaloupe,2013/5/26,0.54,2.34,2.87,2.75,2.86,4.0093000000000005
Romaine Lettuce,2013/5/26,0.27,2.16,1.97,1.39,1.7,5.6852
Carrots,2013/5/26,0.3,0.91,0.94,0.84,1.44,2.4417
Strawberries,2013/5/26,0.97,2.04,2.62,2.12,2.61,1.4201
Cauliflower,2013/5/26,1.23,2.75,3.32,2.88,3.37,1.5041
Celery,2013/5/26,0.8,2.01,1.89,1.74,2.66,1.5937999999999999
Flame Grapes,2013/5/26,1.03,2.69,2.49,2.74,2.99,1.6481000000000001
Green Leaf Lettuce,2013/5/26,0.26,1.69,1.49,1.32,1.55,4.8173
Honeydews,2013/5/26,1.19,3.19,4.24,2.97,4.74,2.1807
Iceberg Lettuce,2013/5/26,0.28,1.51,1.42,1.24,1.92,4.4375
Avocados,2013/5/26,0.78,1.22,1.25,1.38,1.39,0.6795
Oranges,2013/5/26,0.51,1.31,1.42,1.14,1.66,1.7108
Broccoli Bunches,2013/5/26,0.89,2.6,2.2,1.12,2.66,1.4101
Potatoes,2013/5/26,0.7,3.69,3.49,3.49,0.0,2.8107
Broccoli Crowns,2013/5/26,0.66,1.86,1.42,1.59,1.87,1.5530000000000002
Red Leaf Lettuce,2013/5/26,0.26,1.83,1.68,1.32,1.68,5.259600000000001
Honeydews,2013/5/19,1.46,3.19,4.99,2.97,4.74,1.7209
Iceberg Lettuce,2013/5/19,0.3,1.39,1.29,1.24,1.92,3.8667000000000002
Avocados,2013/5/19,0.77,1.22,1.01,1.12,1.12,0.45130000000000003
Oranges,2013/5/19,0.48,1.31,0.99,1.14,1.66,1.6562999999999999
Broccoli Bunches,2013/5/19,0.78,2.38,2.0,1.16,2.66,1.6281999999999999
Potatoes,2013/5/19,0.7,4.08,3.66,3.37,0.0,2.9679
Broccoli Crowns,2013/5/19,0.56,1.66,1.69,1.54,2.04,2.0938
Red Leaf Lettuce,2013/5/19,0.27,1.72,1.68,1.32,1.63,4.8796
Cantaloupe,2013/5/19,0.62,2.54,2.79,2.52,3.11,3.4194
Romaine Lettuce,2013/5/19,0.27,1.86,2.02,1.32,1.7,5.3889
Carrots,2013/5/19,0.3,0.91,0.92,0.84,1.44,2.4250000000000003
Strawberries,2013/5/19,1.13,2.12,2.25,2.5,2.99,1.1814
Cauliflower,2013/5/19,0.97,2.7,3.19,2.63,3.32,2.0515
Celery,2013/5/19,1.19,1.94,1.89,1.74,2.49,0.6933
Flame Grapes,2013/5/19,1.25,2.74,2.74,3.12,2.99,1.318
Green Leaf Lettuce,2013/5/19,0.27,3.49,1.55,1.32,1.51,6.287000000000001
Broccoli Bunches,2013/5/12,0.68,2.48,2.2,1.16,2.45,2.0478
Romaine Lettuce,2013/5/12,0.27,1.99,1.82,1.34,1.7,5.3426
Broccoli Crowns,2013/5/12,0.53,1.42,1.42,1.57,1.74,1.9009
Strawberries,2013/5/12,1.19,2.24,2.38,2.25,2.74,1.0189
Cantaloupe,2013/5/12,0.89,2.72,2.87,2.59,2.99,2.1376
Carrots,2013/5/12,0.3,0.91,0.92,0.84,1.27,2.2833
Cauliflower,2013/5/12,0.8,2.83,3.32,2.98,3.24,2.8656
Celery,2013/5/12,1.28,2.01,1.89,1.74,2.49,0.5879
Green Leaf Lettuce,2013/5/12,0.27,1.84,1.49,1.32,1.51,4.7037
Iceberg Lettuce,2013/5/12,0.28,1.55,1.4,1.24,1.92,4.4554
Oranges,2013/5/12,0.44,1.31,1.37,1.07,1.66,2.0739
Asparagus,2013/5/12,2.06,3.99,3.32,3.99,2.99,0.7342000000000001
Potatoes,2013/5/12,0.63,5.01,3.49,3.37,0.0,3.7102999999999997
Avocados,2013/5/12,0.73,1.22,1.12,1.19,1.5,0.7226
Red Leaf Lettuce,2013/5/12,0.26,1.84,1.68,1.32,1.63,5.2212000000000005
Celery,2013/5/5,1.13,1.46,1.84,1.74,2.37,0.6394
Green Leaf Lettuce,2013/5/5,0.28,1.73,1.42,1.39,1.61,4.4911
Iceberg Lettuce,2013/5/5,0.27,1.6,1.42,1.24,1.99,4.787
Oranges,2013/5/5,0.42,1.31,1.19,1.19,1.66,2.1845
Potatoes,2013/5/5,0.63,5.01,3.25,2.99,4.49,5.246
Asparagus,2013/5/5,2.2,3.49,3.19,3.74,3.49,0.5807
Red Leaf Lettuce,2013/5/5,0.26,1.75,1.5,1.34,1.75,5.0962000000000005
Avocados,2013/5/5,0.69,1.07,1.31,1.03,1.24,0.6848000000000001
Romaine Lettuce,2013/5/5,0.28,1.91,2.1,1.37,1.8,5.4107
Broccoli Bunches,2013/5/5,0.52,2.53,1.75,1.09,2.29,2.6827
Strawberries,2013/5/5,1.02,2.12,2.29,1.83,2.15,1.0564
Broccoli Crowns,2013/5/5,0.39,1.66,1.54,1.47,1.87,3.1923000000000004
Carrots,2013/5/5,0.3,0.91,0.92,0.84,1.52,2.4917
Cauliflower,2013/5/5,0.66,2.76,2.66,2.73,3.49,3.4091000000000005
Oranges,2013/4/28,0.39,1.17,1.32,1.07,1.82,2.4487
Potatoes,2013/4/28,0.65,4.54,3.38,3.49,0.0,3.3885000000000005
Asparagus,2013/4/28,2.13,3.47,3.12,3.24,3.49,0.5634
Red Leaf Lettuce,2013/4/28,0.3,1.83,1.84,1.39,2.08,4.95
Avocados,2013/4/28,0.68,1.09,0.73,0.72,1.12,0.3456
Romaine Lettuce,2013/4/28,0.28,2.11,2.11,1.42,2.33,6.1161
Broccoli Bunches,2013/4/28,0.48,2.73,2.34,1.09,2.07,3.2864999999999998
Strawberries,2013/4/28,0.77,2.12,2.29,2.62,2.74,2.1721
Broccoli Crowns,2013/4/28,0.38,1.74,1.69,1.37,1.99,3.4671
Carrots,2013/4/28,0.53,0.91,0.92,0.84,1.32,0.8821
Cauliflower,2013/4/28,0.74,2.96,3.32,2.58,3.99,3.3412
Celery,2013/4/28,1.15,1.51,1.79,1.74,1.94,0.5174000000000001
Green Leaf Lettuce,2013/4/28,0.31,1.8,1.63,1.39,1.92,4.4355
Iceberg Lettuce,2013/4/28,0.27,1.63,1.35,1.19,2.04,4.75
Romaine Lettuce,2013/4/21,0.29,2.13,1.96,1.49,2.64,6.0862
Strawberries,2013/4/21,0.83,2.0,1.99,1.75,2.74,1.5541999999999998
Cauliflower,2013/4/21,1.67,2.7,3.19,2.83,4.12,0.9222
Celery,2013/4/21,0.96,1.53,1.59,1.74,2.19,0.8359000000000001
Green Leaf Lettuce,2013/4/21,0.29,1.8,1.53,1.47,1.92,4.7931
Iceberg Lettuce,2013/4/21,0.38,1.65,1.38,1.39,1.99,3.2171
Oranges,2013/4/21,0.38,0.97,1.35,1.07,1.93,2.5
Potatoes,2013/4/21,0.65,4.54,3.05,3.37,3.99,4.75
Red Leaf Lettuce,2013/4/21,0.29,1.88,1.73,1.47,2.08,5.1724000000000006
Broccoli Bunches,2013/4/21,0.52,2.53,2.34,1.22,2.06,2.9183
Broccoli Crowns,2013/4/21,0.41,1.76,1.56,1.54,1.79,3.0549
Carrots,2013/4/21,0.3,0.89,0.92,0.84,1.44,2.4083
Asparagus,2013/4/21,1.95,3.11,3.62,3.49,3.37,0.7423000000000001
Avocados,2013/4/21,0.68,1.19,1.27,1.1,1.41,0.8272
Cauliflower,2013/4/14,1.61,2.7,3.32,2.98,4.12,1.0373
Celery,2013/4/14,0.48,1.5,1.59,1.67,2.19,2.6198
Green Leaf Lettuce,2013/4/14,0.3,1.93,1.43,1.47,1.92,4.625
Iceberg Lettuce,2013/4/14,0.47,1.68,1.51,1.39,1.99,2.4947
Oranges,2013/4/14,0.38,1.14,1.19,1.02,1.85,2.4211
Potatoes,2013/4/14,0.65,5.01,3.18,3.32,3.99,4.9615
Asparagus,2013/4/14,1.54,2.82,3.32,2.99,2.99,0.9675
Red Leaf Lettuce,2013/4/14,0.29,2.0,1.62,1.47,2.08,5.181
Avocados,2013/4/14,0.68,1.14,1.32,0.89,1.41,0.75
Romaine Lettuce,2013/4/14,0.3,2.25,1.91,1.49,2.33,5.65
Broccoli Bunches,2013/4/14,0.5,2.59,2.84,1.16,2.49,3.54
Strawberries,2013/4/14,0.79,2.29,2.08,2.5,2.74,2.0411
Broccoli Crowns,2013/4/14,0.38,1.79,1.69,1.67,1.79,3.5658
Carrots,2013/4/14,0.3,0.89,0.84,0.82,1.52,2.3916999999999997
Iceberg Lettuce,2013/4/7,0.29,1.99,1.59,1.42,1.74,4.8103
Oranges,2013/4/7,0.36,0.94,1.09,1.07,1.85,2.4375
Potatoes,2013/4/7,0.65,4.08,3.38,3.37,3.99,4.7
Asparagus,2013/4/7,1.03,2.56,2.94,1.81,2.99,1.5
Red Leaf Lettuce,2013/4/7,0.28,2.0,1.73,1.49,2.2,5.625
Avocados,2013/4/7,0.67,1.05,1.2,0.91,1.41,0.7051999999999999
Romaine Lettuce,2013/4/7,0.28,2.25,2.28,1.52,2.43,6.5714
Broccoli Bunches,2013/4/7,0.56,2.18,2.34,1.16,2.49,2.6473000000000004
Strawberries,2013/4/7,0.8,2.64,1.95,2.25,2.54,1.9313
Broccoli Crowns,2013/4/7,0.46,1.57,1.57,1.67,1.79,2.5869999999999997
Carrots,2013/4/7,0.3,0.89,0.92,0.87,1.32,2.3333000000000004
Cauliflower,2013/4/7,1.49,2.9,3.27,2.98,3.74,1.1628
Celery,2013/4/7,0.34,1.53,1.77,1.69,2.24,4.3162
Green Leaf Lettuce,2013/4/7,0.28,1.93,1.53,1.49,2.03,5.232100000000001
Avocados,2013/3/31,0.67,1.17,1.2,1.06,1.63,0.8881
Romaine Lettuce,2013/3/31,0.29,2.55,2.44,1.69,3.11,7.4397
