dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
Video Games Sales Dataset,Could you calculate the mean score for the game reviews?,"[{""column_header"": ""Review"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mean"", ""result"": ""79.03898"", ""conclusion"": ""79.03898""}]","{""columns"": [""Review""], ""methods"": [""Mean""]}",Descriptive Statistics,easy
Lung Cancer Survey Dataset,Is there a significant variation in the impact of SHORTNESS OF BREATH on LUNG_CANCER when controlling for the presence of ALLERGY?,"[{""column_header"": ""SHORTNESS OF BREATH"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""LUNG_CANCER"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""ALLERGY "", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.18723}"", ""conclusion"": ""Independent""}]","{""columns"": [""SHORTNESS OF BREATH"", ""LUNG_CANCER"", ""ALLERGY ""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Lung Cancer Survey Dataset,Is the association between the presence of chronic disease and shortness of breath stable across different levels of yellow fingers indicating smoking habit?,"[{""column_header"": ""CHRONIC DISEASE"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SHORTNESS OF BREATH"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""YELLOW_FINGERS"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.69669}"", ""conclusion"": ""Independent""}]","{""columns"": [""CHRONIC DISEASE"", ""SHORTNESS OF BREATH"", ""YELLOW_FINGERS""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Income and Happiness Score Dataset,Is there statistical evidence to suggest that the variability in adjusted self-reported happiness scores is similar to the variability in overall happiness scores for the country?,"[{""column_header"": ""adjusted_satisfaction"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""happyScore"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 179.22257, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""adjusted_satisfaction"", ""happyScore""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Student Performance Prediction Dataset,"What is the standard deviation for the variable ""absences,"" which represents the number of school absences ranging from 0 to 93?","[{""column_header"": ""absences"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Standard Deviation"", ""result"": ""4.63718"", ""conclusion"": ""4.63718""}]","{""columns"": [""absences""], ""methods"": [""Standard Deviation""]}",Descriptive Statistics,easy
Student Performance Prediction Dataset,Does the type of residential area (urban or rural) play a role in modifying the relationship between participation in extra-curricular activities and the desire to pursue higher education?,"[{""column_header"": ""activities"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""higher"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""address"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.24456}"", ""conclusion"": ""Independent""}]","{""columns"": [""activities"", ""higher"", ""address""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Video Games Sales Dataset,Could you calculate the quartiles for the number of units sold in Japan?,"[{""column_header"": ""Japan"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.02, 'Q3': 0.3, 'Max': 7.2}\"""", ""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.02, 'Q3': 0.3, 'Max': 7.2}\""""}]","{""columns"": [""Japan""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
Crop Production Dataset,Do the distributions of annual crop production in Nigeria and Myanmar exhibit similarity?,"[{""column_header"": ""Nigeria"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Myanmar"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.02857}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Nigeria"", ""Myanmar""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Heart Failure Prediction Dataset,Is there evidence in the data to indicate a relationship between the presence of exercise-induced angina and the occurrence of heart disease?,"[{""column_header"": ""ExerciseAngina"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""HeartDisease"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""ExerciseAngina"", ""HeartDisease""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Lung Cancer Survey Dataset,Does the experience of specific types of peer pressure related to smoking influence the distribution of fatigue symptoms?,"[{""column_header"": ""PEER_PRESSURE"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""FATIGUE "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.21041}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.18349}"", ""conclusion"": ""Independent""}]","{""columns"": [""PEER_PRESSURE"", ""FATIGUE ""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Obesity or CVD Risk Dataset,Could you determine the median frequency of vegetable consumption (FCVC)?,"[{""column_header"": ""FCVC"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Median"", ""result"": ""2.3855"", ""conclusion"": ""2.3855""}]","{""columns"": [""FCVC""], ""methods"": [""Median""]}",Descriptive Statistics,easy
Customer Personality Analysis Dataset,Do the distributions of the number of teenagers in the customer's household and the number of purchases made directly in stores exhibit a close alignment?,"[{""column_header"": ""Teenhome"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""NumStorePurchases"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Teenhome"", ""NumStorePurchases""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Used Car Dataset,"How are the values of the car engine's maximum power output, measured in brake horsepower (bhp), distributed across quartiles?","[{""column_header"": ""max_power(bhp)"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 5.0, 'Q1': 1197.0, 'Median': 1462.0, 'Q3': 1995.0, 'Max': 3258640000000.0}\"""", ""conclusion"": ""\""{'Min': 5.0, 'Q1': 1197.0, 'Median': 1462.0, 'Q3': 1995.0, 'Max': 3258640000000.0}\""""}]","{""columns"": [""max_power(bhp)""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
Pokedex Dataset,Do the variables Total and Weight_kg exhibit similar levels of data dispersion?,"[{""column_header"": ""Total"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Weight_kg"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -1.10959, \""p value\"": 0.26718}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 159.18817, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Total"", ""Weight_kg""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Pokedex Dataset,Would it be appropriate to use methods assuming normality for analyzing the variable representing the probability of a Pokémon being male (Pr_Male)?,"[{""column_header"": ""Pr_Male"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 94.70386, \\\""crit\\\"": 0.572}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Pr_Male""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Terrorist Attacks Dataset,Could you calculate the quartile distribution for incidents involving armed assault as the attack method?,"[{""column_header"": ""Attack method: Armed Assault"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 1.0, 'Max': 4037.0}\"""", ""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 1.0, 'Max': 4037.0}\""""}]","{""columns"": [""Attack method: Armed Assault""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
US Christmas Tree Sales Dataset,Is it reasonable to assume that the data for the average price of Christmas trees could have been sampled from an Exponential distribution?,"[{""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Exponential distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""Average Tree Price""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",Distribution Compliance Test,easy
Student Performance Prediction Dataset,"Could you calculate the standard deviation of the students' ages, which range from 15 to 22?","[{""column_header"": ""age"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Standard Deviation"", ""result"": ""1.2172"", ""conclusion"": ""1.2172""}]","{""columns"": [""age""], ""methods"": [""Standard Deviation""]}",Descriptive Statistics,easy
Terrorist Attacks Dataset,What are the quartile values for the age at death for individuals aged between 11 and 20?,"[{""column_header"": ""Death Age : 11-20 "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 0.0, 'Max': 522.0}\"""", ""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 0.0, 'Max': 522.0}\""""}]","{""columns"": [""Death Age : 11-20 ""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
FIFA Official Dataset 2023,Is there a linear relationship between the player's overall rating of skills and abilities and the numerical value representing their special abilities?,"[{""column_header"": ""Overall"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Special"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.69794}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.75555}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.59987}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""Overall"", ""Special""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Student Performance Prediction Dataset,Do patterns of free time after school correspond to patterns of weekend alcohol consumption?,"[{""column_header"": ""freetime"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Walc"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.12024}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.12015}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.10096}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""freetime"", ""Walc""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Lung Cancer Survey Dataset,Does the impact of CHEST PAIN on LUNG_CANCER remain consistent across varying levels of WHEEZING?,"[{""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""LUNG_CANCER"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""WHEEZING"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.00533}"", ""conclusion"": ""Not independent""}]","{""columns"": [""CHEST PAIN"", ""LUNG_CANCER"", ""WHEEZING""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
FIFA Official Dataset 2023,Does a player's physical appearance or body type relate to whether they are accurately represented in the game?,"[{""column_header"": ""Body Type"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Real Face"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""Body Type"", ""Real Face""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
University Rank Dataset,To what extent do the variance patterns of the International Outlook score and the Research Environment score align?,"[{""column_header"": ""International Outlook"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Research Environment Score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -4.54948, \""p value\"": 1e-05}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 155.94606, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""International Outlook"", ""Research Environment Score""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Student Performance Prediction Dataset,What is the average value for the variable representing the frequency of going out with friends?,"[{""column_header"": ""goout"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mean"", ""result"": ""3.1849"", ""conclusion"": ""3.1849""}]","{""columns"": [""goout""], ""methods"": [""Mean""]}",Descriptive Statistics,easy
Video Games Sales Dataset,"Is the number of units sold in North America, in millions, consistent with a Gamma distribution?","[{""column_header"": ""North America"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Gamma distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""North America""], ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]}",Distribution Compliance Test,easy
Crop Production Dataset,Are the annual crop production data variability in Pakistan and Indonesia comparable?,"[{""column_header"": ""Pakistan"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Indonesia"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 3.47684, \""p value\"": 0.11151}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 3.9031, \""p value\"": 0.0482}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 228.09321, \""p value\"": 1e-05}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Pakistan"", ""Indonesia""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Lung Cancer Survey Dataset,Do changes in the frequency of wheezing symptoms correspond to changes in the frequency of coughing symptoms?,"[{""column_header"": ""WHEEZING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""COUGHING"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""WHEEZING"", ""COUGHING""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Pokedex Dataset,"Are the variances of the sum of all the base stats (health points, attack, defense, special attack, special defense, and speed) and the base health points homogeneous?","[{""column_header"": ""Total"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""HP"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -0.00118, \""p value\"": 0.99906}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 1059.0559, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Total"", ""HP""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Heart Failure Prediction Dataset,Does the data provide any indication of a connection between fasting blood sugar levels (FastingBS) and the findings of resting electrocardiogram (RestingECG)?,"[{""column_header"": ""FastingBS"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""RestingECG"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00049}"", ""conclusion"": ""Not independent""}]","{""columns"": [""FastingBS"", ""RestingECG""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Dataset for Admission in the University,Do the GRE scores and the probability of admission show comparable variability in the data?,"[{""column_header"": ""GRE Score"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Chance of Admit "", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 847.82876, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""GRE Score"", ""Chance of Admit ""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Netflix TV Shows and Movies Scores Dataset in IMDB,Do the observed frequencies of the type and age certification categories conform to the independence assumption?,"[{""column_header"": ""type"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""age_certification"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""type"", ""age_certification""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Housing Price Dataset,What is the average price?,"[{""column_header"": ""Price"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mean"", ""result"": ""224827.32515"", ""conclusion"": ""224827.32515""}]","{""columns"": [""Price""], ""methods"": [""Mean""]}",Descriptive Statistics,easy
Terrorist Attacks Dataset,Is there evidence to suggest that the number of deaths of individuals aged 100 or above does not follow a normal distribution?,"[{""column_header"": ""Death Age 100+"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 3727.21048, \\\""crit\\\"": 0.576}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","{""columns"": [""Death Age 100+""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Distribution Compliance Test,hard
Terrorist Attacks Dataset,Is there any relationship between the number of deaths resulting from terrorist attacks and the method of attack involving hostage taking through kidnapping?,"[{""column_header"": ""Terrorism deaths"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Hostage Taking (Kidnapping)"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.94431}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.69442}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.64002}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""Terrorism deaths"", ""Attack method: Hostage Taking (Kidnapping)""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Terrorist Attacks Dataset,"What is the relationship between the death of a terrorist (indicated by ""Killed"") and the involvement of unarmed assault, while controlling for the presence of assassination as the attack method?","[{""column_header"": ""Terrorist Death Type : Killed"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Unarmed Assault"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Assassination"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.23971, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Terrorist Death Type : Killed"", ""Attack method: Unarmed Assault"", ""Attack method: Assassination""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Student Performance Prediction Dataset,"Does any evidence exist indicating a potential relationship between the type of school attended (Gabriel Pereira or Mousinho da Silveira) and the father's occupation (teacher, health care related, civil services, at home, or other), in terms of patterns?","[{""column_header"": ""school"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Fjob"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00027}"", ""conclusion"": ""Not independent""}]","{""columns"": [""school"", ""Fjob""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Student Performance Prediction Dataset,How are weekend alcohol consumption (Walc) and final grade (G3) related to each other after adjusting for the influence of free time after school?,"[{""column_header"": ""Walc"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""G3"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""freetime"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.16429, \""p value\"": 3e-05}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Walc"", ""G3"", ""freetime""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Income and Happiness Score Dataset,Does a linear relationship exist between the level of income inequality and the overall happiness score within the country?,"[{""column_header"": ""income_inequality"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""happyScore"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.18722}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.24211}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.16676}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""income_inequality"", ""happyScore""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
US Christmas Tree Sales Dataset,Is the variable representing the total revenue generated from Christmas tree sales in a given year suitable for methods that assume normality?,"[{""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.62872, \\\""crit\\\"": 0.497}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Shapiro-Wilk Test of Normality"", ""result"": ""{\""p value\"": 0.09591}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.62599}"", ""conclusion"": ""Normally distributed""}]","{""columns"": [""Sales""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality""]}",Distribution Compliance Test,hard
Customer Personality Analysis Dataset,Is there a correspondence between variations in customer acceptance of the offer in the 4th campaign (AcceptedCmp4) and their response to the last campaign's offer (Response)?,"[{""column_header"": ""AcceptedCmp4"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Response"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""AcceptedCmp4"", ""Response""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Customer Personality Analysis Dataset,"Controlling for MntWines, what is the correlation strength between NumWebPurchases and MntMeatProducts?","[{""column_header"": ""NumWebPurchases"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntMeatProducts"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntWines"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.01634, \""p value\"": 0.43951}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""NumWebPurchases"", ""MntMeatProducts"", ""MntWines""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Rainfall Dataset of Barak Velly,Could you provide a quartile breakdown of the rainfall measurements for December (DEC)?,"[{""column_header"": ""DEC"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 1.1, 'Q3': 13.475, 'Max': 149.2}\"""", ""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 1.1, 'Q3': 13.475, 'Max': 149.2}\""""}]","{""columns"": [""DEC""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
US Christmas Tree Sales Dataset,What method is used to evaluate the relationship between fluctuations in the quantity of trees sold and variations in sales revenue?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.58242}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""Number of trees sold"", ""Sales""], ""methods"": [""Kendall Correlation Coefficient""]}",Correlation Analysis,hard
Lung Cancer Survey Dataset,What is the value of skewness for the variable representing age?,"[{""column_header"": ""AGE"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Skewness"", ""result"": ""-0.39509"", ""conclusion"": ""-0.39509""}]","{""columns"": [""AGE""], ""methods"": [""Skewness""]}",Descriptive Statistics,easy
US Christmas Tree Sales Dataset,To what extent does the number of Christmas trees purchased correlate with the income derived from their sales?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.58242}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""Number of trees sold"", ""Sales""], ""methods"": [""Kendall Correlation Coefficient""]}",Correlation Analysis,hard
